Account ID,Account Name,State,Entity Type,Owner,Population,Account Status,Tier,SQO Points,Lat,Lng,Starbridge Buyer ID,Opp Status,Stage,Funnel Position,Sourced By,Discovery Call Date,Created Date,ARR,Previously Lost,Total Calls,Last Call Date,Calls - Ryan Minter,Calls - Sydney Ireland,Calls - Joe del Rosario,Calls - Quinzel Perry
001Hr000028ZbuN,"City Of Ketchikan, AK",Alaska,Municipality,Joe del Rosario,8037,,Tier 3,0.75,55.3422,-131.6461,5ef15488-8d0d-4428-a0ad-8fc2f78dee1f,,,,,,,,,1,2026-05-06,,1,,
001Hr000028Zc1T,"City Of Kodiak, AK",Alaska,Municipality,Joe del Rosario,5458,,Tier 3,0.75,57.79,-152.4072,797205c5-6321-49bb-9ba2-11f0879ccbf5,,,,,,,,,2,2025-11-20,2,,,
001Hr000028Zc6x,"City Of Palmer, AK",Alaska,Municipality,Quinzel Perry,6094,Open Opportunity,Tier 3,0.75,61.5994,-149.1146,1c89695c-9948-400c-acb7-c5b3f8a07b46,Open,Initial Interest,Top of Funnel,Quinzel Perry,,3/21/2025,,,1,2025-06-03,,,,1
001Hr000028ZcUy,"City Of Bethel, AK",Alaska,Municipality,Joe del Rosario,6270,,Tier 3,0.75,60.7943,-161.7694,86373ca5-8dad-4f5f-add0-5ba01a99014c,,,,,,,,,,,,,,
001Hr000028ZcWB,"City Of Homer, AK",Alaska,Municipality,Joe del Rosario,5719,Open Opportunity,Tier 3,0.75,59.6481,-151.5299,08f8e8e9-02d8-4d99-978d-3d5098f14e70,Open,Initial Interest,Top of Funnel,,,12/14/2025,,,10,2025-12-15,2,,8,
001Hr000028Zcd3,"City And Borough Of Sitka, AK",Alaska,Municipality,Joe del Rosario,8407,,Tier 3,0.75,57.0532,-135.3346,df45eb1c-e1bc-4686-a7c2-610fdfdaa6cf,,,,,,,,,1,2026-05-06,,1,,
001Hr000028Zcl1,"City Of Kenai, AK",Alaska,Municipality,Joe del Rosario,7590,Open Opportunity,Tier 3,0.75,60.5549,-151.2597,1d9f3fb6-df2b-4b55-ae5e-98045ba6175f,Open,Initial Interest,Top of Funnel,Leila Assil,,12/15/2025,,,1,2026-04-20,1,,,
001Hr000028Zctw,"City Of Wasilla, AK",Alaska,Municipality,Joe del Rosario,10318,Open Opportunity,Tier 2,1.0,61.5809,-149.4411,9821ebce-d75b-4d0d-80ca-c0d9b5d83097,Open,Sales Qualified,Mid Funnel,Leila Assil,12/17/2025,12/14/2025,,,1,2025-12-16,1,,,
001Hr000028ZdEW,"City Of Fairbanks, AK",Alaska,Municipality,Joe del Rosario,32702,,Tier 1,1.5,64.8401,-147.72,48df0bc7-3a5a-4a21-ac15-5f941cc1cf5a,,,,,,,,,3,2026-05-08,,3,,
001Hr000028ZdH7,"Kenai Peninsula Borough, AK",Alaska,Municipality,Joe del Rosario,61259,,Tier S,2.0,60.0858,-151.3823,46901a0a-69ef-4d81-9c7f-aa31fdeeba8d,,,,,,,,,6,2026-05-06,5,1,,
001Hr000028ZdL5,"City and Borough of Juneau, AK",Alaska,Municipality,Joe del Rosario,31973,,Tier 1,1.5,58.3005,-134.4201,caaf9e65-1049-4c0f-8135-b5c4972aae7e,,,,,,,,,3,2026-05-06,,3,,
001Hr000028ZdWf,"Matanuska-Susitna Borough, AK",Alaska,Municipality,Joe del Rosario,117613,,Tier S,2.0,62.2599,-150.1729,f052e036-97f7-4647-abf4-0b92903f4c5b,,,,,,,,,15,2026-05-06,3,1,11,
001Hr000028ZdZa,"Fairbanks North Star Borough, AK",Alaska,Municipality,Joe del Rosario,94951,Open Opportunity,Tier S,2.0,64.9526,-146.4744,ee3f8a55-c150-4ae6-94f4-516505180958,Open,Initial Interest,Top of Funnel,Ryan Minter,,11/14/2025,,,5,2026-05-06,1,2,2,
001cv000006phkG,"City Of Nome, AK",Alaska,Municipality,Joe del Rosario,3594,Nurture,Tier 3,0.75,64.5006,-165.4086,2ac53078-ac71-4920-8d9a-ccc122baaea1,Closed Lost,,,Ryan Minter,11/25/2025,11/20/2025,,,1,2025-12-04,1,,,
001cv00000AuWXR,"City And Borough Of Wrangell, AK",Alaska,Municipality,Joe del Rosario,2055,,Tier 3,0.75,56.4706,-132.3815,cae087ec-7dce-47dc-a174-c3c0749d8bef,,,,,,,,,,,,,,
001cv00000AuWY4,"City Of Houston, AK",Alaska,Municipality,Joe del Rosario,2067,,Tier 3,0.75,61.6209,-149.7563,1795a402-4bdd-4798-b415-1e68b4807b32,,,,,,,,,3,2025-12-01,3,,,
001cv00000AuWYH,"Borough Of Haines, AK",Alaska,County,Joe del Rosario,2071,Nurture,Tier 3,0.75,59.1392,-135.0,0498e13d-f5c1-486b-a4e7-ec410ba283fc,Closed Lost,,,Leila Assil,,12/15/2025,,,1,2025-11-14,1,,,
001cv00000AuWqf,"City Of Dillingham, AK",Alaska,Municipality,Joe del Rosario,2203,Open Opportunity,Tier 3,0.75,59.0395,-158.4633,691a72d0-594c-40e8-904c-a30a444ca4a4,Open,Initial Interest,Top of Funnel,Leila Assil,,12/15/2025,,,,,,,,
001cv00000AuX7F,"City Of North Pole, AK",Alaska,Municipality,Joe del Rosario,2285,,Tier 3,0.75,64.7552,-147.3534,db1dbb85-5758-47ff-ba6a-1fc54526e566,,,,,,,,,,,,,,
001cv00000AuXTU,"City Of Cordova, AK",Alaska,Municipality,Joe del Rosario,2528,,Tier 3,0.75,60.5424,-145.7525,c6727de7-4acf-4acc-ae2c-fac208332fad,,,,,,,,,,,,,,
