Account ID,Account Name,State,Entity Type,Owner,Population,Account Status,Tier,SQO Points,Lat,Lng,Starbridge Buyer ID,Opp Status,Stage,Funnel Position,Sourced By,Discovery Call Date,Created Date,ARR,Previously Lost,Total Calls,Last Call Date,Calls - Catherine Silvestri,Calls - Ali Cohen,Calls - Ryan Minter,Calls - Lucy Nemerov,Calls - Leila Assil,Calls - Joe del Rosario,Calls - Alicia Gopal,Calls - Jenny Allison,Calls - Mihir Shah,Calls - Nick Martino,Salesforce ID
001Hr000028ZbdO,City of Manteca,California,Municipality,Lucy Nemerov,82408,,Tier S,2.0,37.7974,-121.2161,fb7578ff-3856-4d23-b052-8717df8447f4,,,,,,,,,18,2026-04-02,5,,13,,,,,,,,
001Hr000028ZbdP,"City Of Redondo Beach, CA",California,Municipality,Alicia Gopal,69781,,Tier S,2.0,33.8492,-118.3884,15af042a-e0cf-4651-a9c7-1d0a66449bfe,,,,,,,,,16,2026-02-23,7,,9,,,,,,,,
001Hr000028Zbna,City of Roseville,California,Municipality,Lucy Nemerov,145687,,Tier S,2.0,38.7483,-121.2832,c423e496-860a-4116-b9fa-9a7e283306ca,,,,,,,,,5,2026-05-20,,,,4,,1,,,,,
001Hr000028Zbng,"City Of Indio, CA",California,Municipality,Alicia Gopal,90416,Open Opportunity,Tier S,2.0,33.7206,-116.2156,4176782f-d58a-4ca1-a148-4da6ca3455ff,Open,Meeting Booked,Top of Funnel,Alicia Gopal,5/28/2026,4/30/2026,,,22,2026-05-19,,,9,,,,12,,,1,
001Hr000028Zbno,City Of Lynwood,California,Municipality,Catherine Silvestri,67497,Open Opportunity,Tier S,2.0,33.9303,-118.2115,1f355f37-098f-43ac-aab9-51b8731b5034,Open,Proposal,Mid Funnel,Catherine Silvestri,3/26/2026,2/4/2026,"$65,000",,27,2026-03-25,25,,2,,,,,,,,
001Hr000028Zbo9,"City Of Cathedral, CA",California,Municipality,Alicia Gopal,52220,Open Opportunity,Tier S,2.0,33.7805,-116.4668,04acc6f3-fe78-42ce-8b55-20ed46921835,Open,Initial Interest,Top of Funnel,Catherine Silvestri,,4/3/2026,,,7,2026-04-03,5,,2,,,,,,,,
001Hr000028ZbpG,"City Of Huntington Park, CA",California,Municipality,Alicia Gopal,53644,Open Opportunity,Tier S,2.0,33.9793,-118.2191,02f710b1-ee93-449a-9f8f-88b5fd91beba,Open,Initial Interest,Top of Funnel,Ryan Minter,,7/1/2025,,,31,2026-02-26,13,,18,,,,,,,,
001Hr000028ZbpW,City of Hayward,California,Municipality,Lucy Nemerov,162254,,Tier S,2.0,37.6688,-122.081,115afe11-b01f-42fa-9fa7-1b185302459e,,,,,,,,,26,2026-05-20,,21,,5,,,,,,,
001Hr000028ZbqY,"City Of Taft, CA",California,Municipality,Catherine Silvestri,8651,Nurture,Tier 3,0.75,35.1425,-119.4565,797ab858-c91e-488d-b154-de0fa79cd012,Closed Lost,,,Catherine Silvestri,3/5/2026,2/23/2026,,,13,2026-03-16,10,,,,,1,,2,,,
001Hr000028Zbqf,"City Of Chino, CA",California,Municipality,Alicia Gopal,92975,,Tier S,2.0,34.0137,-117.6906,bed9a9e3-ba18-4b11-b0a3-42dbb557e2a4,,,,,,,,,,,,,,,,,,,,,
001Hr000028Zbr5,"City Of Encinitas, CA",California,Municipality,Alicia Gopal,61762,,Tier S,2.0,33.037,-117.292,89ad3161-937e-4a62-beae-7d5fe08a76e4,,,,,,,,,24,2025-11-10,,,24,,,,,,,,
001Hr000028ZbrX,The City of Fountain Valley,California,Municipality,Alicia Gopal,57139,,Tier S,2.0,33.709,-117.9544,682eb0a6-8b36-4a4a-8afe-768f0da89653,,,,,,,,,9,2025-07-10,,,9,,,,,,,,
001Hr000028Zbrl,"City Of Westminster, CA",California,Municipality,Alicia Gopal,90195,,Tier S,2.0,33.7592,-117.9897,c06e0cfa-931c-4b8a-bf20-3631a35c9d32,,,,,,,,,13,2026-05-19,,,10,,,,3,,,,
001Hr000028Zbrs,"City of Paramount, CA",California,Municipality,Alicia Gopal,53904,Open Opportunity,Tier S,2.0,33.8895,-118.1598,337ad1a8-90d0-438c-9585-9722dc9484cb,Open,Initial Interest,Top of Funnel,Catherine Silvestri,5/4/2026,4/17/2026,,,29,2026-05-22,21,,8,,,,,,,,
001Hr000028ZbsA,"City Of Union City, CA",California,Municipality,Lucy Nemerov,68681,Open Opportunity,Tier S,2.0,37.5934,-122.0439,a5485671-66e7-457f-97a0-de731836dbd9,Open,Initial Interest,Top of Funnel,Catherine Silvestri,,1/29/2026,,,27,2026-02-18,24,,3,,,,,,,,
