Account ID,Account Name,State,Entity Type,Owner,Population,Account Status,Tier,SQO Points,Lat,Lng,Starbridge Buyer ID,Opp Status,Stage,Funnel Position,Sourced By,Discovery Call Date,Created Date,ARR,Previously Lost,Total Calls,Last Call Date,Calls - Jenny Allison,Calls - Catherine Silvestri,Calls - Leila Assil,Calls - Nick Martino,Calls - Ryan Minter,Calls - Alicia Gopal,Calls - Joe del Rosario,Outreach ID
001Hr000028ZbmD,"Town Of Windsor, CO",Colorado,Municipality,Catherine Silvestri,35788,Open Opportunity,Tier 1,1.5,40.4775,-104.9014,dc69ec96-dd5d-4e27-b5d3-4dfc0ebd944a,Open,Meeting Booked,Top of Funnel,Catherine Silvestri,5/19/2026,4/20/2026,,,37,2026-05-18,30,7,,,,,,724
001Hr000028Zbmr,"City Of Federal Heights, CO",Colorado,Municipality,Catherine Silvestri,14194,Nurture,Tier 2,1.0,39.8599,-105.0161,ac6a0659-4fca-421c-a218-1f1a8bbd1af2,Closed Lost,,,Troy LeCaire,,1/5/2025,,,20,2026-04-24,8,12,,,,,,816
001Hr000028Zbn5,"City Of Castle Pines, CO",Colorado,Municipality,Catherine Silvestri,12298,,Tier 2,1.0,39.4716,-104.8948,6eca523c-54e8-472d-a841-5fbbe495d636,,,,,,,,,24,2026-04-08,22,2,,,,,,725
001Hr000028Zboc,"Town Of Milliken, CO",Colorado,Municipality,Catherine Silvestri,8696,,Tier 3,0.75,40.3294,-104.8552,9e19ab0c-a3cb-49b1-8c05-7ade672e1e52,,,,,,,,,24,2025-12-12,24,,,,,,,885
001Hr000028Zbog,"City Of Fort Lupton, CO",Colorado,Municipality,Catherine Silvestri,8260,Open Opportunity,Tier 3,0.75,40.0847,-104.813,eae9c0a9-9b37-4ba5-9c14-ceef61107e47,Open,Meeting Booked,Top of Funnel,Catherine Silvestri,3/11/2026,3/3/2026,,,19,2026-03-31,13,6,,,,,,697
001Hr000028Zbp5,"Town Of Monument, CO",Colorado,Municipality,Catherine Silvestri,10859,,Tier 2,1.0,39.0917,-104.8728,1b776fee-675e-4181-9555-0d35bd385abb,,,,,,,,,18,2026-05-11,13,5,,,,,,696
001Hr000028ZbpF,"Town Of Berthoud, CO",Colorado,Municipality,Catherine Silvestri,11717,,Tier 2,1.0,40.3083,-105.0811,f053f1ad-d857-46b9-a044-8cdfcd6be25c,,,,,,,,,22,2025-12-10,22,,,,,,,699
001Hr000028Zbpe,"City Of Steamboat Springs, CO",Colorado,Municipality,Catherine Silvestri,13390,,Tier 2,1.0,40.485,-106.8317,a97767c2-034b-4e88-bfe7-a66c627b227e,,,,,,,,,28,2026-05-05,,28,,,,,,705
001Hr000028Zbqh,"City Of Fruita, CO",Colorado,Municipality,Catherine Silvestri,13508,,Tier 2,1.0,39.1589,-108.729,7f1d5ed7-2edd-4000-9253-c9c9d178f704,,,,,,,,,30,2026-05-13,23,7,,,,,,721
001Hr000028Zbqr,"Town Of Lochbuie, CO",Colorado,Municipality,Catherine Silvestri,8135,Open Opportunity,Tier 3,0.75,40.0072,-104.7161,d6efe90d-2565-4638-a5f9-8f3b2de95544,Open,Initial Interest,Top of Funnel,Catherine Silvestri,,5/4/2026,,,19,2026-05-04,10,4,5,,,,,723
001Hr000028ZbrI,"City Of Evans, CO",Colorado,Municipality,Catherine Silvestri,22296,,Tier 2,1.0,40.3764,-104.6922,477bd044-b4cf-42b8-8418-81f94dddccf5,,,,,,,,,9,2025-09-22,9,,,,,,,890
001Hr000028ZbrR,"City Of Glendale, CO",Colorado,Municipality,Catherine Silvestri,4552,Nurture,Tier 3,0.75,39.705,-104.9336,58555cd9-5593-431f-b5e2-c81a715f336c,Closed Lost,,,Jenny Allison,10/2/2025,9/29/2025,"$18,000",,5,2025-09-29,5,,,,,,,1053
001Hr000028ZbrV,"Town Of Erie, CO",Colorado,Municipality,Catherine Silvestri,31686,Nurture,Tier 1,1.5,40.0503,-105.05,57d152a9-7986-4c29-b202-b2cda47bdf6e,Closed Lost,,,Jenny Allison,9/23/2025,4/16/2025,,,8,2025-09-17,8,,,,,,,747
001Hr000028Zbra,"City Of Louisville, CO",Colorado,Municipality,Catherine Silvestri,20975,,Tier 2,1.0,39.9778,-105.1319,575076e1-6589-46d2-a9b0-e4e9edff70ef,,,,,,,,,6,2026-04-03,,5,1,,,,,746
001Hr000028ZbsJ,"City Of Littleton, CO",Colorado,Municipality,Catherine Silvestri,45191,Open Opportunity,Tier 1,1.5,39.6133,-105.0166,23f2cc0c-785b-4572-802c-6ac0b89408ac,Open,Demo,Mid Funnel,Jenny Allison,9/24/2025,9/16/2025,,Yes,2,2025-09-16,2,,,,,,,759
001Hr000028ZbtC,"City Of Englewood, CO",Colorado,Municipality,Catherine Silvestri,33516,,Tier 1,1.5,39.6478,-104.9878,7f14fcf8-c265-47f8-a79e-6785373e7c03,,,,,,,,,14,2026-05-06,7,7,,,,,,771
001Hr000028ZbtH,"City Of Fountain, CO",Colorado,Municipality,Catherine Silvestri,29677,,Tier 1,1.5,38.6822,-104.7008,41c75254-1988-46da-b481-0b2672754b00,,,,,,,,,28,2025-11-25,28,,,,,,,770
001Hr000028ZbtW,"City Of Trinidad, CO",Colorado,Municipality,Catherine Silvestri,8335,Nurture,Tier 3,0.75,37.1695,-104.5005,f62df910-fee0-4b5f-b298-d2c4a1b09db6,Closed Lost,,,Jenny Allison,9/17/2025,9/11/2025,,,10,2026-05-13,5,5,,,,,,776
001Hr000028ZbtX,"City Of Aspen, CO",Colorado,Municipality,Catherine Silvestri,6949,Nurture,Tier 3,0.75,39.1911,-106.8175,64d1633a-e63b-409f-8439-ea3f91ebec31,Closed Lost,,,Catherine Silvestri,3/16/2026,3/10/2026,,,11,2026-03-10,1,7,3,,,,,803
001Hr000028Zbth,"Town Of Johnstown, CO",Colorado,Municipality,Catherine Silvestri,18204,Open Opportunity,Tier 2,1.0,40.3369,-104.9122,501940bc-b797-4ea8-9f32-c07215e8e546,Open,Sales Qualified,Mid Funnel,Catherine Silvestri,5/6/2026,4/13/2026,,Yes,6,2026-05-08,4,2,,,,,,892
001Hr000028ZbuA,"City Of Fort Morgan, CO",Colorado,Municipality,Catherine Silvestri,11439,Open Opportunity,Tier 2,1.0,40.2503,-103.8,b9614ede-9dcb-4679-b8e1-26bb4459ac96,Open,Proposal,Mid Funnel,Jenny Allison,9/25/2025,9/12/2025,"$20,000",Yes,6,2026-01-14,2,,,,,4,,787
001Hr000028Zbv4,"City Of Rifle, CO",Colorado,Municipality,Catherine Silvestri,10518,Nurture,Tier 2,1.0,39.5297,-107.7832,eb1860d9-0d71-4bc6-8d9c-2082fc36e85b,Closed Lost,,,Leila Assil,9/25/2024,1/5/2025,,,10,2026-04-17,4,6,,,,,,893
001Hr000028ZbvI,"City Of Brighton, CO",Colorado,Municipality,Catherine Silvestri,40693,Open Opportunity,Tier 1,1.5,39.9853,-104.8205,b981405e-20a2-4ae2-a8a1-9e107cbe245f,Open,Initial Interest,Top of Funnel,Catherine Silvestri,4/24/2026,4/9/2026,,,9,2026-05-15,5,,,,4,,,818
001Hr000028ZbvK,"City Of Sheridan, CO",Colorado,Municipality,Catherine Silvestri,6035,Nurture,Tier 3,0.75,39.6469,-105.0253,3e1ecaef-b6e9-40ab-91a4-b50feb53e2a6,Closed Lost,,,Jenny Allison,9/18/2025,9/11/2025,,,7,2025-09-18,7,,,,,,,1052
001Hr000028ZbvS,"Town Of Superior, CO",Colorado,Municipality,Catherine Silvestri,13271,,Tier 2,1.0,39.9528,-105.1686,2407b74b-9896-4dcd-b822-9e54ab65add1,,,,,,,,,2,2025-09-11,2,,,,,,,817
001Hr000028ZbvX,"Town Of Firestone, CO",Colorado,Municipality,Catherine Silvestri,17299,,Tier 2,1.0,40.1125,-104.9366,7a71ec87-7509-4b7d-bd0e-ba27b023e278,,,,,,,,,38,2025-11-12,38,,,,,,,820
001Hr000028Zbvc,"City Of Lafayette, CO",Colorado,Municipality,Catherine Silvestri,31002,,Tier 1,1.5,39.9936,-105.0897,68fdb15c-6684-419e-8f55-a5a82d3004fa,,,,,,,,,18,2025-11-19,18,,,,,,,819
001Hr000028ZbwM,"Town Of Wellington, CO",Colorado,Municipality,Catherine Silvestri,11722,,Tier 2,1.0,40.7039,-105.0086,94ac00f4-e92b-413f-8859-1f80cd5ed0c0,,,,,,,,,17,2026-05-12,11,6,,,,,,913
001Hr000028Zbwa,"City Of Lamar, CO",Colorado,Municipality,Catherine Silvestri,7656,,Tier 3,0.75,38.0872,-102.6208,70ac27ae-9447-4128-bf7f-59809f8d20f5,,,,,,,,,11,2025-11-05,11,,,,,,,840
001Hr000028Zbwk,"City Of La Junta, CO",Colorado,Municipality,Catherine Silvestri,7298,,Tier 3,0.75,37.985,-103.5438,55a1d5f9-3401-49d8-b2e3-ee64c0890fba,,,,,,,,,14,2025-11-19,14,,,,,,,841
001Hr000028Zbwp,"City Of Alamosa, CO",Colorado,Municipality,Catherine Silvestri,9814,Open Opportunity,Tier 3,0.75,37.4694,-105.87,7f0059af-49ee-4793-b22e-2f6b751f23c8,Open,Meeting Booked,Top of Funnel,Catherine Silvestri,5/21/2026,5/6/2026,,,15,2025-09-18,,,15,,,,,842
001Hr000028Zbwu,"City Of Woodland Park, CO",Colorado,Municipality,Catherine Silvestri,7983,,Tier 3,0.75,38.9939,-105.0569,83e849ed-39e3-45ea-af3f-d00e04d69ae9,,,,,,,,,24,2025-10-24,24,,,,,,,843
001Hr000028Zbx4,"Town Of Frederick, CO",Colorado,Municipality,Catherine Silvestri,17937,Recent Competitor Purchase,Tier 2,1.0,40.0992,-104.9372,6a5f57e8-385c-4849-9802-6feffe27f6f5,Closed Lost,,,Jenny Allison,10/1/2025,9/17/2025,,,2,2025-09-17,2,,,,,,,844
