Account ID,Account Name,State,Entity Type,Owner,Population,Account Status,Tier,SQO Points,Lat,Lng,Starbridge Buyer ID,Opp Status,Stage,Funnel Position,Sourced By,Discovery Call Date,Created Date,ARR,Previously Lost,Total Calls,Last Call Date,Calls - Alicia Gopal,Calls - Leila Assil,Calls - Jenny Allison,Calls - Sydney Ireland
001Hr000028Zbuw,"Town Of Waterford, CT",Connecticut,Municipality,Alicia Gopal,19553,,Tier 2,1.0,41.3491,-72.1485,1b7b86f1-2dd1-4ac8-87bf-ff88e6affa2c,,,,,,,,,4,2025-11-05,4,,,
001Hr000028Zbxc,"Town Of Cheshire, CT",Connecticut,Municipality,Alicia Gopal,28628,,Tier 1,1.5,41.5084,-72.9106,a78dc464-50eb-4af0-9128-1fe9b21cf931,,,,,,,,,,,,,,
001Hr000028Zbxv,"Town Of Canterbury, CT",Connecticut,Municipality,Alicia Gopal,5060,,Tier 3,0.75,41.6962,-71.9935,a9f9f587-e489-4203-bfdd-623c5ee9296f,,,,,,,,,1,2025-11-19,1,,,
001Hr000028Zc2v,"Town Of Weston, CT",Connecticut,Municipality,Alicia Gopal,10336,,Tier 2,1.0,41.2009,-73.3807,1fbb6f29-fc37-4dee-801a-b58c9ddfee00,,,,,,,,,,,,,,
001Hr000028Zc4E,"Town Of Killingworth, CT",Connecticut,Municipality,Alicia Gopal,6268,,Tier 3,0.75,41.3582,-72.5646,682a400e-e933-4e01-915a-be4848dbffdb,,,,,,,,,,,,,,
001Hr000028ZcAv,"Town Of Guilford, CT",Connecticut,Municipality,Alicia Gopal,22031,Open Opportunity,Tier 2,1.0,41.2879,-72.6839,2fcdb3a6-ae76-45d2-9cd4-aa2d7d61352e,Open,Initial Interest,Top of Funnel,Alicia Gopal,11/18/2025,11/10/2025,,,9,2025-11-17,9,,,
001Hr000028ZcBO,"Town Of Marlborough, CT",Connecticut,Municipality,Alicia Gopal,6093,,Tier 3,0.75,41.6314,-72.4596,3d5081f3-3cf1-4852-8939-633c408f2bdc,,,,,,,,,,,,,,
001Hr000028ZcBZ,"Town Of Ledyard, CT",Connecticut,Municipality,Alicia Gopal,15336,,Tier 2,1.0,41.4456,-72.0182,5bfbe4b0-b84b-4fd6-9039-6f213e3d4354,,,,,,,,,23,2026-04-29,23,,,
001Hr000028ZcDZ,"Town Of Darien, CT",Connecticut,Municipality,Alicia Gopal,21500,Open Opportunity,Tier 2,1.0,41.0772,-73.4687,be5a4627-5176-4642-84c8-01ab5a391bda,Open,Meeting Booked,Top of Funnel,Troy LeCaire,12/11/2025,12/11/2025,,,4,2026-04-13,2,2,,
001Hr000028ZcJ4,"Town Of Woodbury, CT",Connecticut,Municipality,Alicia Gopal,9761,,Tier 3,0.75,41.5445,-73.209,6a4a6f00-f44c-45d4-98f3-e85ba75874dc,,,,,,,,,6,2025-11-21,6,,,
001Hr000028ZcJd,"Town Of Willington, CT",Connecticut,Municipality,Alicia Gopal,5528,,Tier 3,0.75,41.8809,-72.2601,b1d72b55-5e5b-4c3f-8516-7535498774a7,,,,,,,,,,,,,,
001Hr000028ZcKf,"Town Of North Branford, CT",Connecticut,Municipality,Alicia Gopal,13498,,Tier 2,1.0,41.3276,-72.7673,aab8021e-63b5-4b37-9526-79fbbc7312ec,,,,,,,,,,,,,,
001Hr000028ZcPQ,"Town Of Easton, CT",Connecticut,Municipality,Alicia Gopal,7594,All Modules Live,Tier 3,0.75,41.2712,-73.2966,fab00f06-3933-429b-add7-5c824993e97f,Closed Won,,,Leila Assil,2/11/2025,2/4/2025,"$29,000",,5,2026-05-12,5,,,
001Hr000028ZcPy,"Town Of East Haddam, CT",Connecticut,Municipality,Alicia Gopal,8965,,Tier 3,0.75,41.5034,-72.4758,4eba0468-c268-4c4c-96d6-85fd2bc81cc7,,,,,,,,,7,2025-11-24,7,,,
001Hr000028ZcQm,"Town Of Westbrook, CT",Connecticut,Municipality,Alicia Gopal,6810,Implementation,Tier 3,0.75,41.2856,-72.4482,3e413e90-67cb-4b4c-91b0-4665d8eb0f3b,Closed Won,,,Alicia Gopal,10/21/2025,10/14/2025,"$28,000",,10,2025-10-17,10,,,
