Account ID,Account Name,State,Entity Type,Owner,Population,Account Status,Tier,SQO Points,Lat,Lng,Starbridge Buyer ID,Opp Status,Stage,Funnel Position,Sourced By,Discovery Call Date,Created Date,ARR,Previously Lost,Total Calls,Last Call Date,Calls - Hugh Bargeron,Calls - Quinzel Perry,Calls - Jenny Allison,Calls - Joe del Rosario,Calls - Alicia Gopal,Calls - Nick Martino,Calls - Emily Murnane
001Hr000028ZbnW,"City Of Decatur, GA",Georgia,Municipality,Hugh Bargeron,24569,,Tier 2,1.0,33.7748,-84.2963,411a552d-17ab-414a-8a48-dedc89528fe3,,,,,,,,,12,2026-05-11,11,1,,,,,
001Hr000028Zbo3,"City Of Mcrae Helena, GA",Georgia,Municipality,Hugh Bargeron,5903,Recent Competitor Purchase,Tier 3,0.75,32.0681,-82.901,2d730e19-3772-4427-8373-04a6903f052e,,,,,,,,,1,2026-04-10,1,,,,,,
001Hr000028Zbo5,"City Of Bremen, GA",Georgia,Municipality,Hugh Bargeron,7474,Recent Competitor Purchase,Tier 3,0.75,33.7212,-85.1455,b303d91d-7d91-4ca1-a3ff-eada23dfd900,,,,,,,,,2,2026-05-11,1,1,,,,,
001Hr000028ZboF,"City Of Hampton, GA",Georgia,Municipality,Hugh Bargeron,8346,All Modules Live,Tier 3,0.75,33.3851,-84.2829,39c99214-44cc-4de8-837c-fecb8c955469,Closed Won,,,Asher Rosenfeld,,1/5/2025,"$15,000",,,,,,,,,,
001Hr000028Zbok,"City Of Fort Oglethorpe, GA",Georgia,Municipality,Hugh Bargeron,10531,,Tier 2,1.0,34.949,-85.2569,324e34ef-a74b-4c23-bb58-52e72af659ea,,,,,,,,,6,2026-03-27,6,,,,,,
001Hr000028Zbpa,"City Of Americus, GA",Georgia,Municipality,Hugh Bargeron,15989,,Tier 2,1.0,32.0724,-84.2327,d441bf70-4d66-472e-99aa-0f38b12ded68,,,,,,,,,1,2025-11-12,,,1,,,,
001Hr000028Zbq0,"City Of Gainesville, GA",Georgia,Municipality,Hugh Bargeron,43417,,Tier 1,1.5,34.2979,-83.8241,0e52f69f-114f-4aab-a61d-f063a26ceb2b,,,,,,,,,3,2026-03-20,3,,,,,,
001Hr000028ZbqC,"City Of Brunswick, GA",Georgia,Municipality,Hugh Bargeron,14629,,Tier 2,1.0,31.1511,-81.4878,2cd330a9-85eb-45a4-a2de-7a50a6cfc0b1,,,,,,,,,7,2026-04-13,7,,,,,,
001Hr000028ZbqV,"Town Of Braselton, GA",Georgia,Municipality,Hugh Bargeron,14383,Nurture,Tier 2,1.0,34.1093,-83.7627,09b04469-7b84-480f-9115-21788094b369,Closed Lost,,,Asher Rosenfeld,,1/5/2025,,,4,2026-05-18,3,1,,,,,
001Hr000028Zbql,"City Of Stockbridge, GA",Georgia,Municipality,Hugh Bargeron,29163,Recent Competitor Purchase,Tier 1,1.5,33.5438,-84.229,ccc23349-7d52-49d9-a6cb-b053fce3044a,Closed Lost,,,Shane Lieberman,6/11/2024,1/5/2025,,,2,2026-05-19,2,,,,,,
