Account ID,Account Name,State,Entity Type,Owner,Population,Account Status,Tier,SQO Points,Lat,Lng,Starbridge Buyer ID,Opp Status,Stage,Funnel Position,Sourced By,Discovery Call Date,Created Date,ARR,Previously Lost,Total Calls,Last Call Date,Calls - Ben Laddis,Calls - Joe del Rosario,Calls - Quinzel Perry,Calls - Jenny Allison,Calls - Emily Murnane,Calls - Ryan Minter,Salesforce ID
001Hr000028Zbn2,"City Of Denison, IA",Iowa,Municipality,Ben Laddis,8178,Nurture,Tier 3,0.75,42.025,-95.3589,9ea57176-e8eb-4233-b6b1-2cbf42e17ec5,Closed Lost,,,Quinzel Perry,7/1/2025,4/7/2025,,,15,2026-04-06,2,,13,,,,
001Hr000028Zbp2,"City Of Glenwood, IA",Iowa,Municipality,Ben Laddis,5170,,Tier 3,0.75,41.0469,-95.7425,04bd4441-fd9e-4198-88ee-87fbc948e397,,,,,,,,,1,2026-02-03,1,,,,,,
001Hr000028Zbs3,"City Of Storm Lake, IA",Iowa,Municipality,Ben Laddis,11256,,Tier 2,1.0,42.643,-95.2019,2f426d4c-c77d-435d-adcb-4076264a9655,,,,,,,,,3,2026-05-18,2,,,,,1,
001Hr000028Zbt9,"City Of Manchester, IA",Iowa,Municipality,Ben Laddis,5094,Open Opportunity,Tier 3,0.75,42.4858,-91.458,cac7e8b2-27b9-459a-b8ea-386a53bd62bc,Open,Proposal,Mid Funnel,Ben Laddis,2/4/2026,2/2/2026,"$12,000",,11,2026-05-19,1,,,10,,,
001Hr000028ZbuO,"City Of Spencer, IA",Iowa,Municipality,Ben Laddis,11356,,Tier 2,1.0,43.1457,-95.1451,1063475e-56ca-4820-8923-45b6011513f7,,,,,,,,,18,2026-03-17,16,2,,,,,
001Hr000028ZbxV,"City Of Fort Madison, IA",Iowa,Municipality,Ben Laddis,10174,,Tier 2,1.0,40.6298,-91.3145,3cef1546-cb72-4025-9364-f27167924f48,,,,,,,,,2,2026-04-07,1,1,,,,,
001Hr000028ZbxX,"City Of Waukee, IA",Iowa,Municipality,Ben Laddis,26495,,Tier 1,1.5,41.615,-93.8722,ff4bb0a9-862b-43ee-b42c-08fc7b45bb30,,,,,,,,,29,2026-04-17,7,20,2,,,,
001Hr000028Zbyw,"City Of Atlantic, IA",Iowa,Municipality,Ben Laddis,6758,Nurture,Tier 3,0.75,41.4036,-95.0139,db57194f-f886-4fae-8952-672dc7c7301c,Closed Lost,,,Harrison Peacock,9/18/2024,1/5/2025,,,5,2026-04-23,5,,,,,,
001Hr000028Zbz9,"City Of Osceola, IA",Iowa,Municipality,Ben Laddis,5536,,Tier 3,0.75,41.0343,-93.7668,fe5224e4-c5a3-417e-a7bd-b2f4d181b114,,,,,,,,,2,2026-02-09,2,,,,,,
001Hr000028Zc1d,"City Of Asbury, IA",Iowa,Municipality,Ben Laddis,5984,,Tier 3,0.75,42.5146,-90.7502,5b772a5e-0c06-4622-873a-2b7f8043d338,,,,,,,,,1,2026-04-08,,,,1,,,
001Hr000028Zc2b,"City Of Ames, IA",Iowa,Municipality,Ben Laddis,66424,Open Opportunity,Tier S,2.0,42.0308,-93.6319,6022af34-20cf-44d2-8371-2f41bb9cad01,Open,Initial Interest,Top of Funnel,Ben Laddis,,4/15/2026,,,34,2026-04-15,16,2,,,16,,
001Hr000028Zc86,"City Of Le Mars, IA",Iowa,Municipality,Ben Laddis,10572,,Tier 2,1.0,42.7942,-96.1656,89eb22b6-2b23-4c0c-8082-265133c0b416,,,,,,,,,12,2026-03-13,11,1,,,,,
001Hr000028ZcBt,"City Of Anamosa, IA",Iowa,Municipality,Ben Laddis,5350,Open Opportunity,Tier 3,0.75,42.1083,-91.2852,f37249b3-1acc-447e-bc4b-eb86235b167e,Open,Meeting Booked,Top of Funnel,Ben Laddis,7/14/2026,4/13/2026,,Yes,3,2026-04-13,3,,,,,,
001Hr000028ZcCI,"City Of Nevada, IA",Iowa,Municipality,Ben Laddis,7057,Open Opportunity,Tier 3,0.75,42.0227,-93.4523,fef98ada-5c16-4705-873c-ee1aeac2ad4c,Open,Meeting Booked,Top of Funnel,Ben Laddis,9/17/2026,4/23/2026,,,21,2026-04-30,21,,,,,,
001Hr000028ZcGS,"City Of Vinton, IA",Iowa,Municipality,Ben Laddis,4931,Nurture,Tier 3,0.75,42.1646,-92.0186,9c288372-2a2b-49e1-898d-417bc7dc4e1b,Closed Lost,,,Joe del Rosario,9/3/2024,1/5/2025,,,9,2026-04-16,6,3,,,,,
001Hr000028ZcH2,"City Of Carroll, IA",Iowa,Municipality,Ben Laddis,10224,,Tier 2,1.0,42.0656,-94.8673,8e06d78c-f6ba-49ae-b13b-64ded4b1c519,,,,,,,,,4,2026-04-09,3,1,,,,,
001Hr000028ZcJG,"City Of Sheldon, IA",Iowa,Municipality,Ben Laddis,5428,Open Opportunity,Tier 3,0.75,43.1812,-95.857,806102e2-f1ea-49c8-b456-6d9fa138f161,Open,Initial Interest,Top of Funnel,Ben Laddis,5/21/2026,3/18/2026,,,19,2026-05-21,18,,,1,,,
001Hr000028ZcL3,"City Of Mount Pleasant, IA",Iowa,Municipality,Ben Laddis,8982,,Tier 3,0.75,40.9717,-91.5488,27ffdc0a-13fe-470c-887f-6179e99e5482,,,,,,,,,,,,,,,,,
001Hr000028ZcNK,"City Of Estherville, IA",Iowa,Municipality,Ben Laddis,5861,,Tier 3,0.75,43.4013,-94.8392,49065273-e8c1-4b58-9fcc-aff9acbf71e2,,,,,,,,,2,2026-02-02,2,,,,,,
