Account ID,Account Name,State,Entity Type,Owner,Population,Account Status,Tier,SQO Points,Lat,Lng,Starbridge Buyer ID,Opp Status,Stage,Funnel Position,Sourced By,Discovery Call Date,Created Date,ARR,Previously Lost,Total Calls,Last Call Date,Calls - Catherine Silvestri,Calls - Ali Cohen,Calls - Joe del Rosario,Calls - Ryan Minter,Calls - Jenny Allison,Outreach ID
001Hr000028ZbdI,"City Of Lewiston, ID",Idaho,Municipality,Ryan Minter,34447,All Modules Live,Tier 1,1.5,46.4041,-117.002,b6f29c67-0aea-419b-af5d-57dfee473b80,Closed Won,,,Granger West,10/24/2024,1/5/2025,"$35,000",,,,,,,,,695
001Hr000028ZbmE,"City Of Jerome, ID",Idaho,Municipality,Ryan Minter,12555,,Tier 2,1.0,42.7241,-114.5187,0f5306bb-e1e7-49c9-b95a-4e85f443e6be,,,,,,,,,5,2026-05-13,,,4,1,,773
001Hr000028Zbn6,"City Of Blackfoot, ID",Idaho,Municipality,Ryan Minter,12332,,Tier 2,1.0,43.1905,-112.345,720b3991-08a9-47ce-b86f-a72974a034a9,,,,,,,,,9,2025-07-21,,,9,,,804
001Hr000028ZboW,"City Of Hayden, ID",Idaho,Municipality,Ryan Minter,16924,,Tier 2,1.0,47.766,-116.7866,6c8763b7-dcd0-4c68-b4d8-763baa6b363e,,,,,,,,,9,2026-05-18,7,,2,,,689
001Hr000028Zbp7,"City Of Sandpoint, ID",Idaho,Municipality,Ryan Minter,9003,Recent Competitor Purchase,Tier 3,0.75,48.2766,-116.5535,22c2aa51-f7c0-449e-8e02-3d339e84d736,,,,,,,,,11,2026-03-23,10,,1,,,929
001Hr000028Zbpj,"City Of Rexburg, ID",Idaho,Municipality,Ryan Minter,35300,Open Opportunity,Tier 1,1.5,43.8231,-111.7924,718d6e70-27e1-4508-adb3-a31dc339aa4c,Open,Meeting Booked,Top of Funnel,Catherine Silvestri,5/5/2026,5/1/2026,,,13,2026-05-12,8,,5,,,707
001Hr000028Zbpt,"City Of Moscow, ID",Idaho,Municipality,Ryan Minter,25850,,Tier 1,1.5,46.7324,-117.0002,80f74857-6e81-457f-9e8a-2c24fc357bfe,,,,,,,,,10,2026-05-13,7,,1,2,,709
001Hr000028Zbq8,"City Of Twin Falls, ID",Idaho,Municipality,Ryan Minter,53213,,Tier S,2.0,42.5558,-114.4701,b7fbcf1d-11bf-4b07-b91b-e314973a4123,,,,,,,,,8,2026-05-13,7,,,1,,708
001Hr000028Zbt7,"City Of Eagle, ID",Idaho,Municipality,Ryan Minter,32100,,Tier 1,1.5,43.6954,-116.354,1f6b61fe-aab5-482e-8834-8011b9a4630d,,,,,,,,,2,2026-04-07,2,,,,,772
001Hr000028ZbtM,"City Of Burley, ID",Idaho,Municipality,Ryan Minter,11863,,Tier 2,1.0,42.5357,-113.7928,0d55fbcf-39e9-4139-8e2f-89cf89a41874,,,,,,,,,3,2026-04-10,2,,1,,,774
001Hr000028Zbuo,"Garden City, ID",Idaho,Municipality,Ryan Minter,12056,,Tier 2,1.0,43.6221,-116.2382,75eeea66-e7fa-457a-89fb-2b1afe51b221,,,,,,,,,10,2025-11-10,,10,,,,807
001Hr000028Zbut,"City Of Chubbuck, ID",Idaho,Municipality,Ryan Minter,15842,Open Opportunity,Tier 2,1.0,42.9207,-112.4661,7a2fb384-267e-499e-9538-7d7e22bbbefe,Open,Proposal,Mid Funnel,Catherine Silvestri,4/9/2026,4/8/2026,"$29,000",,7,2026-04-08,7,,,,,805
001Hr000028Zbuy,"City Of Ammon, ID",Idaho,Municipality,Ryan Minter,18673,Nurture,Tier 2,1.0,43.4696,-111.9666,f28347c7-91ad-4890-9656-bc890d8af672,Closed Lost,,,Asher Rosenfeld,,1/5/2025,,,6,2026-05-11,4,,2,,,809
001Hr000028Zbv3,"City Of Star, ID",Idaho,Municipality,Ryan Minter,12912,,Tier 2,1.0,43.6921,-116.4935,3bfbc2b2-f585-4522-a0ce-d438433a2270,,,,,,,,,32,2026-05-04,21,,11,,,806
001Hr000028Zbv8,"City Of Kuna, ID",Idaho,Municipality,Ryan Minter,26673,,Tier 1,1.5,43.4918,-116.4201,3047da04-1877-414f-925e-656e90f2048a,,,,,,,,,21,2026-05-11,18,,3,,,808
001Hr000028Zbzk,"City Of Emmett, ID",Idaho,Municipality,Ryan Minter,7819,,Tier 3,0.75,43.8735,-116.4993,464c884c-6710-4f01-a817-1dc0d94fe119,,,,,,,,,4,2026-05-13,2,,1,1,,930
001Hr000028Zbzt,"City Of Mountain Home, ID",Idaho,Municipality,Catherine Silvestri,16912,Nurture,Tier 2,1.0,43.133,-115.6912,ac29bfa2-d434-4d52-a496-33033462452f,Closed Lost,,,Joe del Rosario,10/29/2024,1/5/2025,,,1,2026-04-30,1,,,,,910
001Hr000028Zc0m,"City Of Weiser, ID",Idaho,Municipality,Ryan Minter,5810,,Tier 3,0.75,44.251,-116.9693,3574dd98-8dbd-42de-978a-0482f6623dad,,,,,,,,,2,2026-05-15,,,,2,,931
001Hr000028Zc0r,"City Of Rathdrum, ID",Idaho,Municipality,Ryan Minter,10223,,Tier 2,1.0,47.8124,-116.8966,56c9a75b-4351-4194-ab8d-23015a1ae1a4,,,,,,,,,7,2026-05-15,1,,5,1,,936
001Hr000028Zc0w,"City Of Payette, ID",Idaho,Municipality,Ryan Minter,8415,Nurture,Tier 3,0.75,44.0782,-116.9338,f1236b34-bff5-4594-bfbc-c389812563ae,Closed Lost,,,Troy LeCaire,,1/5/2025,,,5,2026-05-13,,4,,1,,935
001Hr000028Zc11,"City Of Rupert, ID",Idaho,Municipality,Ryan Minter,6099,,Tier 3,0.75,42.6191,-113.6772,81058118-77eb-4a8f-8019-494648b6cae4,,,,,,,,,,,,,,,,932
001Hr000028Zc16,"City Of Middleton, ID",Idaho,Municipality,Ryan Minter,10169,,Tier 2,1.0,43.7068,-116.6201,60bb96e7-d346-4d20-8aa1-ae512511bc9d,,,,,,,,,4,2026-02-02,,4,,,,934
001Hr000028Zc1B,"City Of Hailey, ID",Idaho,Municipality,Ryan Minter,9463,Nurture,Tier 3,0.75,43.5196,-114.3153,2ae08db0-db0e-459d-8c7b-3c3b9dfff812,Closed Lost,,,Asher Rosenfeld,,1/5/2025,,,8,2026-01-13,,5,3,,,937
001Hr000028Zc1G,"City Of Preston, ID",Idaho,Municipality,Ryan Minter,5771,,Tier 3,0.75,42.0963,-111.8766,3aaab66a-62a8-480d-a82a-b92111837a8d,,,,,,,,,6,2026-05-13,3,,,1,2,938
