Account ID,Account Name,State,Entity Type,Owner,Population,Account Status,Tier,SQO Points,Lat,Lng,Starbridge Buyer ID,Opp Status,Stage,Funnel Position,Sourced By,Discovery Call Date,Created Date,ARR,Previously Lost,Total Calls,Last Call Date,Calls - Lucy Nemerov,Calls - Nick Martino,Calls - Quinzel Perry,Calls - Alicia Gopal,Calls - Ben Laddis,Calls - Jenny Allison,Calls - Joe del Rosario,Salesforce ID
001Hr000028ZbbE,"Village Of Stickney, IL",Illinois,Municipality,Ben Laddis,6963,,Tier 3,0.75,41.8178,-87.7924,f73ba3d9-466b-49c8-8c68-667f3a087ba3,,,,,,,,,4,2025-07-02,,,4,,,,,
001Hr000028ZbmW,"Village Of Worth, IL",Illinois,Municipality,Ali Cohen,10708,,Tier 2,1.0,41.6902,-87.7885,98898169-12df-4f7b-a941-6dd6a0f9c89f,,,,,,,,,5,2025-09-26,,,5,,,,,
001Hr000028ZbmZ,"City Of Lake Forest, IL",Illinois,Municipality,Ali Cohen,19253,Recent Competitor Purchase,Tier 2,1.0,42.2586,-87.8406,03065d70-61b6-4828-9656-0b4cbbbb3d74,,,,,,,,,15,2026-03-11,,15,,,,,,
001Hr000028ZboZ,"Village Of Lincolnshire, IL",Illinois,Municipality,Ali Cohen,7932,,Tier 3,0.75,42.1976,-87.9318,31bd2149-8030-4cee-a89c-100698296f40,,,,,,,,,7,2025-10-09,,,7,,,,,
001Hr000028Zbp4,"City Of Harvard, IL",Illinois,Municipality,Ali Cohen,9459,,Tier 3,0.75,42.4222,-88.6137,67e085cd-d5de-477c-bc45-6f49946bf48c,,,,,,,,,5,2026-02-02,,5,,,,,,
001Hr000028Zbqb,"Village Of Roscoe, IL",Illinois,Municipality,Lucy Nemerov,10871,,Tier 2,1.0,42.4134,-89.0093,e7d4ac68-982f-43d6-a875-fe9469b4d24b,,,,,,,,,11,2026-05-05,11,,,,,,,
001Hr000028ZbrU,"Township Of Grafton, IL",Illinois,Municipality,Ali Cohen,56867,Unviable,Tier S,2.0,42.2057,-88.421,4733c087-7f89-426f-befa-6f0bf3985ce0,,,,,,,,,,,,,,,,,,
001Hr000028Zbs8,"Village Of Spring Grove, IL",Illinois,Municipality,Ali Cohen,5511,,Tier 3,0.75,42.4436,-88.2365,bce34a59-36c5-4673-ae61-c31536a495ea,,,,,,,,,1,2025-07-23,,,1,,,,,
001Hr000028ZbsH,"Village Of Cary, IL",Illinois,Municipality,Lucy Nemerov,17848,,Tier 2,1.0,42.2133,-88.2477,e8561a5a-6562-4a1b-a0c6-69b228027e0d,,,,,,,,,2,2026-03-02,2,,,,,,,
001Hr000028ZbtA,"City Of Pana, IL",Illinois,Municipality,Lucy Nemerov,5262,,Tier 3,0.75,39.3889,-89.0801,a415c7ba-fb29-4c53-aa1c-d9991214deab,,,,,,,,,9,2026-05-07,9,,,,,,,
001Hr000028ZbtB,"Township Of Mount Zion, IL",Illinois,Municipality,Ben Laddis,7085,Unviable,Tier 3,0.75,39.7714,-88.8742,5c49cd3b-59ae-45ca-b918-dd76fcfa9b17,,,,,,,,,,,,,,,,,,
001Hr000028Zbux,"Village Of Grayslake, IL",Illinois,Municipality,Lucy Nemerov,21121,,Tier 2,1.0,42.3445,-88.0417,2fcccf2d-981f-40be-aca5-77b5fd270abd,,,,,,,,,,,,,,,,,,
001Hr000028ZbwT,"City Of Rolling Meadows, IL",Illinois,Municipality,Lucy Nemerov,23781,Recent Competitor Purchase,Tier 2,1.0,42.0817,-88.029,59f3b1ac-551f-4267-8f9a-6e92bdf71e24,,,,,,,,,1,2025-11-13,,,,1,,,,
001Hr000028Zbxh,"Township Of Manteno, IL",Illinois,Municipality,Ben Laddis,11161,Unviable,Tier 2,1.0,41.2405,-87.8353,4e04137a-5c51-42c8-81bf-4e4d5d09c503,,,,,,,,,,,,,,,,,,
001Hr000028Zby4,"Village Of Richton Park, IL",Illinois,Municipality,Lucy Nemerov,12494,,Tier 2,1.0,41.4845,-87.7034,9ebe6098-547a-46bc-a614-3fa09126ae51,,,,,,,,,9,2026-05-04,9,,,,,,,
001Hr000028Zbyo,"City Of Northlake, IL",Illinois,Municipality,Ben Laddis,12664,,Tier 2,1.0,41.9173,-87.8956,ab924ea6-b31b-44bf-9c0a-c8d7d8d4e3de,,,,,,,,,14,2026-01-20,,14,,,,,,
001Hr000028Zbyy,"Village Of Island Lake, IL",Illinois,Municipality,Lucy Nemerov,8027,,Tier 3,0.75,42.2761,-88.192,04f276bb-5972-43b2-baff-b15536ceb523,,,,,,,,,4,2026-03-06,2,,2,,,,,
