Account ID,Account Name,State,Entity Type,Owner,Population,Account Status,Tier,SQO Points,Lat,Lng,Starbridge Buyer ID,Opp Status,Stage,Funnel Position,Sourced By,Discovery Call Date,Created Date,ARR,Previously Lost,Total Calls,Last Call Date,Calls - Sydney Ireland,Calls - Quinzel Perry,Calls - Ali Cohen,Calls - Nick Martino,Calls - Jenny Allison,Calls - Ryan Minter,Calls - Blake Anderson,Calls - Alicia Gopal,Calls - Joe del Rosario,Calls - Emily Murnane,Outreach ID
001Hr000028ZbnI,"City Of West Lafayette, IN",Indiana,Municipality,Blake Anderson,44672,,Tier 1,1.5,40.4259,-86.9081,53710f91-bfce-4c08-aea8-58419e36c982,,,,,,,,,4,2026-02-09,4,,,,,,,,,,6108
001Hr000028Zbnr,"City Of Charlestown, IN",Indiana,Municipality,Sydney Ireland,8147,Open Opportunity,Tier 3,0.75,38.4531,-85.6702,6c832db0-4f07-4f7a-8480-5ae79002bdc1,Open,Meeting Booked,Top of Funnel,Sydney Ireland,2/10/2026,2/2/2026,,,18,2026-02-19,18,,,,,,,,,,4177
001Hr000028Zbp3,"Town Of Bargersville, IN",Indiana,Municipality,Sydney Ireland,10239,,Tier 2,1.0,39.5209,-86.1678,178a8e65-0894-40e7-b650-def8d68893af,,,,,,,,,28,2026-05-19,25,3,,,,,,,,,4405
001Hr000028ZbuE,"City Of Richmond, IN",Indiana,Municipality,Sydney Ireland,35817,,Tier 1,1.5,39.829,-84.8916,438e4a2d-bc52-40d9-afdc-09e744c382df,,,,,,,,,2,2026-02-12,2,,,,,,,,,,5971
001Hr000028ZbvH,"Town Of New Whiteland, IN",Indiana,Municipality,Blake Anderson,5593,,Tier 3,0.75,39.5581,-86.0953,96d7d727-6e10-4d16-a8ee-a45c2b2bd482,,,,,,,,,1,2026-02-25,1,,,,,,,,,,3807
001Hr000028ZbxS,"City Of Greencastle, IN",Indiana,Municipality,Sydney Ireland,12740,Open Opportunity,Tier 2,1.0,39.644,-86.8645,3743d13f-ec0e-4c99-8c06-5c2ece1cdf97,Open,Meeting Booked,Top of Funnel,Sydney Ireland,3/5/2026,4/9/2025,,,15,2026-03-06,8,7,,,,,,,,,4561
001Hr000028Zc0g,"City Of Madison, IN",Indiana,Municipality,Sydney Ireland,12266,,Tier 2,1.0,38.7359,-85.38,74f18bd5-c435-409e-9fc2-def6b297dae1,,,,,,,,,5,2026-05-08,3,2,,,,,,,,,4839
001Hr000028ZcKH,"City Of Martinsville, IN",Indiana,Municipality,Sydney Ireland,11882,,Tier 2,1.0,39.4278,-86.4283,a2a3448e-7b42-4160-8fc0-ffa3596d87d6,,,,,,,,,18,2026-05-18,4,14,,,,,,,,,4806
001Hr000028ZcKW,"Town Of Westville, IN",Indiana,Municipality,Blake Anderson,5307,,Tier 3,0.75,41.5414,-86.9006,61cea923-a065-41f3-b57c-4ddb81009396,,,,,,,,,2,2026-02-11,2,,,,,,,,,,3688
001Hr000028ZcLY,"City Of Rensselaer, IN",Indiana,Municipality,Sydney Ireland,6130,Recent Competitor Purchase,Tier 3,0.75,40.9367,-87.1509,01eda485-a096-46cd-bf93-94ed057073b1,,,,,,,,,7,2026-03-13,5,2,,,,,,,,,3793
001Hr000028ZcOE,"Town Of Sellersburg, IN",Indiana,Municipality,Sydney Ireland,9583,,Tier 3,0.75,38.3981,-85.755,14f59aeb-10ef-4991-9fa6-0ae2a36fbb3d,,,,,,,,,1,2026-02-23,1,,,,,,,,,,4521
001Hr000028ZcP1,"Town Of Winfield, IN",Indiana,Municipality,Sydney Ireland,7481,All Modules Live,Tier 3,0.75,41.4203,-87.2391,f14f55c1-06d0-4ecd-afc9-994a8a348095,Closed Won,,,Quinzel Perry,10/10/2024,1/5/2025,"$16,000",,,,,,,,,,,,,,3718
001Hr000028ZcP2,"City Of Garrett, IN",Indiana,Municipality,Blake Anderson,6546,Open Opportunity,Tier 3,0.75,41.3495,-85.1355,e982fe45-1d7f-45cb-8f33-c36913e06314,Open,Meeting Booked,Top of Funnel,Quinzel Perry,7/31/2025,7/29/2025,,Yes,8,2026-03-10,1,7,,,,,,,,,3880
001Hr000028ZcR5,"City of Columbus, IN",Indiana,Municipality,Blake Anderson,51970,,Tier S,2.0,39.2014,-85.9214,2d914d28-38ba-40d6-835c-3d188d26cb22,,,,,,,,,8,2026-03-09,3,5,,,,,,,,,11665
001Hr000028ZcRV,"City Of Decatur, IN",Indiana,Municipality,Blake Anderson,9918,,Tier 3,0.75,40.8306,-84.9291,d90f3407-21e5-4afd-898b-735ff2896cc6,,,,,,,,,4,2026-05-08,2,2,,,,,,,,,4514
001Hr000028ZcS1,"City Of Laporte, IN",Indiana,Municipality,Blake Anderson,22383,Nurture,Tier 2,1.0,41.6111,-86.7227,f1b1a51f-22b5-4d9c-b1a7-a00e7d4f2a48,Closed Lost,,,Sydney Ireland,1/29/2026,1/27/2026,,,9,2026-02-18,6,3,,,,,,,,,5517
001Hr000028ZcSc,"City Of Lake Station, IN",Indiana,Municipality,Sydney Ireland,13160,Open Opportunity,Tier 2,1.0,41.575,-87.2389,b56c80aa-bfd1-452e-9e69-8229db2b0a6d,Open,Meeting Booked,Top of Funnel,Sydney Ireland,2/13/2026,2/12/2026,,,49,2026-04-07,27,22,,,,,,,,,4947
001Hr000028ZcTG,"City Of Princeton, IN",Indiana,Municipality,Sydney Ireland,8315,,Tier 3,0.75,38.3553,-87.5675,7f3d20c3-f7ed-4203-a093-5dd71805448f,,,,,,,,,1,2026-03-27,1,,,,,,,,,,4276
001Hr000028ZcTn,"City Of Angola, IN",Indiana,Municipality,Blake Anderson,8999,Nurture,Tier 3,0.75,41.6348,-84.9994,8e709dc9-f847-4906-9f65-1fb43368d7c5,Closed Lost,,,Asher Rosenfeld,,1/5/2025,,,1,2026-02-20,1,,,,,,,,,,4382
001Hr000028ZcVS,"Town Of Schererville, IN",Indiana,Municipality,Sydney Ireland,29589,,Tier 1,1.5,41.4789,-87.4548,5531d6f9-08ae-4f05-b6c1-7e7a4fde07d2,,,,,,,,,22,2026-02-25,13,9,,,,,,,,,5820
001Hr000028ZcVX,"City Of Batesville, IN",Indiana,Municipality,Sydney Ireland,7236,,Tier 3,0.75,39.3001,-85.2222,4c6d7075-73d3-42d1-b473-225c36e40d94,,,,,,,,,4,2026-03-27,4,,,,,,,,,,4017
001Hr000028ZcXc,"City Of Portland, IN",Indiana,Municipality,Sydney Ireland,6228,,Tier 3,0.75,40.4345,-84.9777,fbf68101-18b1-4046-802c-22add5e04224,,,,,,,,,3,2025-10-27,,3,,,,,,,,,3745
001Hr000028ZcZ2,"City Of Boonville, IN",Indiana,Municipality,Sydney Ireland,6627,Open Opportunity,Tier 3,0.75,38.0492,-87.2742,07f6756a-e729-4bea-87b5-e47d037c8759,Open,Initial Interest,Top of Funnel,Asher Rosenfeld,,1/5/2025,,,4,2026-03-05,2,2,,,,,,,,,3882
001Hr000028ZcZ6,"Town Of Speedway, IN",Indiana,Municipality,Sydney Ireland,13770,Open Opportunity,Tier 2,1.0,39.7927,-86.2508,1c5f55bf-7a90-44c4-9f23-25f970fd320f,Open,Meeting Booked,Top of Funnel,Sydney Ireland,3/2/2026,2/24/2026,,Yes,23,2026-03-02,16,7,,,,,,,,,4973
001Hr000028ZcZK,"City Of Tell City, IN",Indiana,Municipality,Sydney Ireland,7515,Nurture,Tier 3,0.75,37.9514,-86.7678,1e3da52a-b20f-4b70-b35a-fda84d27e3d1,Closed Lost,,,Asher Rosenfeld,,1/5/2025,,,8,2026-05-08,8,,,,,,,,,,4093
001Hr000028ZcZL,"City Of Brazil, IN",Indiana,Municipality,Blake Anderson,8154,,Tier 3,0.75,39.5237,-87.125,d0385866-e7b0-433a-8f68-cf87b356ce30,,,,,,,,,5,2026-03-27,5,,,,,,,,,,4270
001Hr000028ZcZu,"Town Of Dyer, IN",Indiana,Municipality,Blake Anderson,16441,,Tier 2,1.0,41.4942,-87.5217,ac27ea92-edbd-48c1-8fcb-4a84aae661b3,,,,,,,,,6,2026-02-13,2,4,,,,,,,,,5210
001Hr000028Zca8,"City Of Linton, IN",Indiana,Municipality,Sydney Ireland,5147,,Tier 3,0.75,39.0348,-87.1658,93e39ea9-b418-4f55-8b78-a3ab5cd00e41,,,,,,,,,1,2025-06-26,,1,,,,,,,,,3538
