Account ID,Account Name,State,Entity Type,Owner,Population,Account Status,Tier,SQO Points,Lat,Lng,Starbridge Buyer ID,Opp Status,Stage,Funnel Position,Sourced By,Discovery Call Date,Created Date,ARR,Previously Lost,Total Calls,Last Call Date,Calls - Ryan Minter,Calls - Sydney Ireland,Calls - Leila Assil,Calls - Jenny Allison,Calls - Hugh Bargeron,Calls - Emily Murnane,Outreach ID
001Hr000028ZbbF,"City Of Pikeville, KY",Kentucky,Municipality,Hugh Bargeron,7327,,Tier 3,0.75,37.4793,-82.5188,1db5eb7e-89c5-4c33-a739-d3666457c737,,,,,,,,,10,2026-05-08,8,2,,,,,4060
001Hr000028Zbpf,"City Of St Matthews, KY",Kentucky,Municipality,Hugh Bargeron,17437,,Tier 2,1.0,38.2436,-85.6358,efbbcdd8-d527-4c9c-ae4e-3227388bfb69,,,,,,,,,7,2026-02-13,4,3,,,,,5277
001Hr000028ZcAM,"City Of Cynthiana, KY",Kentucky,Municipality,Hugh Bargeron,6361,Nurture,Tier 3,0.75,38.3904,-84.2941,9c70f1c4-73f1-4782-a046-882c7d3446db,Closed Lost,,,Liam Shaw,4/17/2024,1/5/2025,,,5,2026-05-08,2,3,,,,,3825
001Hr000028ZcBP,"City Of Cold Spring, KY",Kentucky,Municipality,Hugh Bargeron,6243,All Modules Live,Tier 3,0.75,39.0217,-84.4399,429de85d-0a61-4056-beea-03419ebc1949,Closed Won,,,Asher Rosenfeld,5/29/2024,1/5/2025,"$14,000",,,,,,,,,,3872
001Hr000028ZcHv,"City Of Russellville, KY",Kentucky,Municipality,Hugh Bargeron,7431,,Tier 3,0.75,36.8453,-86.8872,07d7955f-899a-4ae0-9b45-8556e38b163b,,,,,,,,,4,2026-03-05,,4,,,,,3980
001Hr000028ZcJ9,"City Of Versailles, KY",Kentucky,Municipality,Hugh Bargeron,10431,,Tier 2,1.0,38.0515,-84.7305,b207bcd6-fec2-41ef-b1fa-b08519681272,,,,,,,,,7,2026-02-20,6,1,,,,,4596
001Hr000028ZcLX,"City Of Lebanon, KY",Kentucky,Municipality,Hugh Bargeron,6355,,Tier 3,0.75,37.5699,-85.2526,2bd743f6-f29c-41b6-bd14-f86ef322e1b7,,,,,,,,,6,2025-07-07,6,,,,,,3741
001Hr000028ZcOI,"City Of Dayton, KY",Kentucky,Municipality,Hugh Bargeron,5673,,Tier 3,0.75,39.1128,-84.4727,6f209a7d-245a-46f7-baff-592f69e1203e,,,,,,,,,5,2026-05-06,1,4,,,,,3615
001Hr000028ZcOg,"City Of Highland Heights, KY",Kentucky,Municipality,Hugh Bargeron,6812,,Tier 3,0.75,39.0331,-84.4519,d7f6eee9-993f-4e1b-ae68-8ebaf3a7263f,,,,,,,,,5,2026-01-15,3,2,,,,,4058
001Hr000028ZcPC,"City Of Flatwoods, KY",Kentucky,Municipality,Hugh Bargeron,7261,,Tier 3,0.75,38.5226,-82.7171,c00ce09d-7d0d-4ce8-a5e0-b64aae2f0749,,,,,,,,,8,2026-01-20,,8,,,,,4050
001Hr000028ZcRA,"City Of Williamsburg, KY",Kentucky,Municipality,Hugh Bargeron,5322,Open Opportunity,Tier 3,0.75,36.7434,-84.1597,983a852b-4214-462b-aa66-7cc05559158b,Open,Meeting Booked,Top of Funnel,Sydney Ireland,2/25/2026,2/11/2026,,,8,2026-02-25,4,4,,,,,3528
001Hr000028ZcRg,"City Of Middlesboro, KY",Kentucky,Municipality,Hugh Bargeron,9273,,Tier 3,0.75,36.6073,-83.7143,355c6fa3-da0e-46a1-87e5-c2356f5c40d4,,,,,,,,,22,2026-03-13,7,15,,,,,4494
001Hr000028ZcRm,"City Of La Grange, KY",Kentucky,Municipality,Hugh Bargeron,10183,,Tier 2,1.0,38.4076,-85.3788,e1e0eb3e-ba2e-4ec6-a9d9-781880892b96,,,,,,,,,5,2026-05-11,4,1,,,,,4550
001Hr000028ZcSK,"City Of Shelbyville, KY",Kentucky,Municipality,Hugh Bargeron,17379,,Tier 2,1.0,38.2112,-85.2188,06f32ac9-f769-4ed4-8bb0-9b708359fcb0,,,,,,,,,10,2026-04-08,6,4,,,,,5243
001Hr000028ZcW7,"City Of Leitchfield, KY",Kentucky,Municipality,Hugh Bargeron,6409,Nurture,Tier 3,0.75,37.4802,-86.2941,6db0e6df-a937-4c83-9ac2-94e58233a3b7,Closed Lost,,,Liam Shaw,4/9/2024,1/5/2025,,,3,2026-01-15,,3,,,,,3937
001Hr000028ZcWM,"City Of Maysville, KY",Kentucky,Municipality,Hugh Bargeron,8761,Open Opportunity,Tier 3,0.75,38.6412,-83.7444,c932b6ca-3633-40db-b8de-d6787027993b,Open,Initial Interest,Top of Funnel,Ryan Minter,,12/16/2025,,,11,2026-03-13,7,4,,,,,4374
