Account ID,Account Name,State,Entity Type,Owner,Population,Account Status,Tier,SQO Points,Lat,Lng,Starbridge Buyer ID,Opp Status,Stage,Funnel Position,Sourced By,Discovery Call Date,Created Date,ARR,Previously Lost,Total Calls,Last Call Date,Calls - Emily Murnane,Calls - Ryan Minter,Calls - Leila Assil,Calls - Quinzel Perry,Calls - Jenny Allison,Salesforce ID
001Hr000028ZbbD,"City Of Franklin, LA",Louisiana,Municipality,Emily Murnane,6546,,Tier 3,0.75,29.796,-91.5015,026c3837-d63b-46af-88e0-16c8bad4891b,,,,,,,,,3,2026-04-15,3,,,,,
001Hr000028ZbmX,"City Of Abbeville, LA",Louisiana,Municipality,Emily Murnane,11048,,Tier 2,1.0,29.9747,-92.1343,6b09c38f-7bec-4fc0-8112-a3fdeb6aa277,,,,,,,,,5,2026-03-11,1,4,,,,
001Hr000028Zby3,"City Of Bogalusa, LA",Louisiana,Municipality,Emily Murnane,10569,Nurture,Tier 2,1.0,30.791,-89.8487,5ca01248-8860-4214-ba7e-0754b58e0df3,Closed Lost,,,Liam Shaw,7/9/2024,1/5/2025,,,3,2026-03-06,3,,,,,
001Hr000028Zc1j,"City Of Morgan City, LA",Louisiana,Municipality,Emily Murnane,11156,Nurture,Tier 2,1.0,29.6994,-91.2068,8a7d1fe6-1c3e-4ffe-aef9-ec8bde77677a,Closed Lost,,,Leila Assil,1/14/2025,1/5/2025,"$19,000",,4,2026-03-05,4,,,,,
001Hr000028ZcAR,"City Of Carencro, LA",Louisiana,Municipality,Emily Murnane,10835,,Tier 2,1.0,30.3171,-92.049,bcc6f731-3821-4bfa-9f69-3cbfca1458f8,,,,,,,,,2,2025-10-27,2,,,,,
001Hr000028ZcBn,"City Of Oakdale, LA",Louisiana,Municipality,Emily Murnane,6985,Nurture,Tier 3,0.75,30.8168,-92.6586,ef4c1052-f5bf-4acb-b0d1-d53e1fbe8415,Closed Lost,,,Liam Shaw,7/11/2024,1/5/2025,,,6,2025-10-29,4,,,2,,
001Hr000028ZcCa,"City Of Westwego, LA",Louisiana,Municipality,Emily Murnane,8400,,Tier 3,0.75,29.906,-90.1423,e398f142-5f41-4cbc-89be-574cd165ba04,,,,,,,,,3,2026-03-31,3,,,,,
001Hr000028ZcDG,"City Of Tallulah, LA",Louisiana,Municipality,Emily Murnane,6068,,Tier 3,0.75,32.4085,-91.1868,d3463287-bce0-4ee3-85b2-44d3e96a3428,,,,,,,,,,,,,,,,
001Hr000028ZcQd,"City Of Grambling, LA",Louisiana,Municipality,Emily Murnane,5095,Nurture,Tier 3,0.75,32.5277,-92.714,704d3802-1dcd-4323-a7e0-2c11be374ca2,Closed Lost,,,Liam Shaw,5/30/2024,1/5/2025,,,6,2026-04-08,6,,,,,
001Hr000028ZcRF,"City Of Ville Platte, LA",Louisiana,Municipality,Emily Murnane,6368,,Tier 3,0.75,30.688,-92.2715,0a9ff737-b644-46a9-b408-3681bfe3279e,,,,,,,,,3,2025-07-01,,,,3,,
001Hr000028ZcSP,"Town Of Addis, LA",Louisiana,Municipality,Emily Murnane,7538,,Tier 3,0.75,30.3538,-91.2654,91cc118c-8a76-4d2b-aaad-b82dc6a05538,,,,,,,,,3,2025-12-12,3,,,,,
001Hr000028ZcTO,"City Of St Martinville, LA",Louisiana,Municipality,Emily Murnane,5436,Nurture,Tier 3,0.75,30.1231,-91.8295,c0390c1f-564f-47eb-978c-c04a7319ee4f,Closed Lost,,,Andy Blakely,8/6/2025,7/29/2025,,,,,,,,,,
001Hr000028ZcUo,"City Of Rayne, LA",Louisiana,Municipality,Emily Murnane,7160,,Tier 3,0.75,30.2349,-92.2685,8a4d575b-9654-4ab6-8553-a39583f12bc8,,,,,,,,,2,2025-12-03,2,,,,,
001Hr000028ZcXt,"Town Of Walker, LA",Louisiana,Municipality,Emily Murnane,6413,,Tier 3,0.75,30.488,-90.8615,ce553850-255b-4086-a77a-d7b10c277d77,,,,,,,,,10,2025-12-16,10,,,,,
001Hr000028ZcY9,"City Of Covington, LA",Louisiana,Municipality,Emily Murnane,11475,,Tier 2,1.0,30.4755,-90.1009,73d0f720-a584-4980-a125-eef9115d1c0b,,,,,,,,,21,2026-04-24,11,,10,,,
001Hr000028Zcb7,"City Of Patterson, LA",Louisiana,Municipality,Emily Murnane,5793,,Tier 3,0.75,29.6933,-91.302,3978a272-b4ed-4a6a-8525-f75fde78ce34,,,,,,,,,,,,,,,,
001Hr000028Zcbb,"City Of Ruston, LA",Louisiana,Municipality,Emily Murnane,22277,Nurture,Tier 2,1.0,32.5232,-92.6379,4f86601a-b7fe-468a-bfba-4cfcae23649a,Closed Lost,,,Liam Shaw,6/11/2024,1/5/2025,,,6,2026-02-04,6,,,,,
001Hr000028Zcd2,"City Of Breaux Bridge, LA",Louisiana,Municipality,Emily Murnane,7561,,Tier 3,0.75,30.2735,-91.8993,5a2e5d53-b316-45fd-9122-133821bdf5b4,,,,,,,,,1,2026-03-10,1,,,,,
001Hr000028ZcdS,"City Of Baker, LA",Louisiana,Municipality,Emily Murnane,12434,,Tier 2,1.0,30.5882,-91.1682,ce129bff-d3eb-4872-a698-9c1c195cdc4f,,,,,,,,,13,2025-12-12,13,,,,,
001Hr000028ZchQ,"City Of De Ridder, LA",Louisiana,Municipality,Emily Murnane,9745,,Tier 3,0.75,30.8463,-93.2891,1e085420-93ba-45a3-9b29-2a1608fef2be,,,,,,,,,3,2025-10-30,3,,,,,
001Hr000028ZchV,"City Of Opelousas, LA",Louisiana,Municipality,Emily Murnane,15558,,Tier 2,1.0,30.5335,-92.0815,39ab3ae5-3dff-493b-a66d-2cad72762629,,,,,,,,,8,2026-05-11,,8,,,,
001Hr000028Zchd,"City Of Gonzales, LA",Louisiana,Municipality,Emily Murnane,12574,1+ Module Live,Tier 2,1.0,30.2385,-90.9201,205dec97-dd24-4995-adf6-33a33bac2493,Closed Won,,,Asher Rosenfeld,7/9/2024,1/5/2025,"$30,000",,,,,,,,,
001Hr000028Zchk,"City Of Broussard, LA",Louisiana,Municipality,Emily Murnane,13782,,Tier 2,1.0,30.1471,-91.9612,057623f7-c03e-4ccf-ae1c-0e85fefc7202,,,,,,,,,4,2025-12-18,2,2,,,,
001Hr000028Zchq,"City Of Leesville, LA",Louisiana,Municipality,Emily Murnane,5472,,Tier 3,0.75,31.1435,-93.261,c24eca05-6f86-458a-945b-0b994c604f5f,,,,,,,,,1,2026-03-02,1,,,,,
001Hr000028ZckS,"City Of Scott, LA",Louisiana,Municipality,Emily Murnane,8116,,Tier 3,0.75,30.2358,-92.0946,a9685969-0b45-484c-b0dd-c86a2489768b,,,,,,,,,6,2026-02-02,6,,,,,
001Hr000028ZckU,"City Of Thibodaux, LA",Louisiana,Municipality,Emily Murnane,15237,,Tier 2,1.0,29.7958,-90.8229,d8264ddf-e6a7-4f19-9222-24c59f5dc6b2,,,,,,,,,2,2025-12-30,1,1,,,,
001Hr000028ZclB,"City Of Ponchatoula, LA",Louisiana,Municipality,Emily Murnane,7927,,Tier 3,0.75,30.4388,-90.4415,20e98b0d-4e6f-4592-b87e-1252238c232c,,,,,,,,,2,2026-03-02,2,,,,,
001Hr000028ZclT,"City Of Plaquemine, LA",Louisiana,Municipality,Emily Murnane,5928,,Tier 3,0.75,30.2891,-91.2343,a24aa4b7-bba7-4d92-b2bf-4a77ec8be4c8,,,,,,,,,9,2025-12-17,9,,,,,
001Hr000028Zcm4,"City Of Donaldsonville, LA",Louisiana,Municipality,Emily Murnane,6762,,Tier 3,0.75,30.101,-90.9929,2aba30db-0455-4bf7-abee-50dfe56570f3,,,,,,,,,1,2025-12-31,1,,,,,
001Hr000028Zcm9,"City Of Minden, LA",Louisiana,Municipality,Emily Murnane,11769,,Tier 2,1.0,32.6154,-93.2868,cf1ae53b-5837-4385-a11f-04df28654948,,,,,,,,,21,2026-03-13,9,12,,,,
001Hr000028ZcmB,"City Of Gretna, LA",Louisiana,Municipality,Emily Murnane,17590,,Tier 2,1.0,29.9146,-90.054,2f79d850-aaa0-456f-8100-6d1aae681ed8,,,,,,,,,14,2026-05-11,12,2,,,,
001Hr000028Zcn5,"City Of St Gabriel, LA",Louisiana,Municipality,Emily Murnane,7121,,Tier 3,0.75,30.2577,-91.0993,977b17e9-fc2a-4619-ad8e-50a7988933e1,,,,,,,,,2,2026-01-13,2,,,,,
001Hr000028Zcrt,"City Of West Monroe, LA",Louisiana,Municipality,Emily Murnane,12856,Nurture,Tier 2,1.0,32.5185,-92.1476,f5e38f23-b2ac-460f-846c-0132476a96a4,Closed Lost,,,Liam Shaw,6/27/2024,1/5/2025,,,4,2025-11-12,4,,,,,
001Hr000028Zcs1,"City Of Denham Springs, LA",Louisiana,Municipality,Emily Murnane,9328,Nurture,Tier 3,0.75,30.4869,-90.9562,ed16e4c2-d42b-466a-b009-84bc5bd083b9,Closed Lost,,,Liam Shaw,6/27/2024,1/5/2025,,,1,2025-12-04,1,,,,,
