Account ID,Account Name,State,Entity Type,Owner,Population,Account Status,Tier,SQO Points,Lat,Lng,Starbridge Buyer ID,Opp Status,Stage,Funnel Position,Sourced By,Discovery Call Date,Created Date,ARR,Previously Lost,Total Calls,Last Call Date,Calls - Jenny Allison,Calls - Alicia Gopal,Calls - Leila Assil,Calls - Sydney Ireland,Calls - Blake Anderson,Calls - Nick Martino,Calls - Ali Cohen,Calls - Ryan Minter,Calls - Emily Murnane
001Hr000028Zbn3,"Town Of Groton, MA",Massachusetts,Municipality,Alicia Gopal,11147,,Tier 2,1.0,42.6089,-71.5721,1092e1a8-c114-43ea-839a-b0c3d0ea5953,,,,,,,,,,,,,,,,,,,
001Hr000028ZbrS,"City Of Newton, MA",Massachusetts,Municipality,Alicia Gopal,87453,,Tier S,2.0,42.337,-71.2092,03a274a5-df82-4af6-85c0-e26bd31dc474,,,,,,,,,18,2025-12-01,18,,,,,,,,
001Hr000028Zbtj,"Town Of Salisbury, MA",Massachusetts,Municipality,Blake Anderson,9212,,Tier 3,0.75,42.8418,-70.8604,5852a4e5-cff5-4ad4-829b-2333e9af833a,,,,,,,,,5,2025-11-10,5,,,,,,,,
001Hr000028Zbvk,"Town Of Orleans, MA",Massachusetts,Municipality,Blake Anderson,6411,,Tier 3,0.75,41.7881,-69.9917,26f4c599-112c-420b-995e-b167d2b13f72,,,,,,,,,,,,,,,,,,,
001Hr000028Zbxp,"Town Of Littleton, MA",Massachusetts,Municipality,Blake Anderson,10121,,Tier 2,1.0,42.5373,-71.5128,c75a9feb-3861-416c-bf11-1ea2d69166cd,,,,,,,,,4,2025-09-25,,,4,,,,,,
001Hr000028Zc1U,"Town Of Mattapoisett, MA",Massachusetts,Municipality,Blake Anderson,6574,,Tier 3,0.75,41.662,-70.8192,d3e03421-70e4-4cd7-8735-02d9248dc2e5,,,,,,,,,12,2025-12-16,10,,2,,,,,,
001Hr000028Zc23,"Town Of Holliston, MA",Massachusetts,Municipality,Alicia Gopal,14840,,Tier 2,1.0,42.2001,-71.4245,9d400524-d473-4775-a0b6-854c51c1ba81,,,,,,,,,5,2025-12-11,5,,,,,,,,
001Hr000028Zc4D,"Town Of Granby, MA",Massachusetts,Municipality,Alicia Gopal,6061,,Tier 3,0.75,42.2571,-72.5169,19ca6d12-2a04-4200-8901-91ae0d3af6c5,,,,,,,,,18,2025-12-01,8,,10,,,,,,
001Hr000028Zc4Y,"Town Of Stow, MA",Massachusetts,Municipality,Alicia Gopal,7059,,Tier 3,0.75,42.437,-71.5056,ed79f4ef-afff-4156-b6e2-48341f6264da,,,,,,,,,,,,,,,,,,,
001Hr000028Zc78,"Town Of Dover, MA",Massachusetts,Municipality,Alicia Gopal,5892,,Tier 3,0.75,42.2458,-71.2796,2e4de923-2e34-436b-9614-c11b6029d749,,,,,,,,,5,2025-09-25,5,,,,,,,,
