Account ID,Account Name,State,Entity Type,Owner,Population,Account Status,Tier,SQO Points,Lat,Lng,Starbridge Buyer ID,Opp Status,Stage,Funnel Position,Sourced By,Discovery Call Date,Created Date,ARR,Previously Lost,Total Calls,Last Call Date,Calls - Nick Martino,Calls - Ali Cohen,Calls - Lucy Nemerov,Calls - Quinzel Perry,Calls - Leila Assil,Calls - Jenny Allison,Calls - Joe del Rosario,Calls - Emily Murnane,Salesforce ID
001Hr000028Zboa,"Town Of Bel Air, MD",Maryland,Municipality,Lucy Nemerov,10715,,Tier 2,1.0,39.5359,-76.3483,2a32ed98-e0ba-45df-b15a-afde3799cb32,,,,,,,,,22,2026-05-18,,11,11,,,,,,
001Hr000028Zc4X,"Town Of Glenarden, MD",Maryland,Municipality,Lucy Nemerov,6315,Open Opportunity,Tier 3,0.75,38.9302,-76.8597,9a334213-f9f1-4d99-8942-380a3251db01,Open,Initial Interest,Top of Funnel,Ali Cohen,,12/16/2025,,,7,2025-12-16,,2,,5,,,,,
001Hr000028Zc6Z,"City Of Frostburg, MD",Maryland,Municipality,Lucy Nemerov,7044,Open Opportunity,Tier 3,0.75,39.6579,-78.9287,e262d6f5-cf4a-4185-b914-1a44d161f01d,Open,Proposal,Mid Funnel,Nick Martino,1/15/2026,10/22/2025,"$22,000",,21,2026-01-07,21,,,,,,,,
001Hr000028ZcRe,"City Of Brunswick, MD",Maryland,Municipality,Lucy Nemerov,8046,,Tier 3,0.75,39.3143,-77.6278,cbcbe6fd-f3aa-4e74-aa6f-4f3a559835ee,,,,,,,,,22,2026-05-04,14,,8,,,,,,
001Hr000028ZcSL,"City Of Frederick, MD",Maryland,Municipality,Lucy Nemerov,79588,,Tier S,2.0,39.4143,-77.4105,178f0ed9-425c-4a4f-b450-e5e3259c9a63,,,,,,,,,6,2026-05-21,,,2,4,,,,,
001Hr000028ZcWQ,"City Of District Heights, MD",Maryland,Municipality,Lucy Nemerov,5867,Open Opportunity,Tier 3,0.75,38.8576,-76.8894,b3a34151-63db-4d19-9b3c-51d9dd6c5253,Open,Sales Qualified,Mid Funnel,Ali Cohen,2/19/2026,1/30/2026,,,15,2026-05-07,,13,,,,2,,,
001Hr000028ZcX6,"Taneytown City, MD",Maryland,Municipality,Lucy Nemerov,7183,,Tier 3,0.75,39.6579,-77.1744,9a0244d1-4853-41f4-91b5-9aef00d130ef,,,,,,,,,1,2025-06-18,,,,1,,,,,
001Hr000028ZcY2,"Town Of Easton, MD",Maryland,Municipality,Lucy Nemerov,17118,Open Opportunity,Tier 2,1.0,38.7743,-76.0763,72b1ae95-cf0f-4965-971f-b4bcbd41173e,Open,Sales Qualified,Mid Funnel,Lucy Nemerov,4/1/2026,4/1/2026,,,19,2026-04-01,,5,6,,8,,,,
001Hr000028ZcZf,"Town Of Riverdale Park, MD",Maryland,Municipality,Lucy Nemerov,7247,,Tier 3,0.75,38.9634,-76.9316,ecd2d2df-b278-45f6-857b-9fce34b8f79c,,,,,,,,,21,2026-05-21,10,,11,,,,,,
001Hr000028ZcbZ,"City Of Fruitland, MD",Maryland,Municipality,Lucy Nemerov,5677,,Tier 3,0.75,38.3221,-75.6202,60de412d-3915-40d4-99e4-c3449a2d1fec,,,,,,,,,1,2025-11-10,,1,,,,,,,
001Hr000028Zcbk,"Town Of Hampstead, MD",Maryland,Municipality,Lucy Nemerov,6303,,Tier 3,0.75,39.6048,-76.85,5329798c-a08c-44d5-b14b-69782e0e92c9,,,,,,,,,1,2025-06-18,,,,1,,,,,
001Hr000028Zcbw,"Town Of Ocean City, MD",Maryland,Municipality,Lucy Nemerov,6900,,Tier 3,0.75,38.3345,-75.0846,ba7744d9-32eb-4ead-b6b1-1988af37576e,,,,,,,,,10,2025-11-13,,10,,,,,,,
001Hr000028Zcct,"Town Of Cheverly, MD",Maryland,Municipality,Lucy Nemerov,6076,,Tier 3,0.75,38.9282,-76.9158,4f39cc1b-d583-4afd-9a2e-7ab2b7f1db7a,,,,,,,,,2,2026-05-21,,,2,,,,,,
001Hr000028Zcdu,"Town Of Poolesville, MD",Maryland,Municipality,Lucy Nemerov,5708,,Tier 3,0.75,39.1459,-77.4169,830420b1-b98b-4c4c-a6e3-6b4c488aa7b2,,,,,,,,,,,,,,,,,,,
001Hr000028Zce8,"Town Of Chestertown, MD",Maryland,Municipality,Lucy Nemerov,5603,,Tier 3,0.75,39.2189,-76.069,db319af5-f6d7-4557-bca4-54b8fc4e1523,,,,,,,,,5,2026-04-01,,4,1,,,,,,
001Hr000028Zchm,"Town Of Thurmont, MD",Maryland,Municipality,Lucy Nemerov,6450,,Tier 3,0.75,39.6237,-77.4108,a2d59764-5b17-4d01-906d-d289e355fe12,,,,,,,,,16,2025-09-03,,,,16,,,,,
001Hr000028Zcie,"Town Of Chesapeake Beach, MD",Maryland,Municipality,Lucy Nemerov,6436,Nurture,Tier 3,0.75,38.6948,-76.5337,1981b878-d28d-4786-863c-14f83bc660cf,Closed Lost,,,Ali Cohen,11/24/2025,11/20/2025,,,6,2026-05-13,,3,3,,,,,,
001Hr000028ZckB,"Town Of Walkersville, MD",Maryland,Municipality,Lucy Nemerov,6366,,Tier 3,0.75,39.4862,-77.3519,80a7b8b1-47e9-4524-8731-e0d0c373002a,,,,,,,,,,,,,,,,,,,
001Hr000028Zcn1,"City Of Mount Rainier, MD",Maryland,Municipality,Lucy Nemerov,8212,,Tier 3,0.75,38.9364,-76.961,bbd6abc6-f15a-4773-9b08-2ad1ca938e97,,,,,,,,,3,2025-12-11,2,1,,,,,,,
