Account ID,Account Name,State,Entity Type,Owner,Population,Account Status,Tier,SQO Points,Lat,Lng,Starbridge Buyer ID,Opp Status,Stage,Funnel Position,Sourced By,Discovery Call Date,Created Date,ARR,Previously Lost,Total Calls,Last Call Date,Calls - Alicia Gopal,Calls - Jenny Allison,Calls - Leila Assil,Calls - Nick Martino
001Hr000028Zbqq,"Town Of Lebanon, ME",Maine,Municipality,Alicia Gopal,6571,,Tier 3,0.75,43.4145,-70.9179,38c20908-52a1-473e-a886-0ec28d03d783,,,,,,,,,,,,,,
001Hr000028ZbwA,"City Of Bangor, ME",Maine,Municipality,Alicia Gopal,31921,Recent Competitor Purchase,Tier 1,1.5,44.8016,-68.7712,a20c7b32-24e1-43da-bba7-c98566c2eb40,Closed Lost,,,Troy LeCaire,,1/5/2025,,,24,2026-04-17,12,12,,
001Hr000028Zc1o,"Town Of Waldoboro, ME",Maine,Municipality,Alicia Gopal,5235,,Tier 3,0.75,44.0953,-69.3756,b336b918-8dd8-45f5-89a5-fe1ab790e7c6,,,,,,,,,,,,,,
001Hr000028Zc44,"Town Of Fairfield, ME",Maine,Municipality,Alicia Gopal,6496,,Tier 3,0.75,44.5909,-69.5952,d54fc68f-86b5-4d33-a548-7ab5c903ce48,,,,,,,,,,,,,,
001Hr000028Zc6s,"Town Of Hampden, ME",Maine,Municipality,Alicia Gopal,7772,,Tier 3,0.75,44.7447,-68.8376,7213943c-8100-4748-a4de-c1b0da31959d,,,,,,,,,2,2025-05-29,,,2,
001Hr000028ZcFl,"Town Of Wells, ME",Maine,Municipality,Alicia Gopal,11550,,Tier 2,1.0,43.3222,-70.5805,d61b387e-a201-4bf3-9527-65ce597164af,,,,,,,,,31,2026-04-24,20,11,,
001Hr000028ZcH7,"Town Of Waterboro, ME",Maine,Municipality,Alicia Gopal,8030,Nurture,Tier 3,0.75,43.5894,-70.709,7aeb8884-4d98-4920-9341-64ce8f8008e2,,,,,,,,,,,,,,
001Hr000028ZcLK,"City Of Westbrook, ME",Maine,Municipality,Alicia Gopal,20572,,Tier 2,1.0,43.677,-70.3712,115a5a49-d0db-4c8d-ab83-178d722ff88d,,,,,,,,,25,2026-04-30,19,6,,
001Hr000028ZcNo,"City Of Belfast, ME",Maine,Municipality,Alicia Gopal,6968,Recent Competitor Purchase,Tier 3,0.75,44.4259,-69.0064,61c5dd70-9eb0-458f-9294-2eba47eeb525,,,,,,,,,6,2025-08-25,,,6,
001Hr000028ZcOn,"Town Of Skowhegan, ME",Maine,Municipality,Alicia Gopal,8598,,Tier 3,0.75,44.7653,-69.7195,8bca519a-bd61-41db-8531-0838f88dcc52,,,,,,,,,,,,,,
001Hr000028ZcPk,"Town Of Camden, ME",Maine,Municipality,Alicia Gopal,5278,Nurture,Tier 3,0.75,44.2098,-69.0648,54735304-9c57-4d12-8ebb-3dc9c95a8069,,,,,,,,,2,2025-08-01,,,2,
001Hr000028ZcQU,"Town Of Standish, ME",Maine,Municipality,Alicia Gopal,10278,Open Opportunity,Tier 2,1.0,43.7356,-70.5509,8caeb2d2-ece7-486e-8bb6-63294cfc741e,Open,Demo,Mid Funnel,Alicia Gopal,4/22/2026,4/15/2026,,Yes,15,2026-04-22,13,2,,
001Hr000028ZcSn,"City Of Rockland, ME",Maine,Municipality,Alicia Gopal,7011,,Tier 3,0.75,44.1037,-69.1089,79cef2cc-1b1c-4355-8229-28f383c80199,,,,,,,,,,,,,,
001Hr000028ZcUf,"Town Of Oakland, ME",Maine,Municipality,Alicia Gopal,6260,,Tier 3,0.75,44.5479,-69.7131,02d252c2-9ed9-4e2f-b8b2-485822ea5269,,,,,,,,,,,,,,
001Hr000028ZcUz,"Town Of Winslow, ME",Maine,Municipality,Alicia Gopal,7952,Open Opportunity,Tier 3,0.75,44.5473,-69.6253,b54008b2-37e1-4364-8139-f48fde973f1f,Open,Meeting Booked,Top of Funnel,Alicia Gopal,5/21/2026,5/14/2026,,,2,2026-05-14,2,,,
001Hr000028ZcWK,"Town Of South Berwick, ME",Maine,Municipality,Alicia Gopal,7563,Open Opportunity,Tier 3,0.75,43.2345,-70.8095,f59abff3-7cdc-44ed-8cec-c8d54d5ef3f0,Open,Sales Qualified,Mid Funnel,Alicia Gopal,4/30/2026,4/23/2026,,,9,2026-04-30,9,,,
001Hr000028ZcWa,"Town Of Gray, ME",Maine,Municipality,Alicia Gopal,8328,Open Opportunity,Tier 3,0.75,43.8851,-70.3307,b773c48f-27e8-48de-8903-9a41486cb8fd,Open,Initial Interest,Top of Funnel,Nick Martino,,11/6/2025,,,16,2025-12-23,,,,16
001Hr000028ZcYB,"City Of Gardiner, ME",Maine,Municipality,Alicia Gopal,6033,,Tier 3,0.75,44.2301,-69.7753,cfe67c2e-96e2-4ad8-85af-90748015a877,,,,,,,,,,,,,,
001Hr000028ZcYh,"City Of Caribou, ME",Maine,Municipality,Alicia Gopal,7367,,Tier 3,0.75,46.864,-67.998,8d539d55-7562-44af-a9a7-f458d5536f03,,,,,,,,,,,,,,
001Hr000028Zcao,"Town Of Turner, ME",Maine,Municipality,Alicia Gopal,5905,,Tier 3,0.75,44.2565,-70.2562,ef9c91c1-ff84-43d7-8dbe-a4ec2f8a0117,,,,,,,,,,,,,,
001Hr000028ZcbW,"Town Of Bar Harbor, ME",Maine,Municipality,Alicia Gopal,5159,,Tier 3,0.75,44.3876,-68.2043,727777f4-c10a-42bd-94ae-d0dfe2f76d43,,,,,,,,,,,,,,
001Hr000028Zcce,"Town Of Eliot, ME",Maine,Municipality,Alicia Gopal,7447,,Tier 3,0.75,43.1531,-70.8001,e75efd73-fdcc-4dbe-b311-b16c3cca764d,,,,,,,,,3,2026-01-12,,3,,
001Hr000028Zcdn,"Town of Brunswick, ME",Maine,Municipality,Alicia Gopal,21589,Open Opportunity,Tier 2,1.0,43.9146,-69.9649,2919bfd6-f63f-4955-9f7a-ce0b562d93a9,Open,Initial Interest,Top of Funnel,Asher Rosenfeld,,1/5/2025,,,15,2026-04-07,11,4,,
001Hr000028Zce3,"Town Of Sabattus, ME",Maine,Municipality,Alicia Gopal,5105,,Tier 3,0.75,44.1153,-70.1031,4fc525c1-b571-4a76-bcd4-6bcdc34fad66,,,,,,,,,,,,,,
001Hr000028ZceI,"Town Of Norway, ME",Maine,Municipality,Alicia Gopal,5144,,Tier 3,0.75,44.213,-70.54,f08f9061-f166-4bb6-a103-9caceca9abfd,,,,,,,,,,,,,,
001Hr000028ZceK,"Town Of Houlton, ME",Maine,Municipality,Alicia Gopal,6088,Open Opportunity,Tier 3,0.75,46.1253,-67.8417,1f88f6f5-d3de-41b0-831d-7d1e3066fd06,Open,Initial Interest,Top of Funnel,Alicia Gopal,,1/13/2026,,Yes,5,2026-04-14,5,,,
001Hr000028Zcew,"Town Of Paris, ME",Maine,Municipality,Alicia Gopal,5265,,Tier 3,0.75,44.2598,-70.5006,e3581d03-6d37-423c-9c80-6a4fbc4a4bef,,,,,,,,,,,,,,
001Hr000028Zcfi,"Town Of Kennebunk, ME",Maine,Municipality,Alicia Gopal,11669,Nurture,Tier 2,1.0,43.3845,-70.5436,23b75cf6-0a0d-4f0d-b6c9-0af723bc59ab,Open,Initial Interest,Top of Funnel,Asher Rosenfeld,,1/5/2025,,,38,2026-04-14,34,4,,
001Hr000028Zcfp,"Town Of Bridgton, ME",Maine,Municipality,Alicia Gopal,5527,,Tier 3,0.75,44.0538,-70.7145,2709aa19-8196-41e5-8c60-91490609496c,,,,,,,,,,,,,,
001Hr000028Zcfr,"Town Of Lisbon, ME",Maine,Municipality,Alicia Gopal,9674,,Tier 3,0.75,44.0316,-70.1044,e0ecf27f-f198-4a7b-a885-6b76c78437c7,,,,,,,,,,,,,,
001Hr000028ZcgV,"Town Of Hermon, ME",Maine,Municipality,Alicia Gopal,6558,,Tier 3,0.75,44.8101,-68.9134,fc35bf14-7ecc-46f0-abff-99d6efd56e9c,,,,,,,,,,,,,,
001Hr000028Zcgh,"City Of Biddeford, ME",Maine,Municipality,Alicia Gopal,22569,,Tier 2,1.0,43.4926,-70.4534,29796768-1988-43f2-84ab-fa20199e88d4,,,,,,,,,5,2025-11-25,,5,,
001Hr000028Zcgo,"Town Of Rumford, ME",Maine,Municipality,Alicia Gopal,5898,Nurture,Tier 3,0.75,44.5539,-70.551,773a23bf-0630-4576-a289-b6c3899e7691,,,,,,,,,2,2025-06-24,,,2,
001Hr000028ZchB,"Town Of Buxton, ME",Maine,Municipality,Alicia Gopal,8454,,Tier 3,0.75,43.6379,-70.5189,71523f08-1d8e-4c81-a564-98226230c5e8,,,,,,,,,,,,,,
001Hr000028ZchR,"Town Of New Gloucester, ME",Maine,Municipality,Alicia Gopal,5723,,Tier 3,0.75,43.9629,-70.2826,00317d69-411f-475c-a1a6-1b7a5a2a8948,,,,,,,,,,,,,,
001Hr000028ZciP,"Town Of Poland, ME",Maine,Municipality,Alicia Gopal,5966,,Tier 3,0.75,44.0606,-70.3937,0d6cac29-bcf9-498b-b9b6-a5ca04fd0abe,,,,,,,,,,,,,,
001Hr000028Zcif,"Town Of Winthrop, ME",Maine,Municipality,Alicia Gopal,6144,Nurture,Tier 3,0.75,44.3054,-69.9772,c7a2974b-28a9-4b72-b22e-15fd9804274b,Closed Lost,,,Leila Assil,,2/6/2025,,,,,,,,
001Hr000028Zck8,"Town Of Berwick, ME",Maine,Municipality,Alicia Gopal,8079,Open Opportunity,Tier 3,0.75,43.2683,-70.8636,c79f0fd0-3f5c-4e5a-8b91-12820b04c2ee,Open,Meeting Booked,Top of Funnel,Alicia Gopal,11/10/2026,2/4/2026,,,11,2026-04-22,8,,3,
001Hr000028ZckA,"City Of Ellsworth, ME",Maine,Municipality,Alicia Gopal,8531,,Tier 3,0.75,44.5411,-68.425,90ab7640-bb71-47c2-98d6-d3e94b60f737,,,,,,,,,1,2025-08-19,,,1,
001Hr000028Zckh,"Town Of Old Orchard Beach, ME",Maine,Municipality,Alicia Gopal,9502,Nurture,Tier 3,0.75,43.5178,-70.3773,8296811b-c18c-496e-8638-7674066ad897,Closed Lost,,,Leila Assil,5/28/2025,5/20/2025,,,1,2025-05-21,,,1,
001Hr000028ZclF,"City Of Sanford, ME",Maine,Municipality,Alicia Gopal,22135,,Tier 2,1.0,43.4388,-70.7751,889d3dc0-64b5-4cf8-9546-961f390b2c19,,,,,,,,,18,2026-03-24,3,15,,
001Hr000028Zclj,"Town Of Yarmouth, ME",Maine,Municipality,Alicia Gopal,8997,,Tier 3,0.75,43.8011,-70.1879,5b55400e-7e01-4f32-b2aa-8a5e0424404a,,,,,,,,,1,2026-01-08,,1,,
001Hr000028Zclz,"Town Of Cape Elizabeth, ME",Maine,Municipality,Alicia Gopal,9530,All Modules Live,Tier 3,0.75,43.5902,-70.2262,166cd718-6887-4db2-8507-d8c548d09230,Closed Won,,,Leila Assil,10/16/2024,1/5/2025,"$10,000",,,,,,,
001Hr000028Zcmw,"City Of Old Town, ME",Maine,Municipality,Alicia Gopal,7511,,Tier 3,0.75,44.9348,-68.6457,f6775cac-94d7-45f1-b923-95567e81fc83,,,,,,,,,,,,,,
001Hr000028Zcmy,"Town Of Topsham, ME",Maine,Municipality,Alicia Gopal,9601,,Tier 3,0.75,43.9371,-69.9665,8be09f06-fc85-4c2a-862c-a829a8b65729,,,,,,,,,,,,,,
001Hr000028Zcmz,"Town Of Kittery, ME",Maine,Municipality,Alicia Gopal,10172,,Tier 2,1.0,43.0876,-70.7497,f12b955e-9b1e-4e62-9d07-08f5b516de86,,,,,,,,,21,2026-04-02,7,14,,
001Hr000028ZcnT,"City Of Presque Isle, ME",Maine,Municipality,Alicia Gopal,8777,Recent Competitor Purchase,Tier 3,0.75,46.6812,-68.0159,426cd8a9-7457-405b-9845-60626bc855a1,Closed Lost,,,Leila Assil,,2/11/2025,"$21,000",,,,,,,
001Hr000028Zcno,"Town Of Farmington, ME",Maine,Municipality,Alicia Gopal,7463,Open Opportunity,Tier 3,0.75,44.6705,-70.1512,715033d2-71ca-4887-84bd-af0577e35c50,Open,Meeting Booked,Top of Funnel,Jenny Allison,1/28/2026,12/11/2025,,,7,2025-12-11,,7,,
001Hr000028Zcq8,"City Of Augusta, ME",Maine,Municipality,Alicia Gopal,18968,Open Opportunity,Tier 2,1.0,44.3165,-69.7681,3cc61a22-61ec-4a5a-8bcd-19d9a8719e9a,Open,Initial Interest,Top of Funnel,Asher Rosenfeld,,1/5/2025,,,19,2026-04-13,3,,2,14
001Hr000028ZcrI,"City Of Bath, ME",Maine,Municipality,Alicia Gopal,8788,,Tier 3,0.75,43.9106,-69.8206,3a5cca74-e198-48f6-8b5b-5a986c0eb732,,,,,,,,,9,2025-12-10,,1,8,
001Hr000028ZcrO,"Town Of Orono, ME",Maine,Municipality,Alicia Gopal,11643,Open Opportunity,Tier 2,1.0,44.8832,-68.6723,e2bc88e4-90c3-4844-824d-d0e122c816f3,Open,Proposal,Mid Funnel,Alicia Gopal,3/31/2026,3/24/2026,"$33,000",,8,2026-03-31,8,,,
001Hr000028ZcrW,"Town Of Cumberland, ME",Maine,Municipality,Alicia Gopal,8545,Nurture,Tier 3,0.75,43.7965,-70.2585,cfbfb222-53e4-4400-a134-ab6bfc6e80c9,Closed Lost,,,Granger West,11/7/2024,1/5/2025,,,2,2026-01-12,,2,,
001Hr000028Zcsj,"Town Of Freeport, ME",Maine,Municipality,Alicia Gopal,8767,,Tier 3,0.75,43.8573,-70.1028,b6386400-5fdc-4e3c-99fc-4ff453e5c9fa,,,,,,,,,,,,,,
001Hr000028Zcv9,"City Of Brewer, ME",Maine,Municipality,Alicia Gopal,9636,Nurture,Tier 3,0.75,44.7967,-68.7614,dcb4ef05-60c7-485c-a8c6-1dd990936a63,Closed Lost,,,Granger West,11/13/2024,1/5/2025,,,3,2025-09-05,,,3,
001Hr000028ZcwJ,"City Of Waterville, ME",Maine,Municipality,Alicia Gopal,15959,Open Opportunity,Tier 2,1.0,44.553,-69.6313,5fa566a9-6d4e-4c2b-a0a9-eb1aa84d7cab,Open,Initial Interest,Top of Funnel,Leila Assil,,5/20/2025,,,12,2025-12-16,,8,4,
001Hr000028Zcx8,"Town Of Windham, ME",Maine,Municipality,Alicia Gopal,18761,Open Opportunity,Tier 2,1.0,43.7894,-70.4084,a2c47690-4ddf-44c6-865c-91e9e14ab957,Open,Proposal,Mid Funnel,Leila Assil,11/6/2024,1/5/2025,"$20,500",,,,,,,
