Account ID,Account Name,State,Entity Type,Owner,Population,Account Status,Tier,SQO Points,Lat,Lng,Starbridge Buyer ID,Opp Status,Stage,Funnel Position,Sourced By,Discovery Call Date,Created Date,ARR,Previously Lost,Total Calls,Last Call Date,Calls - Sydney Ireland,Calls - Ali Cohen,Calls - Nick Martino,Calls - Quinzel Perry,Calls - Alicia Gopal,Calls - Jenny Allison,Calls - Ryan Minter,Calls - Catherine Silvestri,Salesforce ID
001Hr000028ZbnC,"City Of Hillsdale, MI",Michigan,Municipality,Ali Cohen,8186,Nurture,Tier 3,0.75,41.92,-84.6305,c8b908fa-0b73-4854-82d7-a1825bc0903b,Closed Lost,,,Quinzel Perry,1/27/2025,1/24/2025,"$14,000",,16,2026-02-18,,15,,,,1,,,
001Hr000028ZbnP,"City Of Lapeer, MI",Michigan,Municipality,Sydney Ireland,8915,,Tier 3,0.75,43.0514,-83.3188,40373f27-c1fc-4d83-b6e2-71cd69cdeba4,,,,,,,,,3,2026-04-23,3,,,,,,,,
001Hr000028Zbt1,"Township Of Port Sheldon, MI",Michigan,Municipality,Sydney Ireland,5314,,Tier 3,0.75,42.8995,-86.1998,de14b07c-5d74-44f9-b005-9f7d81ad40c9,,,,,,,,,7,2026-02-02,7,,,,,,,,
001Hr000028Zbtd,"Adrian Township, MI",Michigan,Municipality,Sydney Ireland,6330,,Tier 3,0.75,41.9456,-84.0802,65c75eba-318e-4618-82c1-35a86827592b,,,,,,,,,1,2026-03-25,1,,,,,,,,
001Hr000028Zbtz,"City Of Swartz Creek, MI",Michigan,Municipality,Sydney Ireland,5855,,Tier 3,0.75,42.9573,-83.8305,d35b6596-ce6b-468f-be78-7b232c3f97d7,,,,,,,,,4,2026-02-17,4,,,,,,,,
001Hr000028ZbuT,"Township Of Olive, MI",Michigan,Municipality,Sydney Ireland,5085,,Tier 3,0.75,42.8852,-86.124,e2a65019-1b20-4780-9360-cef76fbfb7b3,,,,,,,,,5,2026-01-30,5,,,,,,,,
001Hr000028Zbvg,"City Of Rockford, MI",Michigan,Municipality,Sydney Ireland,6175,,Tier 3,0.75,43.12,-85.56,bd1c0c02-d77c-4b6b-8c8d-3158244d8378,,,,,,,,,4,2026-05-11,4,,,,,,,,
001Hr000028ZbwS,"City Of Highland Park, MI",Michigan,Municipality,Sydney Ireland,8902,,Tier 3,0.75,42.4056,-83.0969,5fd668f2-a5c2-4668-a6b0-da310f776515,,,,,,,,,9,2026-05-19,9,,,,,,,,
001Hr000028ZbxD,"Charter Township Of Breitung, MI",Michigan,Municipality,Sydney Ireland,5815,,Tier 3,0.75,45.8087,-88.0298,15b7a560-b3ea-48fc-acc7-c909dfe1142e,,,,,,,,,2,2026-03-25,2,,,,,,,,
001Hr000028ZbxQ,"City Of Greenville, MI",Michigan,Municipality,Sydney Ireland,9190,,Tier 3,0.75,43.1775,-85.2528,c2dedae0-ad28-43af-b2e5-7d221aafadcf,,,,,,,,,6,2026-03-27,6,,,,,,,,
001Hr000028Zbyz,"City Of Saline, MI",Michigan,Municipality,Sydney Ireland,8961,,Tier 3,0.75,42.1667,-83.7816,046fa729-6645-4878-a35f-5b11fcb02948,,,,,,,,,1,2026-03-12,1,,,,,,,,
001Hr000028Zc05,"Township Of Tittabawassee, MI",Michigan,Municipality,Ali Cohen,10773,,Tier 2,1.0,43.525,-84.123,9a5ecfcc-938d-4e4c-9bff-4c2b7dcde39e,,,,,,,,,,,,,,,,,,,
