Account ID,Account Name,State,Entity Type,Owner,Population,Account Status,Tier,SQO Points,Lat,Lng,Starbridge Buyer ID,Opp Status,Stage,Funnel Position,Sourced By,Discovery Call Date,Created Date,ARR,Previously Lost,Total Calls,Last Call Date,Calls - Nick Martino,Calls - Leila Assil,Calls - Ben Laddis,Calls - Joe del Rosario,Calls - Jenny Allison,Calls - Quinzel Perry,Outreach ID
001Hr000028ZbdZ,"City Of North Branch, MN",Minnesota,Municipality,Nick Martino,11113,Recent Competitor Purchase,Tier 2,1.0,45.5102,-92.9931,3c353802-ed28-462a-83d7-3420e3e9bbeb,Closed Lost,,,Nick Martino,1/16/2026,10/13/2025,,,27,2026-01-08,27,,,,,,4667
001Hr000028ZbnD,"City Of Virginia, MN",Minnesota,Municipality,Nick Martino,8337,,Tier 3,0.75,47.5233,-92.5366,16be482e-daef-4115-8913-490b20535dea,,,,,,,,,,,,,,,,,4300
001Hr000028Zbnm,"Township Of Becker, MN",Minnesota,Municipality,Nick Martino,5565,,Tier 3,0.75,45.3937,-93.8703,2797f6d2-e82b-4fb6-a23c-b724947522b0,,,,,,,,,4,2025-07-01,4,,,,,,3578
001Hr000028Zbou,"City Of Lake City, MN",Minnesota,Municipality,Nick Martino,5297,,Tier 3,0.75,44.4493,-92.2667,511f700d-b23f-4b40-9e9a-8d25fd847bf4,,,,,,,,,,,,,,,,,3457
001Hr000028ZbuC,"City Of Delano, MN",Minnesota,Municipality,Nick Martino,6638,,Tier 3,0.75,45.0419,-93.7891,2a0b4477-5e16-49ef-b542-d482239b661a,,,,,,,,,,,,,,,,,3802
001Hr000028Zbui,"City Of Thief River Falls, MN",Minnesota,Municipality,Nick Martino,8674,,Tier 3,0.75,48.1191,-96.1811,95f7d8e0-52c8-49a0-b801-60e1a80b7c32,,,,,,,,,6,2025-07-09,6,,,,,,4359
001Hr000028ZbvG,"City Of North Oaks, MN",Minnesota,Municipality,Nick Martino,5164,,Tier 3,0.75,45.0914,-93.0905,48a2f441-d51b-4746-93e7-0f3c2415a449,,,,,,,,,,,,,,,,,3520
001Hr000028Zbwe,"City Of Forest Lake, MN",Minnesota,Municipality,Nick Martino,20608,,Tier 2,1.0,45.2789,-92.9852,6598a649-06f0-45b0-bb68-39048d3ae75a,,,,,,,,,,,,,,,,,5442
001Hr000028Zbxg,"City Of Kasson, MN",Minnesota,Municipality,Nick Martino,6931,,Tier 3,0.75,44.0296,-92.7509,f070e2ab-b901-4395-ab46-f483f50b013a,,,,,,,,,1,2025-06-30,1,,,,,,3860
001Hr000028Zbyx,"City Of Litchfield, MN",Minnesota,Municipality,Nick Martino,6532,,Tier 3,0.75,45.1258,-94.5283,bab983a2-a7ee-4316-850d-228da1cadc38,,,,,,,,,2,2025-06-13,,2,,,,,3905
001Hr000028Zc1K,"City Of Detroit Lakes, MN",Minnesota,Municipality,Nick Martino,9795,Nurture,Tier 3,0.75,46.8172,-95.8453,230bf22f-a8d7-41b3-bca9-a896ebafeb8e,Closed Lost,,,Shane Lieberman,8/29/2024,1/5/2025,,,,,,,,,,,4526
