Account ID,Account Name,State,Entity Type,Owner,Population,Account Status,Tier,SQO Points,Lat,Lng,Starbridge Buyer ID,Opp Status,Stage,Funnel Position,Sourced By,Discovery Call Date,Created Date,ARR,Previously Lost,Total Calls,Last Call Date,Calls - Ben Laddis,Calls - Joe del Rosario,Calls - Ryan Minter,Calls - Quinzel Perry,Calls - Alicia Gopal,Calls - Jenny Allison,Calls - Emily Murnane,Calls - Leila Assil,Calls - Lucy Nemerov,Salesforce ID
001Hr000028ZbmY,"City Of Jennings, MO",Missouri,Municipality,Ben Laddis,12886,,Tier 2,1.0,38.7192,-90.2604,429e37e2-f79c-4d5e-9d22-6a14ec1817d9,,,,,,,,,,,,,,,,,,,,
001Hr000028ZbsM,"City Of Chillicothe, MO",Missouri,Municipality,Ben Laddis,9087,,Tier 3,0.75,39.7953,-93.5524,27b161e2-a0a0-4294-a2dc-033fac83c800,,,,,,,,,12,2026-02-03,12,,,,,,,,,
001Hr000028ZbtU,"City Of Richmond, MO",Missouri,Municipality,Ben Laddis,5967,,Tier 3,0.75,39.2786,-93.9769,3a970a88-8ca3-4285-b15b-abef8ff50d9f,,,,,,,,,2,2026-01-20,2,,,,,,,,,
001Hr000028ZbtV,"City Of Kearney, MO",Missouri,Municipality,Ben Laddis,10741,Nurture,Tier 2,1.0,39.3678,-94.3622,db608153-aea0-460d-b90a-063ec3e4b2e4,Closed Lost,,,Shane Lieberman,9/6/2024,1/5/2025,"$16,000",,16,2026-04-10,10,6,,,,,,,,
001Hr000028ZbuM,"City Of Dellwood, MO",Missouri,Municipality,Ben Laddis,4882,,Tier 3,0.75,38.7495,-90.2857,60488f4e-a53b-44d3-af4d-07044d656bdb,,,,,,,,,,,,,,,,,,,,
001Hr000028Zbw9,"City Of Ballwin, MO",Missouri,Municipality,Ben Laddis,30870,Nurture,Tier 1,1.5,38.5951,-90.5462,67f2d48b-0fd6-4e09-bab7-8b0ac010a6bd,Closed Lost,,,Shane Lieberman,9/20/2024,1/5/2025,"$55,000",,20,2026-05-26,19,1,,,,,,,,
001Hr000028Zbzr,"City Of Charleston, MO",Missouri,Municipality,Ben Laddis,4987,Nurture,Tier 3,0.75,36.9209,-89.3506,580836e8-596a-458f-a4eb-395df1179646,Closed Lost,,,Shane Lieberman,7/1/2024,1/5/2025,,,6,2025-07-14,,6,,,,,,,,
001Hr000028Zc2c,"City Of Joplin, MO",Missouri,Municipality,Ben Laddis,51846,,Tier S,2.0,37.0855,-94.5134,02a529f7-8fcb-4adc-abae-faab88466412,,,,,,,,,9,2026-04-29,4,4,,,,,1,,,
001Hr000028ZcBi,"City Of Peculiar, MO",Missouri,Municipality,Ben Laddis,5847,Nurture,Tier 3,0.75,38.7184,-94.4604,13659529-67fe-4394-a85b-d465aed773cd,Closed Lost,,,Asher Rosenfeld,,1/5/2025,,,40,2026-03-05,29,11,,,,,,,,
001Hr000028ZcFR,"City Of Carl Junction, MO",Missouri,Municipality,Ben Laddis,8262,,Tier 3,0.75,37.1767,-94.5655,8b059075-5031-478b-8c4b-d3da4cc52adb,,,,,,,,,7,2026-01-26,7,,,,,,,,,
001Hr000028ZcGK,"City Of Ozark, MO",Missouri,Municipality,Ben Laddis,21866,,Tier 2,1.0,37.0209,-93.206,722a0e83-0f62-49a4-b209-6224bf56f5a5,,,,,,,,,12,2026-01-30,11,1,,,,,,,,
001Hr000028ZcIf,"City Of Sullivan, MO",Missouri,Municipality,Ben Laddis,6855,,Tier 3,0.75,38.2081,-91.1604,b6f83ce1-0932-456f-930c-6954e1a21e5c,,,,,,,,,,,,,,,,,,,,
001Hr000028ZcIk,"City Of De Soto, MO",Missouri,Municipality,Ben Laddis,6435,,Tier 3,0.75,38.14,-90.5535,a14a734e-3fe8-4dad-a3dc-81499219778d,,,,,,,,,10,2026-01-30,10,,,,,,,,,
001Hr000028ZcIy,"City Of Black Jack, MO",Missouri,Municipality,Ben Laddis,6593,Open Opportunity,Tier 3,0.75,38.7934,-90.2673,bb4cf56c-fce0-4ebb-98b3-5398c2549642,Open,Meeting Booked,Top of Funnel,Ben Laddis,8/4/2026,3/27/2026,,,16,2026-03-27,16,,,,,,,,,
001Hr000028ZcL0,"City Of Chesterfield, MO",Missouri,Municipality,Ben Laddis,49703,,Tier 1,1.5,38.6631,-90.5771,0a5515c3-32cf-412a-bfa8-56753d97ac8e,,,,,,,,,5,2025-08-25,,5,,,,,,,,
001Hr000028ZcNT,"City Of Macon, MO",Missouri,Municipality,Ben Laddis,5475,Nurture,Tier 3,0.75,39.7423,-92.4727,a0b14002-c641-4a39-bda2-13565b3c6986,Closed Lost,,,Asher Rosenfeld,,1/5/2025,,,4,2026-04-27,3,1,,,,,,,,
001Hr000028ZcNU,"City Of Trenton, MO",Missouri,Municipality,Ben Laddis,5584,,Tier 3,0.75,40.0789,-93.6166,7f3f1471-5ef9-4571-b1a5-f81a4fcac9ff,,,,,,,,,4,2025-11-06,,4,,,,,,,,
001Hr000028ZcNY,"City Of Shrewsbury, MO",Missouri,Municipality,Ben Laddis,6332,Nurture,Tier 3,0.75,38.591,-90.3272,f1aa0827-12b7-4400-8e02-608796c9a726,Open,Initial Interest,Top of Funnel,Ben Laddis,,4/2/2026,,Yes,22,2026-05-26,18,4,,,,,,,,
001Hr000028ZcNZ,"City Of Pacific, MO",Missouri,Municipality,Ben Laddis,7354,Nurture,Tier 3,0.75,38.482,-90.7415,9c5c46b1-74a1-4218-bc80-76544e7f7256,Closed Lost,,,Shane Lieberman,4/24/2024,1/5/2025,,,10,2026-04-01,9,1,,,,,,,,
001Hr000028ZcPl,"City Of St Robert, MO",Missouri,Municipality,Ben Laddis,5341,,Tier 3,0.75,37.8281,-92.1777,706e370f-ad6f-44e0-8d32-25628d01bbb5,,,,,,,,,4,2026-01-16,4,,,,,,,,,
001Hr000028ZcQJ,"City Of Greenwood, MO",Missouri,Municipality,Ben Laddis,6052,All Modules Live,Tier 3,0.75,38.8517,-94.3438,5f077e08-c885-4e37-87ed-42a7afc093b0,Closed Won,,,Joe del Rosario,4/14/2025,3/10/2025,"$10,500",,,,,,,,,,,,,
001Hr000028ZcRB,"City Of Weldon Spring, MO",Missouri,Municipality,Ben Laddis,5304,Nurture,Tier 3,0.75,38.7134,-90.6893,f631d7b3-f4e7-4013-8f1d-a297d0bb7047,Closed Lost,,,Shane Lieberman,4/23/2024,1/5/2025,"$15,000",,6,2026-01-28,3,2,,,,1,,,,
001Hr000028ZcRW,"City Of Lake Saint Louis, MO",Missouri,Municipality,Ben Laddis,17311,,Tier 2,1.0,38.7809,-90.7884,e66a41d3-48ef-4b41-95a7-c54855c62f1f,,,,,,,,,3,2026-01-20,3,,,,,,,,,
001Hr000028ZcRX,"City Of Farmington, MO",Missouri,Municipality,Ben Laddis,18295,,Tier 2,1.0,37.7809,-90.4218,1a44633c-25cd-40c6-8d10-577772b6faf6,,,,,,,,,16,2026-02-03,15,1,,,,,,,,
001Hr000028ZcUH,"City Of Savannah, MO",Missouri,Municipality,Ben Laddis,5048,Nurture,Tier 3,0.75,39.9416,-94.8302,a03410bf-56ce-4b36-96f0-e3d38837262d,Closed Lost,,,Shane Lieberman,9/18/2024,1/5/2025,,,11,2026-02-02,10,1,,,,,,,,
001Hr000028ZcWW,"City Of Dexter, MO",Missouri,Municipality,Ben Laddis,7904,Nurture,Tier 3,0.75,36.7959,-89.9579,c7dfceb1-59de-47a3-b6d5-dc38ffac1286,Closed Lost,,,Asher Rosenfeld,,1/5/2025,,,6,2025-11-13,,3,,,3,,,,,
001Hr000028ZcWb,"City Of Smithville, MO",Missouri,Municipality,Ben Laddis,10552,,Tier 2,1.0,39.3869,-94.5811,8e3abb6f-49c1-491a-8706-940553d3457f,,,,,,,,,19,2026-02-23,17,2,,,,,,,,
001Hr000028ZcXu,"City Of Fulton, MO",Missouri,Municipality,Ben Laddis,12721,,Tier 2,1.0,38.8661,-92.0077,edd3b041-eef6-4c09-8d74-1313309550e4,,,,,,,,,47,2026-03-19,34,13,,,,,,,,
001Hr000028ZcY8,"City Of Kennett, MO",Missouri,Municipality,Ben Laddis,10288,Open Opportunity,Tier 2,1.0,36.2362,-90.0556,d530b0a5-7737-490e-8cd6-f5016938fcdd,Open,Meeting Booked,Top of Funnel,Ben Laddis,7/8/2026,1/27/2026,,,10,2026-01-27,8,2,,,,,,,,
001Hr000028ZcbL,"City Of Bonne Terre, MO",Missouri,Municipality,Ben Laddis,6731,,Tier 3,0.75,37.9231,-90.5554,e27a90ab-5b97-44cc-b1e3-489be2577895,,,,,,,,,14,2026-03-13,11,3,,,,,,,,
001Hr000028Zcba,"City Of Brentwood, MO",Missouri,Municipality,Ben Laddis,8164,,Tier 3,0.75,38.6176,-90.3493,1559765d-e8c7-4dcb-8db1-e952ee502c83,,,,,,,,,1,2025-07-16,,1,,,,,,,,
001Hr000028Zcbf,"City Of Parkville, MO",Missouri,Municipality,Ben Laddis,7810,,Tier 3,0.75,39.195,-94.6822,a39be026-f698-4f04-988b-5a8fc2c5c2a2,,,,,,,,,22,2026-02-19,22,,,,,,,,,
001Hr000028Zcbm,"City Of St Ann, MO",Missouri,Municipality,Ben Laddis,12900,Open Opportunity,Tier 2,1.0,38.7309,-90.389,fa4ea35e-7f1e-456a-9e0c-38d6b92fc1fc,Open,Initial Interest,Top of Funnel,Ben Laddis,3/17/2026,1/30/2026,,,31,2026-03-17,21,10,,,,,,,,
001Hr000028ZccI,"City Of Battlefield, MO",Missouri,Municipality,Ben Laddis,6025,,Tier 3,0.75,37.1157,-93.3704,7cbcdee1-a178-41f8-810d-6b67e08d0c91,,,,,,,,,15,2026-02-19,15,,,,,,,,,
001Hr000028Zccw,"City Of Odessa, MO",Missouri,Municipality,Ben Laddis,5585,Nurture,Tier 3,0.75,38.9992,-93.9536,bb9b512d-de97-4034-8ef6-b64a62b8c01e,Closed Lost,,,Ben Laddis,2/2/2026,1/20/2026,,,4,2026-01-20,4,,,,,,,,,
001Hr000028Zccx,"City Of Waynesville, MO",Missouri,Municipality,Ben Laddis,5427,,Tier 3,0.75,37.8287,-92.2007,b55e8e89-24b4-4781-9e44-e3d1477a0ab7,,,,,,,,,7,2026-01-27,6,1,,,,,,,,
001Hr000028ZcdT,"City Of Moberly, MO",Missouri,Municipality,Ben Laddis,13904,Nurture,Tier 2,1.0,39.4184,-92.4382,ca4c46cc-37df-44e0-889b-fd542a014e63,Closed Lost,,,Shane Lieberman,5/20/2024,1/5/2025,,,37,2026-05-26,33,4,,,,,,,,
001Hr000028Zcdg,"City Of Bowling Green, MO",Missouri,Municipality,Ben Laddis,4219,Nurture,Tier 3,0.75,39.342,-91.1953,baaace43-d6b5-407c-a7fc-e81ff31ad61a,Closed Lost,,,Shane Lieberman,5/2/2024,1/5/2025,,,1,2025-08-12,,1,,,,,,,,
001Hr000028Zce0,"City Of Festus, MO",Missouri,Municipality,Ben Laddis,12874,Open Opportunity,Tier 2,1.0,38.2136,-90.4033,a6900e2e-6dc7-49cc-9052-619ba07a1b19,Open,Initial Interest,Top of Funnel,Ben Laddis,2/19/2026,1/22/2026,,,15,2026-02-18,14,1,,,,,,,,
001Hr000028Zcf8,"City Of Park Hills, MO",Missouri,Municipality,Ben Laddis,8701,,Tier 3,0.75,37.8542,-90.5182,1b49a4ed-8e8a-4b2a-bb16-2779b324b0ef,,,,,,,,,7,2026-01-27,6,1,,,,,,,,
001Hr000028Zcfb,"City Of Cottleville, MO",Missouri,Municipality,Ben Laddis,5761,,Tier 3,0.75,38.7448,-90.6521,0a30c05b-a0e5-4871-a128-ffb57cc76cc2,,,,,,,,,4,2025-11-07,,4,,,,,,,,
001Hr000028Zcft,"City Of Jackson, MO",Missouri,Municipality,Ben Laddis,15515,Open Opportunity,Tier 2,1.0,37.3823,-89.6662,a5d802a8-d6f7-474a-8148-e2b1a6bacc98,Open,Proposal,Mid Funnel,Ben Laddis,2/20/2026,1/29/2026,"$20,000",,6,2026-01-29,6,,,,,,,,,
001Hr000028Zcg3,"City Of Jefferson City, MO",Missouri,Municipality,Ben Laddis,42772,Open Opportunity,Tier 1,1.5,38.5767,-92.1735,205ebbb8-d2e7-471d-96ba-55ebf236fc3e,Open,Verbal,Mid Funnel,Alicia Gopal,1/9/2026,11/3/2025,"$62,500",Yes,24,2025-12-19,,2,,,22,,,,,
001Hr000028ZcgY,"City Of Caruthersville, MO",Missouri,Municipality,Ben Laddis,5399,Nurture,Tier 3,0.75,36.1931,-89.6556,985b0649-7fa8-4008-9de6-322bcdc45225,Closed Lost,,,Liam Shaw,10/16/2024,1/5/2025,,,1,2025-11-03,,1,,,,,,,,
001Hr000028Zcga,"City Of Monett, MO",Missouri,Municipality,Ben Laddis,9684,Open Opportunity,Tier 3,0.75,36.9198,-93.9276,469690e0-0478-4745-a02f-2ce42dc76df0,Open,Initial Interest,Top of Funnel,Ben Laddis,4/7/2026,2/3/2026,,,10,2026-04-07,9,1,,,,,,,,
001Hr000028Zch2,"City Of Willard, MO",Missouri,Municipality,Ben Laddis,6385,,Tier 3,0.75,37.305,-93.4285,e50402a5-f996-478e-b863-6c94b9c90744,,,,,,,,,6,2026-01-20,6,,,,,,,,,
001Hr000028ZchK,"City Of Nevada, MO",Missouri,Municipality,Ben Laddis,8198,,Tier 3,0.75,37.8392,-94.3547,2908e8e9-03cd-4c8b-b9c9-ba861690d396,,,,,,,,,1,2026-01-14,1,,,,,,,,,
001Hr000028Zchr,"City Of Arnold, MO",Missouri,Municipality,Ben Laddis,20819,Nurture,Tier 2,1.0,38.4442,-90.3739,49a38dd4-b2c4-417a-9f32-4ab694df1222,Closed Lost,,,Ben Laddis,3/26/2026,1/28/2026,,,5,2026-03-25,4,1,,,,,,,,
