Account ID,Account Name,State,Entity Type,Owner,Population,Account Status,Tier,SQO Points,Lat,Lng,Starbridge Buyer ID,Opp Status,Stage,Funnel Position,Sourced By,Discovery Call Date,Created Date,ARR,Previously Lost,Total Calls,Last Call Date,Calls - Ryan Minter,Calls - Sydney Ireland,Calls - Leila Assil,Calls - Nick Martino,Calls - Quinzel Perry,Calls - Ben Laddis,Calls - Jenny Allison
001Hr000028Zc1e,"City Of Louisville, MS",Mississippi,Municipality,Sydney Ireland,6008,Nurture,Tier 3,0.75,33.1237,-89.0551,b08af4f1-fcbf-4357-9d1a-12308608cd75,Closed Lost,,,Liam Shaw,7/10/2024,1/5/2025,,,9,2026-01-27,9,,,,,,
001Hr000028Zc3T,"City Of Diamondhead, MS",Mississippi,Municipality,Sydney Ireland,9442,Open Opportunity,Tier 3,0.75,30.3946,-89.3639,4173ff7b-b2c3-4db2-be3d-ac3ee6b143ee,Open,Initial Interest,Top of Funnel,Ryan Minter,8/4/2025,7/24/2025,,,19,2026-04-29,18,1,,,,,
001Hr000028Zc8z,"Town Of Leakesville, MS",Mississippi,Municipality,Sydney Ireland,3603,Nurture,Tier 3,0.75,31.1557,-88.5578,71fb4a16-1bba-4d49-b72c-8672ee5bf8b6,Closed Lost,,,Liam Shaw,7/1/2024,1/5/2025,"$16,000",,,,,,,,,,
001Hr000028Zc9J,"City Of Ripley, MS",Mississippi,Municipality,Sydney Ireland,5362,All Modules Live,Tier 3,0.75,34.7298,-88.9506,c17ddb3c-545a-42d4-858b-cbcbe50ba259,Closed Won,,,Liam Shaw,6/28/2024,1/5/2025,"$9,000",,,,,,,,,,
001Hr000028ZcBK,"City Of Amory, MS",Mississippi,Municipality,Sydney Ireland,6513,,Tier 3,0.75,33.9843,-88.4881,c636167a-ec9a-47ed-8f60-6c437f8b2072,,,,,,,,,3,2026-05-08,,3,,,,,
001Hr000028ZcBY,"City Of Booneville, MS",Mississippi,Municipality,Sydney Ireland,9081,Nurture,Tier 3,0.75,34.6582,-88.5667,ac057539-b5f4-4510-8af5-1e5942e12531,Closed Lost,,,Liam Shaw,7/10/2024,1/5/2025,,,11,2026-04-30,1,3,7,,,,
001Hr000028ZcDn,"City Of Philadelphia, MS",Mississippi,Municipality,Sydney Ireland,6995,,Tier 3,0.75,32.7715,-89.1167,87199ebe-a2be-4ec9-8301-2e6d1a62d19f,,,,,,,,,,,,,,,,,
001Hr000028ZcGT,"City Of West Point, MS",Mississippi,Municipality,Sydney Ireland,9983,,Tier 3,0.75,33.6076,-88.6503,350ee120-6c10-4979-b7e3-2b35e411f2a0,,,,,,,,,2,2026-04-29,1,1,,,,,
001Hr000028ZcPH,"Town Of Saltillo, MS",Mississippi,Municipality,Sydney Ireland,4910,Nurture,Tier 3,0.75,34.3765,-88.6817,a4824877-bf0d-436d-9003-64b96f506d56,Closed Lost,,,Joe del Rosario,3/19/2025,2/25/2025,,,,,,,,,,,
001Hr000028ZcQn,"City Of Kosciusko, MS",Mississippi,Municipality,Sydney Ireland,7022,,Tier 3,0.75,33.0576,-89.5876,0e9ab6c2-cb1e-4fb8-9a90-c841b4bfea3f,,,,,,,,,9,2026-05-06,8,1,,,,,
001Hr000028ZcSo,"City Of Holly Springs, MS",Mississippi,Municipality,Sydney Ireland,6565,,Tier 3,0.75,34.7676,-89.4487,de35d4c3-878e-4ff4-9d28-c00d93b7f839,,,,,,,,,14,2026-02-04,14,,,,,,
001Hr000028ZcTE,"City Of Starkville, MS",Mississippi,Municipality,Sydney Ireland,24657,,Tier 2,1.0,33.4504,-88.8184,4b8b4da3-67eb-4df7-952b-795c7dd98be7,,,,,,,,,9,2026-04-29,4,5,,,,,
