Account ID,Account Name,State,Entity Type,Owner,Population,Account Status,Tier,SQO Points,Lat,Lng,Starbridge Buyer ID,Opp Status,Stage,Funnel Position,Sourced By,Discovery Call Date,Created Date,ARR,Previously Lost,Total Calls,Last Call Date,Calls - Nick Martino,Calls - Ben Laddis,Calls - Joe del Rosario,Calls - Alicia Gopal,Calls - Jenny Allison,Salesforce ID
001Hr000028ZbdY,"City Of Goldsboro, NC",North Carolina,Municipality,Ben Laddis,32749,Open Opportunity,Tier 1,1.5,35.3839,-77.9949,08289b5d-8579-45b1-a22d-9513e38c2c89,Open,Initial Interest,Top of Funnel,Jenny Allison,,11/3/2025,,,12,2026-05-26,3,7,,,2,
001Hr000028ZbnB,"Town Of Mooresville, NC",North Carolina,Municipality,Ben Laddis,51594,,Tier S,2.0,35.582,-80.814,465bf2c3-25c2-40ba-a28e-e9b27649a0c4,,,,,,,,,10,2026-05-26,6,4,,,,
001Hr000028ZbnF,"Town Of Boone, NC",North Carolina,Municipality,Ben Laddis,18036,,Tier 2,1.0,36.2182,-81.683,6152c717-caf5-4441-9875-d66c7423379a,,,,,,,,,7,2026-05-18,3,4,,,,
001Hr000028ZbnG,"Town Of Angier, NC",North Carolina,Municipality,Ben Laddis,5703,,Tier 3,0.75,35.5071,-78.7392,78891115-927f-429e-ad37-b4b7317f6997,,,,,,,,,,,,,,,,
001Hr000028Zbnh,"Town Of Harrisburg, NC",North Carolina,Municipality,Nick Martino,19463,,Tier 2,1.0,35.3238,-80.6559,d224383b-b58e-4f4a-a067-3a8fc07e0ae9,,,,,,,,,3,2026-04-22,3,,,,,
001Hr000028Zbnk,"Town Of Fuquay-Varina, NC",North Carolina,Municipality,Nick Martino,36736,,Tier 1,1.5,35.5843,-78.8,bea9c931-64c4-428b-b0a3-917746d3667e,,,,,,,,,2,2026-05-26,2,,,,,
001Hr000028ZboG,"City Of Lexington, NC",North Carolina,Municipality,Ben Laddis,19516,Open Opportunity,Tier 2,1.0,35.824,-80.2534,b3e4a9cc-b2b0-4c7b-87bd-a16a550c81eb,Open,Demo,Mid Funnel,Jason Ginsberg,2/12/2026,2/5/2026,,,,,,,,,,
001Hr000028ZboQ,"City Of Boiling Spring Lakes, NC",North Carolina,Municipality,Nick Martino,6168,Nurture,Tier 3,0.75,34.0306,-78.0675,3d9eef60-de92-4a48-adad-ba0953d85707,Closed Lost,,,Asher Rosenfeld,,1/5/2025,,,3,2026-04-21,3,,,,,
001Hr000028ZbrY,"City Of Havelock, NC",North Carolina,Municipality,Nick Martino,17052,,Tier 2,1.0,34.879,-76.9013,862769c4-5538-407f-85b8-d3e289410fdf,,,,,,,,,3,2026-05-13,3,,,,,
001Hr000028Zbs7,"Town Of Winterville, NC",North Carolina,Municipality,Ben Laddis,10591,,Tier 2,1.0,35.5291,-77.4011,0d44fc13-f130-49c0-ad13-40df31d687e0,,,,,,,,,,,,,,,,
001Hr000028ZbsS,"City Of Morehead City, NC",North Carolina,Municipality,Nick Martino,9688,Nurture,Tier 3,0.75,34.7229,-76.726,ff4d4ead-11d3-4c98-a089-cbaa4779ab88,Closed Lost,,,Asher Rosenfeld,,1/5/2025,,,13,2025-09-23,13,,,,,
001Hr000028Zbsf,"City Of New Bern, NC",North Carolina,Municipality,Nick Martino,31346,Open Opportunity,Tier 1,1.5,35.1085,-77.0441,a9c296a2-e017-4449-925f-ed6e2fd65130,Open,Initial Interest,Top of Funnel,Asher Rosenfeld,,1/5/2025,,,8,2025-10-31,8,,,,,
001Hr000028Zbsg,"Town Of Weddington, NC",North Carolina,Municipality,Nick Martino,13488,Nurture,Tier 2,1.0,35.0224,-80.7609,ceb0f507-597d-459f-a5f1-0bc64ed60e00,Closed Lost,,,Nick Martino,2/27/2026,2/23/2026,,,22,2026-02-23,22,,,,,
001Hr000028Zbt5,"City Of Mebane, NC",North Carolina,Municipality,Nick Martino,18408,Implementation,Tier 2,1.0,36.0968,-79.2697,58a79b7a-1612-4311-a844-90888cf03478,Closed Won,,,Joe del Rosario,6/27/2025,6/2/2025,"$37,500",,,,,,,,,
