Account ID,Account Name,State,Entity Type,Owner,Population,Account Status,Tier,SQO Points,Lat,Lng,Starbridge Buyer ID,Opp Status,Stage,Funnel Position,Sourced By,Discovery Call Date,Created Date,ARR,Previously Lost,Total Calls,Last Call Date,Calls - Blake Anderson,Calls - Ben Laddis,Calls - Joe del Rosario,Calls - Quinzel Perry,Calls - Jenny Allison
001Hr000028ZbdN,"City Of Minot, ND",North Dakota,Municipality,Blake Anderson,47789,,Tier 1,1.5,48.233,-101.2923,a0815a69-c12b-4952-8454-92cb12fe9497,,,,,,,,,12,2026-03-27,,7,,5,
001Hr000028Zbw2,"City Of Jamestown, ND",North Dakota,Municipality,Blake Anderson,15750,Nurture,Tier 2,1.0,46.9105,-98.7084,1db78ae5-9348-46e6-9d4b-17c8d3873992,Closed Lost,,,Joe del Rosario,1/22/2025,1/9/2025,"$15,000",,9,2026-04-09,,7,2,,
001Hr000028ZbwQ,"City Of Mandan, ND",North Dakota,Municipality,Blake Anderson,24447,,Tier 2,1.0,46.8267,-100.8896,f8e9d667-d708-4523-8f8e-23e408f58c90,,,,,,,,,5,2026-03-06,,5,,,
001Hr000028ZbwV,"City Of West Fargo, ND",North Dakota,Municipality,Blake Anderson,39487,,Tier 1,1.5,46.8769,-96.8999,88a543a4-4b15-4578-aec9-ebc3d2ffe925,,,,,,,,,9,2026-04-03,,5,4,,
001Hr000028Zbwf,"City Of Williston, ND",North Dakota,Municipality,Blake Anderson,27332,,Tier 1,1.5,48.147,-103.618,2af28976-70ce-4b57-a50b-c183e4b01f67,,,,,,,,,6,2026-04-10,,5,1,,
001Hr000028Zbze,"City Of Dickinson, ND",North Dakota,Municipality,Blake Anderson,25167,Nurture,Tier 1,1.5,46.8792,-102.7896,94d7a97e-0329-415c-89b4-018688f86852,Closed Lost,,,Ben Laddis,3/17/2026,3/12/2026,,,8,2026-03-16,,8,,,
001Hr000028Zc0B,"City Of Wahpeton, ND",North Dakota,Municipality,Blake Anderson,7943,,Tier 3,0.75,46.2652,-96.6059,cfe9702d-e17f-46e1-850a-bbc784a54d13,,,,,,,,,5,2026-04-17,,4,1,,
001Hr000028Zc0R,"City Of Devils Lake, ND",North Dakota,Municipality,Blake Anderson,7182,Open Opportunity,Tier 3,0.75,48.1128,-98.8651,f6e977bf-24bb-483a-a959-ea33416b33cf,Open,Proposal,Mid Funnel,Ben Laddis,3/2/2026,10/22/2025,"$7,000",,7,2026-02-25,,7,,,
001Hr000028Zc5E,"City Of Valley City, ND",North Dakota,Municipality,Blake Anderson,6559,,Tier 3,0.75,46.9233,-98.0032,09861c5f-dca6-466b-8b49-0346a7c4c09a,,,,,,,,,15,2026-04-02,,15,,,
001Hr000028ZcFj,"City Of Watford City, ND",North Dakota,Municipality,Blake Anderson,5866,,Tier 3,0.75,47.8023,-103.2831,a107f7bf-c5c5-484d-a75d-435e3e6b8131,,,,,,,,,2,2026-04-09,,2,,,
001Hr000028ZdDJ,"Grand Forks County, ND",North Dakota,County,Blake Anderson,73771,,Tier S,2.0,48.0038,-97.3595,d3ef13b1-ab89-429f-bf99-3ba6105cf79d,,,,,,,,,5,2026-04-23,,5,,,
001Hr000028ZdOC,"City Of Grand Forks, ND",North Dakota,Municipality,Blake Anderson,58781,Open Opportunity,Tier S,2.0,47.9253,-97.0329,bbcf5fab-804a-400e-bdf2-3aafbdec1bf5,Open,Initial Interest,Top of Funnel,,1/8/2025,1/5/2025,,,12,2026-03-25,,6,6,,
001Hr000028ZdPU,"Township Of Tatman, ND",North Dakota,Municipality,Blake Anderson,2735,,Tier 3,0.75,48.4276,-101.2707,ee01ab6e-1740-4b03-a707-0ecd018c650a,,,,,,,,,1,2025-06-30,,,,1,
001Hr000028ZdZy,"City Of Bismarck, ND",North Dakota,Municipality,Blake Anderson,74138,Open Opportunity,Tier S,2.0,46.8042,-100.7878,8276186c-ee37-4a1b-8167-baad7d334520,Open,Initial Interest,Top of Funnel,Asher Rosenfeld,,1/5/2025,,,1,2026-03-13,,1,,,
001Hr000028Zdps,"Cass County, ND",North Dakota,County,Blake Anderson,,,Tier 3,0.75,47.0712,-97.1216,399e4d6e-7642-457e-83cd-864aa954a031,,,,,,,,,6,2026-05-18,6,,,,
001cv000006sxkj,"County Of Williams, ND",North Dakota,County,Blake Anderson,38484,,Tier 1,1.5,48.432,-103.2924,646517de-7db9-4b0d-acea-f0f45331d1ab,,,,,,,,,2,2026-04-10,,2,,,
001cv00000AuVkl,"County Of Ward, ND",North Dakota,County,Blake Anderson,69071,Open Opportunity,Tier S,2.0,48.2147,-101.5805,39542014-a4be-4e33-b39b-8777f65dc002,Open,Meeting Booked,Top of Funnel,Ben Laddis,5/14/2026,4/23/2026,,,8,2026-05-12,,5,3,,
001cv00000AuWXK,"City Of Carrington, ND",North Dakota,Municipality,Blake Anderson,2053,,Tier 3,0.75,47.4497,-99.1262,8b6064db-9df8-4419-b0e5-7043f91538b6,,,,,,,,,,,,,,,
001cv00000AuWXp,"City Of Tioga, ND",North Dakota,Municipality,Blake Anderson,2062,,Tier 3,0.75,48.3972,-102.9382,e0b812a0-5969-4d78-b526-fd26dbfaef0d,,,,,,,,,2,2026-05-14,1,,1,,
001cv00000AuWbu,"County Of Towner, ND",North Dakota,County,Blake Anderson,2140,,Tier 3,0.75,48.3458,-100.4054,783d2208-77c1-4771-ad96-ac82c96082f4,,,,,,,,,,,,,,,
001cv00000AuWcx,"County Of Burke, ND",North Dakota,County,Blake Anderson,2158,,Tier 3,0.75,48.7704,-102.4634,f0305af9-7edc-4697-b669-2d669d1b7f3c,,,,,,,,,1,2025-07-08,,,1,,
001cv00000AuWdR,"County Of Adams, ND",North Dakota,County,Blake Anderson,2167,,Tier 3,0.75,48.4214,-98.079,b4014798-ac3e-49fe-a7c8-bbb3d6280b43,,,,,,,,,2,2025-07-14,,,2,,
001cv00000AuWpu,"County Of Divide, ND",North Dakota,County,Blake Anderson,2188,,Tier 3,0.75,48.8056,-103.583,5d8c28a1-3afc-4cde-b856-80bfc24cbb32,,,,,,,,,,,,,,,
001cv00000AuWq1,"City Of Lisbon, ND",North Dakota,Municipality,Blake Anderson,2190,,Tier 3,0.75,46.4416,-97.6812,dda93dd6-d7f9-41e2-99d3-c04c08f5b3a3,,,,,,,,,2,2026-05-13,2,,,,
001cv00000AuWqM,"City Of Bottineau, ND",North Dakota,Municipality,Blake Anderson,2197,,Tier 3,0.75,48.8272,-100.4457,b96bad1c-aabe-4084-9322-e9dc5b6bf407,,,,,,,,,,,,,,,
001cv00000AuX6J,"County Of Renville, ND",North Dakota,County,Blake Anderson,2266,,Tier 3,0.75,48.8582,-101.6334,58f96eaa-009d-4640-9d95-cbfa61364f76,,,,,,,,,,,,,,,
001cv00000AuX6h,"City Of Hazen, ND",North Dakota,Municipality,Blake Anderson,2273,,Tier 3,0.75,47.2944,-101.6227,ece864c2-37e2-4d00-a144-65990fe9b0fe,,,,,,,,,,,,,,,
001cv00000AuX73,"County Of Griggs, ND",North Dakota,County,Blake Anderson,2281,,Tier 3,0.75,47.3877,-98.2554,58c7e1c2-beda-41d5-9936-5ef10728ebff,,,,,,,,,,,,,,,
001cv00000AuX93,"County Of Grant, ND",North Dakota,County,Blake Anderson,2323,,Tier 3,0.75,46.3951,-101.5536,ba3f9e30-e5ce-49f0-91ff-d53d5b0fdbad,,,,,,,,,,,,,,,
001cv00000AuX9j,"County Of Eddy, ND",North Dakota,County,Blake Anderson,2337,,Tier 3,0.75,47.6964,-98.8872,e2245ec5-8619-45af-b360-fd0cb0d7553a,,,,,,,,,,,,,,,
001cv00000AuXAv,"County Of Kidder, ND",North Dakota,County,Blake Anderson,2369,,Tier 3,0.75,46.8766,-99.7507,368b4611-3546-4e10-b65d-3c6a8411aa13,,,,,,,,,,,,,,,
001cv00000AuXN7,"City Of Casselton, ND",North Dakota,Municipality,Blake Anderson,2459,,Tier 3,0.75,46.9005,-97.2112,7a339c9c-8cb8-4805-bbc1-bb8a6e63465d,,,,,,,,,1,2026-05-05,1,,,,
001cv00000AuXPQ,"County Of Mcintosh, ND",North Dakota,County,Blake Anderson,2513,,Tier 3,0.75,46.0543,-99.3766,28a1acaf-520f-4429-952c-49e093a18f7c,,,,,,,,,1,2026-05-05,1,,,,
001cv00000AuXPa,"City Of Rugby, ND",North Dakota,Municipality,Blake Anderson,2517,,Tier 3,0.75,48.3689,-99.9962,3ee7f03b-5e2b-43c8-b4c1-4158899883f2,,,,,,,,,,,,,,,
001cv00000AuXgP,"City Of New Town, ND",North Dakota,Municipality,Blake Anderson,2749,,Tier 3,0.75,47.9808,-102.4902,b1f5658d-abd7-4c43-85f2-7c93da505d39,,,,,,,,,1,2026-05-05,1,,,,
001cv00000AuXjZ,"Township Of Gibbs, ND",North Dakota,Municipality,Blake Anderson,2827,,Tier 3,0.75,46.8539,-100.6584,8e07db99-c91f-4cd6-ab9b-b952d541b816,,,,,,,,,,,,,,,
001cv00000AuXmF,"County Of Bowman, ND",North Dakota,County,Blake Anderson,2903,,Tier 3,0.75,46.1831,-103.3949,bb24155f-13cc-4420-a5fc-c642422e02e0,,,,,,,,,,,,,,,
001cv00000AuYFz,"City Of Beulah, ND",North Dakota,Municipality,Blake Anderson,3038,,Tier 3,0.75,47.2633,-101.7779,646fca85-803e-4909-beda-ff510390ebec,,,,,,,,,2,2026-05-05,2,,,,
001cv00000AuYGR,"County Of Nelson, ND",North Dakota,County,Blake Anderson,3054,,Tier 3,0.75,47.952,-98.126,ddc3143b-688b-43d1-b6ee-55c3e4a59863,,,,,,,,,10,2026-05-19,10,,,,
001cv00000AuYJF,"City Of Horace, ND",North Dakota,Municipality,Blake Anderson,3358,,Tier 3,0.75,46.7589,-96.9037,d51d3892-c066-4fda-9387-4bda0f280333,,,,,,,,,4,2026-03-25,,1,3,,
001cv00000AuYJM,"County Of Foster, ND",North Dakota,County,Blake Anderson,3364,,Tier 3,0.75,47.4992,-98.8746,bbf837e2-a644-4537-8be5-386b75257346,,,,,,,,,3,2026-05-05,3,,,,
001cv00000AuYMc,"Township Of Apple Creek, ND",North Dakota,Municipality,Blake Anderson,3492,,Tier 3,0.75,46.7782,-100.6299,c8633ae4-b51a-4c91-b824-495e19675bfa,,,,,,,,,4,2026-05-11,4,,,,
001cv00000AuYPn,"County Of Emmons, ND",North Dakota,County,Blake Anderson,3271,Open Opportunity,Tier 3,0.75,46.2061,-100.2953,26486237-c6ca-489b-98ee-143b8bf9c365,Open,Meeting Booked,Top of Funnel,Blake Anderson,5/13/2026,5/11/2026,,,4,2026-05-15,4,,,,
001cv00000AuYdj,"County Of Cavalier, ND",North Dakota,County,Blake Anderson,3662,Nurture,Tier 3,0.75,48.7939,-97.6223,02393a87-1279-4ecf-9b04-509f165b8332,Closed Lost,,,Blake Anderson,5/13/2026,4/30/2026,,,3,2026-05-13,2,,,,1
001cv00000AuYgK,"County Of Sargent, ND",North Dakota,County,Blake Anderson,3829,,Tier 3,0.75,46.1089,-97.6152,44388230-875b-42fd-9f46-ffbb9523ac44,,,,,,,,,,,,,,,
001cv00000AuYhm,"County Of Wells, ND",North Dakota,County,Blake Anderson,3905,,Tier 3,0.75,47.5217,-99.5752,83b6772f-4ecb-4c23-972a-358a4fba7514,,,,,,,,,,,,,,,
