Account ID,Account Name,State,Entity Type,Owner,Population,Account Status,Tier,SQO Points,Lat,Lng,Starbridge Buyer ID,Opp Status,Stage,Funnel Position,Sourced By,Discovery Call Date,Created Date,ARR,Previously Lost,Total Calls,Last Call Date,Calls - Jenny Allison,Calls - Alicia Gopal,Calls - Quinzel Perry,Calls - Leila Assil,Calls - Joe del Rosario,Calls - Nick Martino,Calls - Shane Lieberman,Outreach ID
001Hr000028Zbtc,"Town Of Auburn, NH",New Hampshire,Municipality,Mihir Shah,6034,,Tier 3,0.75,43.0045,-71.3484,2304658e-6027-4627-afeb-19b1496c8ccd,,,,,,,,,2,2025-11-19,2,,,,,,,3708
001Hr000028Zbty,"Town Of New Ipswich, NH",New Hampshire,Municipality,Mihir Shah,5276,,Tier 3,0.75,42.759,-71.8594,ed438066-5713-4038-9bae-85bb304e04ff,,,,,,,,,,,,,,,,,,3514
001Hr000028Zby5,"Town Of Londonderry, NH",New Hampshire,Municipality,Mihir Shah,26146,Recent Competitor Purchase,Tier 1,1.5,42.8465,-71.3616,bb37a8b1-10aa-4155-899b-6b3eac55204c,,,,,,,,,4,2025-10-10,,,,,4,,,5685
001Hr000028Zc4S,"Town Of Belmont, NH",New Hampshire,Municipality,Mihir Shah,7428,,Tier 3,0.75,43.4445,-71.4776,c708bc04-f680-4117-9d55-a6ee8928a58c,,,,,,,,,,,,,,,,,,4052
001Hr000028Zc6Y,"Town Of Wolfeboro, NH",New Hampshire,Municipality,Mihir Shah,6547,,Tier 3,0.75,43.5845,-71.2105,278cce84-b644-4e2a-9bf8-c542f1026642,,,,,,,,,4,2026-01-22,4,,,,,,,3852
001Hr000028Zc8t,"Town Of Pembroke, NH",New Hampshire,Municipality,Mihir Shah,7482,,Tier 3,0.75,43.1814,-71.4418,c7ae8133-1b88-4e1a-bb33-d3f33d1decdd,,,,,,,,,,,,,,,,,,4045
001Hr000028Zc9Y,"Town Of New Boston, NH",New Hampshire,Municipality,Mihir Shah,6167,,Tier 3,0.75,42.9762,-71.694,fc81533f-f1cd-470a-9ca8-def2ffc43d66,,,,,,,,,,,,,,,,,,3763
001Hr000028Zc9i,"Town Of Meredith, NH",New Hampshire,Municipality,Mihir Shah,6739,,Tier 3,0.75,43.6582,-71.5,3a48cbd7-b6f5-4f0e-8534-98de675d0bd3,,,,,,,,,,,,,,,,,,3903
001Hr000028Zc9m,"Town Of Hillsborough, NH",New Hampshire,Municipality,Mihir Shah,5958,,Tier 3,0.75,43.1149,-71.8949,95c6bf60-fdfc-4685-a02e-1c84e672e32b,,,,,,,,,7,2025-07-21,,,7,,,,,3742
001Hr000028ZcAe,"Town Of Kingston, NH",New Hampshire,Municipality,Mihir Shah,6226,Nurture,Tier 3,0.75,42.9365,-71.0534,85ac4dd5-5fbb-4aae-a89a-2b811ade9633,Closed Lost,,,Jenny Allison,10/29/2025,10/24/2025,,,3,2025-10-24,3,,,,,,,3806
001Hr000028ZcCS,"Town Of Hollis, NH",New Hampshire,Municipality,Mihir Shah,8519,,Tier 3,0.75,42.7425,-71.5895,37097b29-d565-421e-b633-1c048b385182,,,,,,,,,3,2026-01-21,3,,,,,,,4272
001Hr000028ZcCb,"City Of Franklin, NH",New Hampshire,Municipality,Mihir Shah,8828,Open Opportunity,Tier 3,0.75,43.4442,-71.6473,4d3bc317-4595-44f1-a0de-43aa19a14a03,Open,Initial Interest,Top of Funnel,Quinzel Perry,7/9/2025,6/5/2025,,,4,2025-08-04,,,4,,,,,4357
001Hr000028ZcJ2,"Town Of Wakefield, NH",New Hampshire,Municipality,Mihir Shah,5362,,Tier 3,0.75,43.5539,-71.0263,d2fdd7ef-357c-4393-8f12-d65827675433,,,,,,,,,,,,,,,,,,3515
001Hr000028ZcKF,"City Of Berlin, NH",New Hampshire,Municipality,Mihir Shah,9704,,Tier 3,0.75,44.4687,-71.1851,5a381299-b823-4c64-9ce1-529bc0cb0d9a,,,,,,,,,10,2025-07-21,,,10,,,,,4525
001Hr000028ZcLW,"Town Of Chester, NH",New Hampshire,Municipality,Mihir Shah,5267,Nurture,Tier 3,0.75,42.9568,-71.2573,1d816cfa-858e-434e-ae17-0a4fa0c4c7c9,Closed Lost,,,Granger West,,1/4/2025,,,,,,,,,,,,3509
001Hr000028ZcMp,"Town Of Jaffrey, NH",New Hampshire,Municipality,Mihir Shah,5418,Nurture,Tier 3,0.75,42.8142,-72.0223,e67679c1-9dec-4396-b4e6-a4dbac25ed2c,Closed Lost,,,Quinzel Perry,2/11/2025,2/6/2025,,,,,,,,,,,,3562
001Hr000028ZcOO,"Town Of Hopkinton, NH",New Hampshire,Municipality,Mihir Shah,6036,,Tier 3,0.75,43.1948,-71.6911,991ad758-f698-466f-9a6f-95b0ad9201fd,,,,,,,,,,,,,,,,,,3738
001Hr000028ZcPW,"Town Of Loudon, NH",New Hampshire,Municipality,Mihir Shah,5714,Recent Competitor Purchase,Tier 3,0.75,43.2856,-71.4673,63baa077-d8d0-4dda-80b6-beac1582ad98,,,,,,,,,,,,,,,,,,3626
001Hr000028ZcRl,"Town Of Gilford, NH",New Hampshire,Municipality,Mihir Shah,7804,Nurture,Tier 3,0.75,43.5775,-71.4006,184395aa-c648-4c3a-b584-4a95a5d2884a,Closed Lost,,,Granger West,11/19/2024,1/5/2025,"$27,000",,4,2025-09-05,,,,,,,4,4125
001Hr000028ZcRz,"Town Of Rindge, NH",New Hampshire,Municipality,Mihir Shah,6534,Nurture,Tier 3,0.75,42.7512,-72.0098,59402844-74b1-4c42-b875-6f0275e5eba4,Closed Lost,,,Quinzel Perry,4/21/2025,4/7/2025,,,5,2025-12-12,5,,,,,,,3855
001Hr000028ZcTM,"Town Of Rye, NH",New Hampshire,Municipality,Mihir Shah,5554,,Tier 3,0.75,42.9904,-70.7603,0d33279a-4911-4a05-bc46-6b55ad846735,,,,,,,,,1,2026-01-12,1,,,,,,,3602
001Hr000028ZcUe,"Town Of Alton, NH",New Hampshire,Municipality,Mihir Shah,5984,,Tier 3,0.75,43.4543,-71.219,29777836-0e69-4197-9d73-385e90b7076f,,,,,,,,,,,,,,,,,,3691
001Hr000028ZcV3,"Town Of Nottingham, NH",New Hampshire,Municipality,Mihir Shah,5308,,Tier 3,0.75,43.1145,-71.0998,d581f8eb-dfe6-4e6d-a83f-666830845a2f,,,,,,,,,2,2025-06-09,,,2,,,,,3510
