Account ID,Account Name,State,Entity Type,Owner,Population,Account Status,Tier,SQO Points,Lat,Lng,Starbridge Buyer ID,Opp Status,Stage,Funnel Position,Sourced By,Discovery Call Date,Created Date,ARR,Previously Lost,Total Calls,Last Call Date,Calls - Ryan Minter,Calls - Sydney Ireland,Calls - Quinzel Perry,Calls - Joe del Rosario,Calls - Alicia Gopal,Calls - Mihir Shah,Calls - Nick Martino,Calls - Ali Cohen,Calls - Jenny Allison,Calls - Leila Assil,Salesforce ID
001Hr000028ZbnQ,"Borough Of Franklin Lakes, NJ",New Jersey,Municipality,Nick Martino,10982,,Tier 2,1.0,41.0145,-74.199,b70f604b-4b75-4edd-a96b-bffc85f84bc4,,,,,,,,,5,2026-03-18,2,3,,,,,,,,,
001Hr000028Zbnc,"Borough Of Jamesburg, NJ",New Jersey,Municipality,Nick Martino,5731,,Tier 3,0.75,40.3536,-74.443,6e1bd428-eaf2-4109-95aa-30657924729d,,,,,,,,,1,2026-02-19,1,,,,,,,,,,
001Hr000028Zbnq,"Borough Of Berlin, NJ",New Jersey,Municipality,Sydney Ireland,7497,,Tier 3,0.75,39.7914,-74.9294,16948ba5-de03-455d-809a-4152c06d443d,,,,,,,,,2,2025-12-15,1,,1,,,,,,,,
001Hr000028ZboV,"Township Of Cedar Grove, NJ",New Jersey,Municipality,Nick Martino,13430,,Tier 2,1.0,40.8548,-74.23,50b7e9ce-d47f-4f85-8bb7-b5992cdf0be9,,,,,,,,,,,,,,,,,,,,,
001Hr000028Zbpg,"Town Of Dover, NJ",New Jersey,Municipality,Mihir Shah,18427,Recent Competitor Purchase,Tier 2,1.0,40.8879,-74.5561,a8febf97-8a10-4938-8678-7d8a27648628,Closed Lost,,,Alicia Gopal,2/4/2026,2/3/2026,,,5,2026-02-04,,,,,5,,,,,,
001Hr000028ZbqZ,"Borough Of Pitman, NJ",New Jersey,Municipality,Sydney Ireland,8814,,Tier 3,0.75,39.7332,-75.1316,0144ecfc-a01a-4d9c-b7d3-059c035edb87,,,,,,,,,11,2026-05-19,,9,2,,,,,,,,
001Hr000028ZbrZ,"Borough Of Paulsboro, NJ",New Jersey,Municipality,Sydney Ireland,6276,,Tier 3,0.75,39.8302,-75.2404,17590c2e-9acc-46d6-93db-7f8bc3e8d73b,,,,,,,,,1,2026-02-19,1,,,,,,,,,,
001Hr000028Zbtf,"Township Of Shamong, NJ",New Jersey,Municipality,Sydney Ireland,6442,,Tier 3,0.75,39.789,-74.7378,2fe875df-53a0-47a1-b442-f75e162858f9,,,,,,,,,3,2026-04-08,1,2,,,,,,,,,
001Hr000028ZbuD,"Township Of Montgomery, NJ",New Jersey,Municipality,Mihir Shah,23502,,Tier 2,1.0,40.4168,-74.6525,869fddbc-2dcd-4428-8f74-b0ad2fa631c8,,,,,,,,,,,,,,,,,,,,,
001Hr000028ZbwU,"Town Of Westfield, NJ",New Jersey,Municipality,Nick Martino,30754,,Tier 1,1.5,40.6499,-74.3502,1aee515d-770a-4c69-88bc-868d07fbd48d,,,,,,,,,,,,,,,,,,,,,
