Account ID,Account Name,State,Entity Type,Owner,Population,Account Status,Tier,SQO Points,Lat,Lng,Starbridge Buyer ID,Opp Status,Stage,Funnel Position,Sourced By,Discovery Call Date,Created Date,ARR,Previously Lost,Total Calls,Last Call Date,Calls - Alicia Gopal,Calls - Joe del Rosario,Calls - Quinzel Perry,Calls - Jenny Allison,Salesforce ID
001Hr000028Zbte,"City Of Aztec, NM",New Mexico,Municipality,Alicia Gopal,6163,Nurture,Tier 3,0.75,36.8222,-107.9928,27dc2ed7-6850-4ee3-9563-658fca0dee98,Closed Lost,,,Alicia Gopal,2/5/2026,1/29/2026,,,16,2026-02-03,6,10,,,
001Hr000028Zc22,"City Of Socorro, NM",New Mexico,Municipality,Alicia Gopal,8414,,Tier 3,0.75,34.0584,-106.8914,8927ab96-17f6-49cd-a21c-86f247c9c399,,,,,,,,,16,2026-02-09,7,9,,,
001Hr000028ZcGq,"City Of Portales, NM",New Mexico,Municipality,Alicia Gopal,12042,,Tier 2,1.0,34.1862,-103.3344,2992239a-3b70-4001-ba69-2cb185d1da02,,,,,,,,,14,2026-03-16,12,2,,,
001Hr000028ZcKq,"City Of Truth Or Consequences, NM",New Mexico,Municipality,Alicia Gopal,6062,Nurture,Tier 3,0.75,33.1284,-107.2528,5c5210d5-6bb1-46f0-8a05-00172e40cf8b,Closed Lost,,,Alicia Gopal,1/23/2026,1/21/2026,,,10,2026-01-21,10,,,,
001Hr000028ZcVY,"City Of Belen, NM",New Mexico,Municipality,Alicia Gopal,7556,Nurture,Tier 3,0.75,34.6628,-106.7762,793a901c-23a9-4e49-8ef0-7258231a0b47,Closed Lost,,,Alicia Gopal,2/3/2026,1/12/2026,,,12,2026-05-12,8,,,4,
001Hr000028ZcZt,"City Of Espanola, NM",New Mexico,Municipality,Alicia Gopal,10487,Nurture,Tier 2,1.0,35.991,-106.0818,50bc8b38-f30e-445a-b6a8-19b303f9ad3c,Closed Lost,,,Quinzel Perry,4/25/2025,4/17/2025,,,16,2026-01-27,7,,9,,
001Hr000028Zcb8,"City Of Raton, NM",New Mexico,Municipality,Alicia Gopal,6047,Nurture,Tier 3,0.75,36.9034,-104.4392,b6c7c914-369c-48f0-825a-f56bb843d3a2,Closed Lost,,,Alicia Gopal,1/13/2026,12/19/2025,,,,,,,,,
001Hr000028ZcdC,"Village Of Los Ranchos De Albuquerque, NM",New Mexico,Municipality,Alicia Gopal,5866,Open Opportunity,Tier 3,0.75,35.162,-106.6428,e90030ca-372a-4bb3-82cb-c6790992e0f7,Open,Initial Interest,Top of Funnel,Emily Murnane,,3/11/2026,,,5,2026-03-04,4,1,,,
001Hr000028Zch9,"Village Of Ruidoso, NM",New Mexico,Municipality,Alicia Gopal,7769,Open Opportunity,Tier 3,0.75,33.3339,-105.6813,dd81f74a-2a94-43e4-8836-19a34284f0df,Open,Initial Interest,Top of Funnel,Quinzel Perry,,5/2/2025,,,11,2026-04-09,2,,9,,
001Hr000028ZciD,"City Of Sunland Park, NM",New Mexico,Municipality,Alicia Gopal,17121,,Tier 2,1.0,31.7965,-106.58,d9f3ff47-86cb-4555-8b17-ac98adfc68d9,,,,,,,,,20,2025-12-18,10,10,,,
001Hr000028Zcij,"Town Of Taos, NM",New Mexico,Municipality,Alicia Gopal,6595,Nurture,Tier 3,0.75,36.4072,-105.5734,6069ce88-df08-4881-aa1d-7af7c830ab71,Closed Lost,,,Alicia Gopal,,1/27/2026,,,6,2026-01-28,6,,,,
001Hr000028ZcjI,"Town Of Edgewood, NM",New Mexico,Municipality,Alicia Gopal,6154,Recent Competitor Purchase,Tier 3,0.75,35.0614,-106.1914,d0f33230-5d78-49aa-aac1-99e428f1f3e4,Closed Lost,,,Granger West,9/18/2024,1/5/2025,,,24,2026-03-19,17,,1,6,
001Hr000028ZcmI,"City Of Anthony, NM",New Mexico,Municipality,Alicia Gopal,8666,Nurture,Tier 3,0.75,32.004,-106.6058,c819caa5-0508-4aaa-9816-dcd5a7e077de,Closed Lost,,,Alicia Gopal,11/14/2025,11/10/2025,,,6,2025-11-13,6,,,,
001Hr000028ZcoP,"Village Of Corrales, NM",New Mexico,Municipality,Alicia Gopal,8584,,Tier 3,0.75,35.2378,-106.6067,769745e2-475c-409d-b65b-699d8a1e14fe,,,,,,,,,2,2025-10-31,2,,,,
001Hr000028ZcoT,"City Of Bloomfield, NM",New Mexico,Municipality,Alicia Gopal,7371,Nurture,Tier 3,0.75,36.7111,-107.9845,583ee02f-552e-454f-b888-79f30cb7bbba,Closed Lost,,,Asher Rosenfeld,,1/5/2025,,,5,2026-02-11,5,,,,
001Hr000028Zcoe,"City Of Artesia, NM",New Mexico,Municipality,Alicia Gopal,12458,Open Opportunity,Tier 2,1.0,32.8423,-104.4033,8ffa84e4-f48a-46e5-a38b-d9b5fec267e0,Open,Initial Interest,Top of Funnel,Alicia Gopal,,2/10/2026,,,26,2026-02-10,25,1,,,
001Hr000028Zcp2,"Town Of Bernalillo, NM",New Mexico,Municipality,Alicia Gopal,9520,Nurture,Tier 3,0.75,35.3,-106.5511,69675267-c483-4bb0-a00a-4bd6f33c189c,Closed Lost,,,Alicia Gopal,1/30/2026,1/26/2026,,,5,2026-01-26,5,,,,
001Hr000028ZcqH,"Town Of Silver City, NM",New Mexico,Municipality,Alicia Gopal,9578,,Tier 3,0.75,32.7701,-108.2803,84fd3261-35bd-4f2f-a68d-efb453e16bdf,,,,,,,,,18,2026-01-20,8,10,,,
001Hr000028Zcuf,"City Of Grants, NM",New Mexico,Municipality,Alicia Gopal,9170,All Modules Live,Tier 3,0.75,35.1473,-107.8514,5aaa82c2-d7cb-4c09-b347-435d9d9d8c06,Closed Won,,,Liam Shaw,10/30/2024,1/5/2025,"$18,000",,,,,,,,
001Hr000028Zcws,"City Of Las Vegas, NM",New Mexico,Municipality,Alicia Gopal,13157,Open Opportunity,Tier 2,1.0,35.5942,-105.2228,8adc2b30-cb1b-4262-aec1-6b00a7a5e04a,Open,Initial Interest,Top of Funnel,Alicia Gopal,4/2/2026,1/27/2026,,,14,2026-05-22,14,,,,
001Hr000028Zcz6,"City Of Lovington, NM",New Mexico,Municipality,Alicia Gopal,11426,,Tier 2,1.0,32.944,-103.3486,1a6b99cf-7ff4-4a3a-82d6-075decf56b44,,,,,,,,,8,2026-02-05,4,4,,,
001Hr000028Zd2N,"Village Of Los Lunas, NM",New Mexico,Municipality,Alicia Gopal,17861,Recent Competitor Purchase,Tier 2,1.0,34.8075,-106.7358,4e0ad13e-8666-41c3-98fc-8808939bff2e,,,,,,,,,23,2026-03-23,7,16,,,
001Hr000028Zd5d,"City Of Deming, NM",New Mexico,Municipality,Alicia Gopal,14835,Nurture,Tier 2,1.0,32.2687,-107.7586,b118a563-f21d-4c31-8afe-65bf262c10e4,Closed Lost,,,Alicia Gopal,3/25/2026,2/2/2026,,,15,2026-02-25,15,,,,
001Hr000028ZdAU,"City Of Gallup, NM",New Mexico,Municipality,Alicia Gopal,21495,,Tier 2,1.0,35.5263,-108.742,89a207c5-d2a8-4d4f-b8a9-77f9689ddd9f,,,,,,,,,13,2026-02-05,4,9,,,
001Hr000028ZdAe,"City Of Alamogordo, NM",New Mexico,Municipality,Alicia Gopal,31652,Nurture,Tier 1,1.5,32.9008,-105.9602,662144b6-9848-4c5d-9cc1-a05dac074589,Closed Lost,,,Alicia Gopal,11/12/2025,11/6/2025,,,29,2025-11-13,20,9,,,
001Hr000028ZdB3,"City Of Carlsbad, NM",New Mexico,Municipality,Alicia Gopal,31888,Open Opportunity,Tier 1,1.5,32.4203,-104.229,4c4384e3-357a-414c-b3e2-cc8f5d87ee35,Open,Initial Interest,Top of Funnel,Alicia Gopal,11/26/2025,11/12/2025,,Yes,8,2025-11-26,8,,,,
001Hr000028ZdCV,"City Of Roswell, NM",New Mexico,Municipality,Alicia Gopal,48081,,Tier 1,1.5,33.3943,-104.5227,e9ca563e-b667-4e54-88de-36fb277cc3f0,,,,,,,,,8,2026-01-27,8,,,,
001Hr000028ZdE2,"City Of Clovis, NM",New Mexico,Municipality,Alicia Gopal,37988,Open Opportunity,Tier 1,1.5,34.4015,-103.2078,4bff3e1c-ac18-4103-8011-7baa8844a79f,Open,Initial Interest,Top of Funnel,Alicia Gopal,2/17/2026,1/28/2026,,Yes,16,2026-03-19,16,,,,
001Hr000028ZdE7,"City Of Hobbs, NM",New Mexico,Municipality,Alicia Gopal,39756,Nurture,Tier 1,1.5,32.7012,-103.1344,8865c2cb-1714-45a1-a425-e5f824ad40a4,Closed Lost,,,Alicia Gopal,2/24/2026,2/11/2026,,,10,2026-02-23,9,1,,,
001Hr000028ZdFA,"City Of Farmington, NM",New Mexico,Municipality,Alicia Gopal,46422,,Tier 1,1.5,36.7281,-108.2187,548a8e97-e39e-4d5c-8fbc-683321be4dc9,,,,,,,,,3,2026-04-09,3,,,,
001Hr000028ZdOE,"Sandoval County, NM",New Mexico,County,Alicia Gopal,157757,,Tier S,2.0,35.6021,-106.7235,0182e45b-32d1-4a2b-9217-149a33c74427,,,,,,,,,1,2026-02-09,1,,,,
