Account ID,Account Name,State,Entity Type,Owner,Population,Account Status,Tier,SQO Points,Lat,Lng,Starbridge Buyer ID,Opp Status,Stage,Funnel Position,Sourced By,Discovery Call Date,Created Date,ARR,Previously Lost,Total Calls,Last Call Date,Calls - Alicia Gopal,Calls - Ben Laddis,Calls - Quinzel Perry,Calls - Joe del Rosario,Calls - Ryan Minter,Calls - Jenny Allison,Calls - Sydney Ireland,Calls - Emily Murnane
001Hr000028ZbcS,"Town Of Red Hook, NY",New York,Municipality,Ben Laddis,9990,,Tier 3,0.75,41.9951,-73.8754,c3a53487-63ec-4db1-91aa-d8e81acbd75c,,,,,,,,,14,2026-03-12,,14,,,,,,
001Hr000028ZbnH,"Village Of Mineola, NY",New York,Municipality,Ben Laddis,21433,,Tier 2,1.0,40.7492,-73.6411,8c71e8ff-3c67-428a-9c2d-f01f92f4d3c3,,,,,,,,,6,2026-04-14,,5,1,,,,,
001Hr000028ZbnN,"Town Of Le Roy, NY",New York,Municipality,Ben Laddis,7573,,Tier 3,0.75,42.9784,-77.9842,7bd9a58c-293a-4cc7-9f80-e6d4d8a48115,,,,,,,,,,,,,,,,,,
001Hr000028Zbnb,"Village Of Rye Brook, NY",New York,Municipality,Mihir Shah,9907,Implementation,Tier 3,0.75,41.0188,-73.6814,9ebe52dc-1e60-4def-b119-b858abb513ff,Closed Won,,,Alicia Gopal,11/21/2025,10/26/2025,"$17,500",,9,2025-11-18,9,,,,,,,
001Hr000028Zbnf,"Town Of Brighton, NY",New York,Municipality,Alicia Gopal,36698,Nurture,Tier 1,1.5,43.1223,-77.5734,4eda5667-b6d9-431f-be66-e9b7cda5532e,Closed Lost,,,Alicia Gopal,3/25/2026,12/11/2025,,,6,2026-03-19,6,,,,,,,
001Hr000028Zbo8,"Town Of Canton, NY",New York,Municipality,Alicia Gopal,11461,Nurture,Tier 2,1.0,44.5971,-75.2055,0974b3f5-41e5-47fe-b27d-a1b0125e5c16,Closed Lost,,,Quinzel Perry,11/27/2024,1/5/2025,,,,,,,,,,,,
001Hr000028ZboA,"Town Of Crawford, NY",New York,Municipality,Alicia Gopal,9170,,Tier 3,0.75,41.6101,-74.302,2fa9fde8-6fe4-44e3-9b2b-de5a3a49a37d,,,,,,,,,,,,,,,,,,
001Hr000028ZboP,"Village Of Briarcliff Manor, NY",New York,Municipality,Alicia Gopal,7440,Nurture,Tier 3,0.75,41.1402,-73.8402,c99544e8-4d46-4fe3-805c-49a8d2be524d,Closed Lost,,,Asher Rosenfeld,,1/5/2025,,,,,,,,,,,,
001Hr000028ZboS,Allegany County,New York,County,Ben Laddis,46654,,Tier 1,1.5,42.313,-78.0195,6e404c93-1752-4df1-ad50-4346fa62f118,,,,,,,,,,,,,,,,,,
001Hr000028ZboT,"City Of Newburgh, NY",New York,Municipality,Alicia Gopal,28834,,Tier 1,1.5,41.5034,-74.0104,09c3e66e-c082-485b-8cf2-1bbe50d73e58,,,,,,,,,3,2026-03-20,,2,1,,,,,
001Hr000028ZboY,"Village Of Cedarhurst, NY",New York,Municipality,Mihir Shah,7334,,Tier 3,0.75,40.6229,-73.7243,432178c9-90ae-4aeb-a92d-76ae5a8bb6c5,,,,,,,,,1,2025-08-19,,,,1,,,,
001Hr000028ZbpI,"Town Of Rotterdam, NY",New York,Municipality,Ben Laddis,30557,Nurture,Tier 1,1.5,42.787,-73.971,8cf0b5b5-9e86-4cc0-ae28-f9171cf2d8d3,Closed Lost,,,Quinzel Perry,10/14/2025,9/29/2025,,,21,2026-05-19,,14,7,,,,,
001Hr000028Zbqt,Montgomery County,New York,County,Mihir Shah,49539,,Tier 1,1.5,42.9155,-74.4526,08c38639-48f2-45d9-973f-e5a91de67577,,,,,,,,,,,,,,,,,,
001Hr000028Zbrt,"Town Of Chili, NY",New York,Municipality,Ben Laddis,28971,,Tier 1,1.5,43.0766,-77.7681,7dc2aa4b-ee41-45f1-8ca3-c3d5e2a66ca0,,,,,,,,,41,2026-03-04,13,27,1,,,,,
001Hr000028Zbs5,"City Of Oneonta, NY",New York,Municipality,Mihir Shah,12508,,Tier 2,1.0,42.4529,-75.0638,37045785-82ea-4a94-a86d-fd658f93aabf,,,,,,,,,14,2026-05-14,,14,,,,,,
001Hr000028ZbsQ,"City Of Jamestown, NY",New York,Municipality,Mihir Shah,28393,,Tier 1,1.5,42.097,-79.2353,b1db4ee9-167b-4113-9db7-502cd69c5eb9,,,,,,,,,9,2026-01-22,9,,,,,,,
001Hr000028ZbsV,"Town Of Elbridge, NY",New York,Municipality,Alicia Gopal,5477,,Tier 3,0.75,43.0387,-76.4332,61d69759-01ca-4600-8828-c834fc08ed34,,,,,,,,,,,,,,,,,,
001Hr000028Zbsz,Greene County,New York,County,Ben Laddis,48026,,Tier 1,1.5,42.2957,-74.124,63aaca70-0e46-4384-a642-49a8449b32c6,,,,,,,,,,,,,,,,,,
