Account ID,Account Name,State,Entity Type,Owner,Population,Account Status,Tier,SQO Points,Lat,Lng,Starbridge Buyer ID,Opp Status,Stage,Funnel Position,Sourced By,Discovery Call Date,Created Date,ARR,Previously Lost,Total Calls,Last Call Date,Calls - Emily Murnane,Calls - Leila Assil,Calls - Mihir Shah,Calls - Joe del Rosario,Calls - Sydney Ireland,Calls - Ali Cohen,Calls - Ryan Minter,Calls - Jenny Allison,Calls - Quinzel Perry
001Hr000028Zbnz,"City Of Alliance, OH",Ohio,Municipality,Ali Cohen,21801,Nurture,Tier 2,1.0,40.9153,-81.1059,073b8f3a-f460-4f65-9376-fc1bf2f229dd,Closed Lost,,,Joe del Rosario,10/3/2024,1/5/2025,"$30,000",,4,2026-04-09,3,,,1,,,,,
001Hr000028Zbo1,"County of Richland, OH",Ohio,County,Mihir Shah,125064,Open Opportunity,Tier S,2.0,40.7567,-82.5186,83fdd52a-ed61-44af-8530-c4ca0aac4544,Open,Proposal,Mid Funnel,Leila Assil,7/21/2025,7/15/2025,"$78,000",,15,2025-07-15,,15,,,,,,,
001Hr000028Zbsr,"Township of Deerfield, OH",Ohio,Municipality,Mihir Shah,40173,Open Opportunity,Tier 1,1.5,39.3108,-84.2963,b4825701-8a6f-4e94-8cf2-7fe1ee694a3a,Closed Lost,,,Asher Rosenfeld,,1/5/2025,,,2,2025-07-16,,2,,,,,,,
001Hr000028ZbvV,"City Of Fairlawn, OH",Ohio,Municipality,Mihir Shah,7688,,Tier 3,0.75,41.1278,-81.6098,6242785d-19f8-44dc-826b-cfa34e2ab915,,,,,,,,,3,2026-05-18,1,1,1,,,,,,
001Hr000028ZbvW,"City Of Athens, OH",Ohio,Municipality,Ali Cohen,24311,,Tier 2,1.0,39.3292,-82.1013,7750995d-3a37-4916-832b-01799a12bcf0,,,,,,,,,12,2025-12-22,11,,,1,,,,,
001Hr000028Zc6i,"City Of Fairfield, OH",Ohio,Municipality,Mihir Shah,44562,,Tier 1,1.5,39.3455,-84.5603,50c1b960-6ea7-4c4e-a811-3fed89f17ccb,,,,,,,,,2,2025-12-17,1,,,1,,,,,
001Hr000028Zc7G,"Township Of Union, OH",Ohio,Municipality,Ali Cohen,8296,,Tier 3,0.75,40.4349,-82.2366,69ba9231-ca9e-499b-81d2-81bc55346c30,,,,,,,,,,,,,,,,,,,
001Hr000028Zc7z,"Township Of Copley, OH",Ohio,Municipality,Mihir Shah,18307,Nurture,Tier 2,1.0,41.0875,-81.6364,dddcc823-197b-4405-9f5d-e38cd061c93f,Closed Lost,,,Asher Rosenfeld,,1/5/2025,,,30,2026-05-19,27,,3,,,,,,
001Hr000028Zc9E,"Village Of Carlisle, OH",Ohio,Municipality,Ali Cohen,5569,Nurture,Tier 3,0.75,39.5821,-84.3198,e807dbfc-4d5b-41db-9aae-e4955247acb7,Closed Lost,,,Emily Murnane,1/21/2026,12/31/2025,,,5,2026-01-21,4,,,,,,,1,
001Hr000028Zc9T,"Delhi Township, OH",Ohio,Municipality,Mihir Shah,28841,,Tier 1,1.5,39.104,-84.6172,e0f75452-5d26-48d0-9443-92102129871c,,,,,,,,,1,2025-08-14,,,,1,,,,,
