Account ID,Account Name,State,Entity Type,Owner,Population,Account Status,Tier,SQO Points,Lat,Lng,Starbridge Buyer ID,Opp Status,Stage,Funnel Position,Sourced By,Discovery Call Date,Created Date,ARR,Previously Lost,Total Calls,Last Call Date,Calls - Ali Cohen,Calls - Leila Assil,Calls - Catherine Silvestri,Calls - Joe del Rosario,Calls - Sydney Ireland,Calls - Jenny Allison,Calls - Quinzel Perry,Calls - Ryan Minter,Calls - Hugh Bargeron,Calls - Nick Martino,Salesforce ID
001Hr000028ZbcP,"Township Of Lancaster, PA",Pennsylvania,Municipality,Ali Cohen,18496,,Tier 2,1.0,40.0303,-76.3348,736f23db-a17e-4b4a-b03b-a377e3ab59d9,,,,,,,,,2,2025-11-06,,,,,,2,,,,,
001Hr000028ZbcQ,"Borough Of Mount Joy, PA",Pennsylvania,Municipality,Hugh Bargeron,8323,,Tier 3,0.75,40.1099,-76.5034,3a3ffe9f-f714-4989-91c3-02688f7064de,,,,,,,,,5,2026-05-26,,,,,,,,,5,,
001Hr000028ZbcU,"Township Of Smithfield, PA",Pennsylvania,Municipality,Hugh Bargeron,8042,,Tier 3,0.75,41.0222,-75.1429,8ab2b2da-b91b-4b2b-8451-2a0201f08280,,,,,,,,,5,2026-05-22,,,,,,,,,5,,
001Hr000028ZbcV,"Wayne Township, PA",Pennsylvania,Municipality,Sydney Ireland,5199,,Tier 3,0.75,40.5961,-76.2479,7db1dfe7-8a41-4615-802b-b7c18ba0976a,,,,,,,,,,,,,,,,,,,,,
001Hr000028ZbdK,"Township Of Kingston, PA",Pennsylvania,Municipality,Ali Cohen,7096,,Tier 3,0.75,41.3176,-75.9115,b91b33e5-6bf6-468b-9266-b4499ad191fb,,,,,,,,,,,,,,,,,,,,,
001Hr000028ZbdL,"Township Of Upper Providence, PA",Pennsylvania,Municipality,Catherine Silvestri,10748,,Tier 2,1.0,40.1685,-75.4982,893f11c7-1c66-4051-890e-00b06503d0b8,,,,,,,,,3,2026-01-21,3,,,,,,,,,,
001Hr000028Zbms,"Township Of Wilkins, PA",Pennsylvania,Municipality,Catherine Silvestri,6259,,Tier 3,0.75,40.4195,-79.8288,429dda52-ed53-41db-ae5a-33966cfd006a,,,,,,,,,2,2026-01-22,,,,,,2,,,,,
001Hr000028Zbmy,"Borough of Olyphant, PA",Pennsylvania,Municipality,Ali Cohen,5395,,Tier 3,0.75,41.4684,-75.603,1cd27d75-b2d0-4b95-88df-f6f695d90c3f,,,,,,,,,,,,,,,,,,,,,
001Hr000028Zbn0,"Township Of Newtown, PA",Pennsylvania,Municipality,Sydney Ireland,19826,,Tier 2,1.0,39.9869,-75.4007,f5c896fc-51bc-41a4-8693-dc17292ad9fa,,,,,,,,,6,2026-05-19,,,,,6,,,,,,
001Hr000028Zbn7,"Borough Of Wilkinsburg, PA",Pennsylvania,Municipality,Hugh Bargeron,14140,,Tier 2,1.0,40.4417,-79.882,f85e2d51-a132-478a-8ad9-615d9cbf7634,,,,,,,,,8,2025-12-17,6,2,,,,,,,,,
