Account ID,Account Name,State,Entity Type,Owner,Population,Account Status,Tier,SQO Points,Lat,Lng,Starbridge Buyer ID,Opp Status,Stage,Funnel Position,Sourced By,Discovery Call Date,Created Date,ARR,Previously Lost,Total Calls,Last Call Date,Calls - Alicia Gopal,Calls - Lucy Nemerov,Calls - Jenny Allison,Calls - Quinzel Perry,Calls - Sydney Ireland,Calls - Leila Assil
001Hr000028ZbrT,"City Of Pawtucket, RI",Rhode Island,Municipality,Alicia Gopal,75387,Open Opportunity,Tier S,2.0,41.8787,-71.3826,f4569ec8-3323-428d-b034-f4b4329fc41c,Open,Initial Interest,Top of Funnel,Lucy Nemerov,,3/24/2026,,,4,2026-05-04,,4,,,,
001Hr000028Zcns,"Town Of Richmond, RI",Rhode Island,Municipality,Alicia Gopal,8165,,Tier 3,0.75,41.4945,-71.6708,9064fa61-e656-4a00-a995-360e8e47e434,,,,,,,,,1,2025-12-04,,,1,,,
001Hr000028ZctH,"City Of Cranston, RI",Rhode Island,Municipality,Alicia Gopal,82566,,Tier S,2.0,41.7798,-71.4373,e08762ae-4345-4a7c-9171-f7ec4a695bf0,,,,,,,,,12,2026-05-18,12,,,,,
001Hr000028Zd16,"Town Of Jamestown, RI",Rhode Island,Municipality,Alicia Gopal,5536,,Tier 3,0.75,41.4963,-71.3712,ba6b6837-f81d-415b-9f7f-4ef1452d8d75,,,,,,,,,1,2025-12-04,,,1,,,
001Hr000028Zd5v,"Town Of Hopkinton, RI",Rhode Island,Municipality,Alicia Gopal,8462,,Tier 3,0.75,41.4615,-71.778,ec55c686-2652-4e22-8055-26b197f8b305,,,,,,,,,,,,,,,,
001Hr000028Zd9m,"Town Of North Smithfield, RI",Rhode Island,Municipality,Alicia Gopal,12578,,Tier 2,1.0,42.0023,-71.5759,e345137c-7459-4d3d-a4bc-133c6327cbaa,,,,,,,,,1,2025-12-04,,,1,,,
001Hr000028ZdE0,"Town Of West Greenwich, RI",Rhode Island,Municipality,Alicia Gopal,6636,Nurture,Tier 3,0.75,41.6285,-71.6638,da7538f2-b7d1-43d9-a52b-9682bd176ddc,Closed Lost,,,Sydney Ireland,4/15/2026,4/8/2026,,,8,2026-04-15,6,,1,,1,
001Hr000028ZdEI,"Town Of Bristol, RI",Rhode Island,Municipality,Alicia Gopal,22226,,Tier 2,1.0,41.6696,-71.2754,01dc67db-9beb-486e-9042-94493c90bb11,,,,,,,,,1,2026-04-27,,1,,,,
001Hr000028ZdFS,"Town Of Cumberland, RI",Rhode Island,Municipality,Alicia Gopal,36434,Open Opportunity,Tier 1,1.5,41.9005,-71.3904,5f42e384-018f-4fa5-b374-705ca38464b4,Open,Proposal,Mid Funnel,Lucy Nemerov,3/23/2026,3/19/2026,"$15,000",,1,2025-12-04,,,1,,,
001Hr000028ZdG8,"Town Of Exeter, RI",Rhode Island,Municipality,Alicia Gopal,6617,,Tier 3,0.75,41.5798,-71.5786,31c567f6-0697-441b-b730-28b3c1522d38,,,,,,,,,,,,,,,,
001Hr000028ZdGV,"Town Of Glocester, RI",Rhode Island,Municipality,Alicia Gopal,10087,,Tier 2,1.0,41.9043,-71.6911,42623fab-e932-4c03-b806-ca86acaa96d0,,,,,,,,,1,2025-12-04,,,1,,,
001Hr000028ZdHX,"Town Of Scituate, RI",Rhode Island,Municipality,Alicia Gopal,10404,,Tier 2,1.0,41.833,-71.5912,c4c6abce-7403-47be-923a-5fdec5630514,,,,,,,,,1,2025-12-04,,,1,,,
001Hr000028ZdHd,"Town Of Portsmouth, RI",Rhode Island,Municipality,Alicia Gopal,17754,,Tier 2,1.0,41.5909,-71.2536,d36f350b-b828-4a19-a74b-70374c3b529f,,,,,,,,,1,2025-12-04,,,1,,,
001Hr000028ZdIz,"City Of East Providence, RI",Rhode Island,Municipality,Alicia Gopal,46929,,Tier 1,1.5,41.8137,-71.3701,55166d7a-9a6a-4166-8e7e-9ebfe03ae44b,,,,,,,,,7,2025-07-28,,,,7,,
001Hr000028ZdKC,"City Of Newport, RI",Rhode Island,Municipality,Alicia Gopal,25156,Nurture,Tier 1,1.5,41.4918,-71.3119,556cfd0f-4c71-4676-bafb-e21233e9c5d5,Closed Lost,,,Jenny Allison,11/21/2025,10/29/2025,,,7,2025-11-07,,,3,,,4
001Hr000028ZdMI,"Town Of North Providence, RI",Rhode Island,Municipality,Alicia Gopal,34003,,Tier 1,1.5,41.8536,-71.4677,5cf4152a-ebf3-436e-806e-5a31f99de276,,,,,,,,,3,2026-05-06,,3,,,,
001Hr000028ZdMW,"Town Of Charlestown, RI",Rhode Island,Municipality,Alicia Gopal,8072,Open Opportunity,Tier 3,0.75,41.3832,-71.6419,dd248dbc-fee9-4ec2-a215-51909b202ee5,Open,Initial Interest,Top of Funnel,Leila Assil,,5/5/2025,,,3,2026-02-20,2,,1,,,
001Hr000028ZdNa,"Town Of Westerly, RI",Rhode Island,Municipality,Alicia Gopal,23483,,Tier 2,1.0,41.3767,-71.8288,f15c5658-7101-4c70-a46f-45493c310084,,,,,,,,,2,2026-04-30,,2,,,,
001Hr000028ZdNl,"Town Of Smithfield, RI",Rhode Island,Municipality,Alicia Gopal,21838,,Tier 2,1.0,41.922,-71.5495,44acedaf-12b2-4ea2-913d-e564b52af42a,,,,,,,,,1,2025-12-11,,,1,,,
001Hr000028ZdPc,"Town Of South Kingstown, RI",Rhode Island,Municipality,Alicia Gopal,31851,,Tier 1,1.5,41.4409,-71.5023,1a0640c3-ad40-41ae-b3d7-9a617279180d,,,,,,,,,5,2026-05-11,5,,,,,
001Hr000028ZdRO,"City Of Warwick, RI",Rhode Island,Municipality,Alicia Gopal,83011,,Tier S,2.0,41.7001,-71.4162,ce9eb0b3-b3c2-4539-af95-a39f4a0bf902,,,,,,,,,1,2026-03-24,,1,,,,
001Hr000028ZdRz,"Town Of East Greenwich, RI",Rhode Island,Municipality,Alicia Gopal,14204,,Tier 2,1.0,41.6622,-71.4504,d0f50688-5c7f-41f5-b229-e356751c0e33,,,,,,,,,1,2025-12-04,,,1,,,
001Hr000028ZdVK,"Town Of Lincoln, RI",Rhode Island,Municipality,Alicia Gopal,22499,Nurture,Tier 2,1.0,41.9345,-71.4507,3302b243-10e5-4fb7-a185-b3551f979fac,Closed Lost,,,Lucy Nemerov,3/25/2026,3/19/2026,"$6,000",,1,2025-12-04,,,1,,,
001Hr000028ZdVY,"Town Of Narragansett, RI",Rhode Island,Municipality,Alicia Gopal,14615,,Tier 2,1.0,41.4501,-71.4495,6fd6fec8-f988-4072-a929-9bcfd651d0dd,,,,,,,,,2,2026-03-24,,2,,,,
001Hr000028ZdVZ,"Town Of Coventry, RI",Rhode Island,Municipality,Alicia Gopal,35676,Nurture,Tier 1,1.5,41.6886,-71.5642,d032f3f4-8ab6-4437-a849-1f5a725a2503,Closed Lost,,,Quinzel Perry,5/2/2025,2/7/2025,,,10,2026-05-18,10,,,,,
001Hr000028ZdVi,"Town Of North Kingstown, RI",Rhode Island,Municipality,Alicia Gopal,27911,Open Opportunity,Tier 1,1.5,41.5662,-71.4638,05c77cb3-a20b-4be0-ba38-f764dce65227,Open,Initial Interest,Top of Funnel,Alicia Gopal,,4/17/2026,,,6,2026-05-04,5,,1,,,
001Hr000028ZdW0,"Town Of Warren, RI",Rhode Island,Municipality,Alicia Gopal,11245,,Tier 2,1.0,41.7441,-71.2663,02c6ce75-605b-4a22-9e18-5c25aa0d03dc,,,,,,,,,,,,,,,,
001Hr000028ZdWu,"Town Of West Warwick, RI",Rhode Island,Municipality,Alicia Gopal,31188,Nurture,Tier 1,1.5,41.6964,-71.5223,7f90b7d5-ca90-4cde-9270-79358979a696,Closed Lost,,,Quinzel Perry,2/17/2025,2/4/2025,,,1,2026-04-27,,1,,,,
001Hr000028ZdYQ,"Town Of Burrillville, RI",Rhode Island,Municipality,Alicia Gopal,16216,Open Opportunity,Tier 2,1.0,41.9661,-71.6847,8607491d-fc00-4591-8c7b-b47f10daba87,Open,Meeting Booked,Top of Funnel,Sydney Ireland,4/2/2026,3/30/2026,,,5,2026-04-23,1,,,,4,
001Hr000028ZdYg,"City Of Central Falls, RI",Rhode Island,Municipality,Alicia Gopal,22464,Open Opportunity,Tier 2,1.0,41.8907,-71.3923,cb7a918d-0ce8-40cf-8e0d-3bb2aca147ff,Open,Meeting Booked,Top of Funnel,Lucy Nemerov,5/6/2026,4/29/2026,,,16,2026-05-06,,16,,,,
001Hr000028ZdYu,"Town Of Tiverton, RI",Rhode Island,Municipality,Alicia Gopal,16261,,Tier 2,1.0,41.6356,-71.2077,fca08eb7-15fb-42fe-8374-e669cb752e8d,,,,,,,,,,,,,,,,
001Hr000028ZdZ0,"Town Of Barrington, RI",Rhode Island,Municipality,Alicia Gopal,17347,,Tier 2,1.0,41.7435,-71.3241,6eb2eef3-86c7-46dc-bd85-f0cce704c66a,,,,,,,,,2,2025-12-11,,,2,,,
001Hr000028ZdZJ,"Town Of Middletown, RI",Rhode Island,Municipality,Alicia Gopal,16959,,Tier 2,1.0,41.5218,-71.2835,48f21016-ac39-45a1-a429-a91282ae9f2d,,,,,,,,,1,2025-12-11,,,1,,,
001Hr000028Zdbu,"City Of Woonsocket, RI",Rhode Island,Municipality,Alicia Gopal,43118,Nurture,Tier 1,1.5,42.0029,-71.5148,b5fd9f4a-48fc-4a0a-a168-44d0b933d9b1,Closed Lost,,,Lucy Nemerov,3/26/2026,3/24/2026,,,5,2026-04-01,,5,,,,
001cv00000AuYSN,"Town Of Little Compton, RI",Rhode Island,Municipality,Alicia Gopal,3598,Open Opportunity,Tier 3,0.75,41.5101,-71.1712,e2c1d0d7-75b9-46a7-b844-9a40f1dbeb09,Open,Initial Interest,Top of Funnel,Alicia Gopal,,4/17/2026,,,5,2026-04-28,5,,,,,
