Account ID,Account Name,State,Entity Type,Owner,Population,Account Status,Tier,SQO Points,Lat,Lng,Starbridge Buyer ID,Opp Status,Stage,Funnel Position,Sourced By,Discovery Call Date,Created Date,ARR,Previously Lost,Total Calls,Last Call Date,Calls - Hugh Bargeron,Calls - Joe del Rosario,Calls - Alicia Gopal,Calls - Ryan Minter,Calls - Nick Martino,Calls - Catherine Silvestri,Calls - Jenny Allison,Outreach ID
001Hr000028ZbWl,"City Of Cayce, SC",South Carolina,Municipality,Hugh Bargeron,13739,Open Opportunity,Tier 2,1.0,33.9657,-81.074,58146631-aa85-421d-bf04-e7ab1d931236,Open,Proposal,Mid Funnel,Joe del Rosario,7/16/2025,7/15/2025,"$35,000",,1,2025-07-15,,1,,,,,,2138
001Hr000028Zbnp,"City Of Fountain Inn, SC",South Carolina,Municipality,Hugh Bargeron,10995,,Tier 2,1.0,34.689,-82.1957,1d7125dd-acf0-490a-95ec-989c177d915a,,,,,,,,,30,2026-04-08,18,12,,,,,,2328
001Hr000028Zbqv,"City Of Forest Acres, SC",South Carolina,Municipality,Hugh Bargeron,10560,All Modules Live,Tier 2,1.0,34.0193,-80.9898,4244d369-9453-4c4d-9496-c7a48ad520a8,Closed Won,,,Joe del Rosario,8/8/2025,7/25/2025,"$10,000",,8,2025-08-04,,8,,,,,,2144
001Hr000028Zbrm,"City Of Chester, SC",South Carolina,Municipality,Hugh Bargeron,5245,Open Opportunity,Tier 3,0.75,34.7049,-81.2143,30860bdd-0f07-466d-ba2a-c316769d8acd,Open,Meeting Booked,Top of Funnel,Hugh Bargeron,5/22/2026,5/12/2026,,,12,2026-05-12,12,,,,,,,2139
001Hr000028Zbs1,"City Of Beaufort, SC",South Carolina,Municipality,Hugh Bargeron,12960,Open Opportunity,Tier 2,1.0,32.4316,-80.6698,b9cafb23-1fc0-441a-a7d6-6dcfc5cf50ec,Open,Initial Interest,Top of Funnel,,,1/5/2025,,,23,2026-04-30,12,11,,,,,,2248
001Hr000028ZbzM,"City Of York, SC",South Carolina,Municipality,Hugh Bargeron,8615,Open Opportunity,Tier 3,0.75,34.9943,-81.242,a8874e36-695d-4714-9578-e4a9a53bc3ec,Open,Initial Interest,Top of Funnel,Hugh Bargeron,,4/28/2026,,,2,2026-05-06,2,,,,,,,2141
001Hr000028Zbzg,"City Of Hardeeville, SC",South Carolina,Municipality,Hugh Bargeron,8835,Nurture,Tier 3,0.75,32.2871,-81.0807,101f4a7f-3e83-4497-9000-36c1be6fc3ac,Closed Lost,,,Asher Rosenfeld,,1/5/2025,,,13,2026-04-29,13,,,,,,,2258
001Hr000028Zc0W,"City Of Marion, SC",South Carolina,Municipality,Hugh Bargeron,6314,,Tier 3,0.75,34.1782,-79.4006,15842748-33d6-4a5c-a854-bcaca6d81972,,,,,,,,,1,2025-05-21,,1,,,,,,2245
001Hr000028Zc1R,"City Of Travelers Rest, SC",South Carolina,Municipality,Hugh Bargeron,7771,Nurture,Tier 3,0.75,34.9565,-82.441,2233cb1e-3d61-4e92-be75-08f617b2fbfa,Closed Lost,,,Hugh Bargeron,4/9/2026,3/31/2026,,,14,2026-04-21,11,3,,,,,,2325
001Hr000028Zc2N,"Town Of Clover, SC",South Carolina,Municipality,Hugh Bargeron,6949,Open Opportunity,Tier 3,0.75,35.1112,-81.2265,fbcfd281-b858-48de-a938-1c9603bdc703,Open,Initial Interest,Top of Funnel,Asher Rosenfeld,,1/5/2025,,,17,2026-04-02,8,9,,,,,,2129
