Account ID,Account Name,State,Entity Type,Owner,Population,Account Status,Tier,SQO Points,Lat,Lng,Starbridge Buyer ID,Opp Status,Stage,Funnel Position,Sourced By,Discovery Call Date,Created Date,ARR,Previously Lost,Total Calls,Last Call Date,Calls - Ben Laddis,Calls - Blake Anderson,Calls - Joe del Rosario,Calls - Jenny Allison,Calls - Sydney Ireland,Salesforce ID
001Hr000028Zcb2,"Pennington County, SD",South Dakota,County,Blake Anderson,115979,,Tier S,2.0,43.8901,-102.2548,e35e348a-42b3-4bca-bb10-dfd73b38bd75,,,,,,,,,16,2026-05-26,8,8,,,,
001Hr000028Zcg8,"City Of Spearfish, SD",South Dakota,Municipality,Blake Anderson,12358,Open Opportunity,Tier 2,1.0,44.4908,-103.8594,8dc94e01-4133-4f27-a9bf-8bdc7ecb74ab,Open,Initial Interest,Top of Funnel,Ben Laddis,,3/4/2026,,,26,2026-04-24,22,,4,,,
001Hr000028Zcoz,"City Of Harrisburg, SD",South Dakota,Municipality,Blake Anderson,7638,Open Opportunity,Tier 3,0.75,43.4314,-96.6973,62eab564-fa4a-4d0d-ad35-9e5634e688d4,Open,Sales Qualified,Mid Funnel,Ben Laddis,4/15/2026,4/7/2026,,,5,2026-04-07,5,,,,,
001Hr000028Zcw6,"City Of Huron, SD",South Dakota,Municipality,Blake Anderson,14231,Open Opportunity,Tier 2,1.0,44.3633,-98.2143,64f920aa-0990-4396-8f1e-a3227bd88d9d,Open,Meeting Booked,Top of Funnel,Ben Laddis,10/21/2026,1/5/2025,,,6,2026-04-15,5,,1,,,
001Hr000028ZcyB,"City Of Box Elder, SD",South Dakota,Municipality,Blake Anderson,12310,Open Opportunity,Tier 2,1.0,44.1125,-103.0682,e8a28e58-ef1e-446c-9462-3d78a733e6dd,Open,Initial Interest,Top of Funnel,Asher Rosenfeld,,1/5/2025,,,5,2026-04-24,5,,,,,
001Hr000028ZdHn,"City Of Aberdeen, SD",South Dakota,Municipality,Blake Anderson,28324,Nurture,Tier 1,1.5,45.4647,-98.4865,f2051cca-d2c5-4288-8bee-522951499af3,Open,Proposal,Mid Funnel,Sydney Ireland,2/24/2026,2/23/2026,"$33,000",Yes,10,2026-05-05,,,3,,7,
001Hr000028ZdIo,"City Of Brandon, SD",South Dakota,Municipality,Blake Anderson,10950,Open Opportunity,Tier 2,1.0,43.5947,-96.572,db399046-eb32-44c5-9455-b369fe1ebb9a,Open,Proposal,Mid Funnel,Ben Laddis,3/31/2026,3/27/2026,"$25,000",Yes,4,2026-03-31,4,,,,,
001Hr000028ZdNA,"City Of Madison, SD",South Dakota,Municipality,Blake Anderson,6071,Nurture,Tier 3,0.75,44.0061,-97.114,12d695b6-3e4d-4901-a01c-6bda2cf342a2,Closed Lost,,,Liam Shaw,12/12/2024,1/5/2025,,,10,2026-04-10,5,,5,,,
001Hr000028ZdOB,"City Of Belle Fourche, SD",South Dakota,Municipality,Blake Anderson,5699,,Tier 3,0.75,44.6714,-103.8521,f57e8e40-ceef-4ebb-9f2a-2fb3e6c319ac,,,,,,,,,20,2026-04-16,20,,,,,
001Hr000028ZdOG,"City Of Tea, SD",South Dakota,Municipality,Blake Anderson,6256,Implementation,Tier 3,0.75,43.4464,-96.8359,4bbb62a3-d90d-44cd-95aa-48a1aaa6b726,Closed Won,,,Ben Laddis,3/20/2026,3/13/2026,"$22,000",,11,2026-05-11,3,,,8,,
