Account ID,Account Name,State,Entity Type,Owner,Population,Account Status,Tier,SQO Points,Lat,Lng,Starbridge Buyer ID,Opp Status,Stage,Funnel Position,Sourced By,Discovery Call Date,Created Date,ARR,Previously Lost,Total Calls,Last Call Date,Calls - Sydney Ireland,Calls - Jenny Allison,Calls - Leila Assil,Calls - Ryan Minter,Calls - Alicia Gopal,Calls - Joe del Rosario,Calls - Nick Martino
001Hr000028Zbny,"City Of Lakeland, TN",Tennessee,Municipality,Sydney Ireland,13805,,Tier 2,1.0,35.2306,-89.7404,1aa8d4de-61e4-4ab1-93e8-a269a364b910,,,,,,,,,3,2026-05-08,3,,,,,,
001Hr000028Zc2a,"City Of Martin, TN",Tennessee,Municipality,Sydney Ireland,10515,,Tier 2,1.0,36.3434,-88.8503,2811c992-b885-4381-b332-af354d5e381d,,,,,,,,,9,2026-05-08,9,,,,,,
001Hr000028ZcTs,"City Of Munford, TN",Tennessee,Municipality,Sydney Ireland,6385,,Tier 3,0.75,35.4469,-89.8071,5638a496-b2d3-46ef-b406-f98939ad4fae,,,,,,,,,2,2026-02-13,2,,,,,,
001Hr000028ZcVT,"City Of Lafayette, TN",Tennessee,Municipality,Sydney Ireland,5612,,Tier 3,0.75,36.5212,-86.0264,b40be577-9ce0-4115-99e2-174828daa435,,,,,,,,,8,2025-07-11,,,,,,8,
001Hr000028ZcYH,"City Of Mt Juliet City, TN",Tennessee,Municipality,Sydney Ireland,40766,Open Opportunity,Tier 1,1.5,36.2001,-86.5186,e6f82043-2a55-4b6f-bda8-0c5c5fee15b5,Open,Meeting Booked,Top of Funnel,Sydney Ireland,4/20/2026,4/20/2026,,,50,2026-04-23,22,28,,,,,
001Hr000028Zcd9,"City Of La Vergne, TN",Tennessee,Municipality,Sydney Ireland,39091,Open Opportunity,Tier 1,1.5,36.0156,-86.5819,0db1db20-21ea-4f91-8281-225efdbdc108,Open,Meeting Booked,Top of Funnel,Sydney Ireland,5/6/2026,11/19/2025,,,13,2026-05-06,9,4,,,,,
001Hr000028Zcg7,"City Of Union City, TN",Tennessee,Municipality,Sydney Ireland,11107,All Modules Live,Tier 2,1.0,36.4242,-89.057,adcc62fb-bb74-487e-b3d1-fca22c281e1f,Closed Won,,,Leila Assil,,2/14/2025,"$14,000",,,,,,,,,,
001Hr000028Zchu,"City Of Henderson, TN",Tennessee,Municipality,Sydney Ireland,6309,,Tier 3,0.75,35.4392,-88.6414,ca755306-578d-4a55-a978-1101e53943b8,,,,,,,,,1,2026-02-24,1,,,,,,
001Hr000028Zcps,"City Of Bartlett, TN",Tennessee,Municipality,Sydney Ireland,57318,Open Opportunity,Tier S,2.0,35.2045,-89.874,acaf259c-d764-46bc-b419-031014680ada,Open,Initial Interest,Top of Funnel,Sydney Ireland,2/9/2026,2/2/2026,,,28,2026-05-11,15,8,5,,,,
001Hr000028Zct0,"City Of Kingston, TN",Tennessee,Municipality,Sydney Ireland,6023,Open Opportunity,Tier 3,0.75,35.8809,-84.5085,2c54fab0-b600-4643-9b1b-91362009ddce,Open,Meeting Booked,Top of Funnel,Sydney Ireland,5/7/2026,5/6/2026,,,13,2026-05-15,4,,9,,,,
