Account ID,Account Name,State,Entity Type,Owner,Population,Account Status,Tier,SQO Points,Lat,Lng,Starbridge Buyer ID,Opp Status,Stage,Funnel Position,Sourced By,Discovery Call Date,Created Date,ARR,Previously Lost,Total Calls,Last Call Date,Calls - Emily Murnane,Calls - Lucy Nemerov,Calls - Ryan Minter,Calls - Leila Assil,Calls - Alicia Gopal,Calls - Blake Anderson,Calls - Joe del Rosario,Calls - Quinzel Perry,Calls - Jenny Allison,Calls - Catherine Silvestri,Calls - Shane Lieberman,Salesforce ID
001Hr000028ZbWm,"City Of Mission, TX",Texas,Municipality,Blake Anderson,86223,Open Opportunity,Tier S,2.0,26.2159,-98.3253,44c4a941-e693-421b-a2da-c10e128c88c4,Open,Meeting Booked,Top of Funnel,Blake Anderson,5/22/2026,5/15/2026,,,8,2026-05-22,,,3,,,5,,,,,,
001Hr000028ZbWn,"Town Of Sunnyvale, TX",Texas,Municipality,Emily Murnane,8062,Open Opportunity,Tier 3,0.75,32.7965,-96.5608,a8c4008d-c8b5-443a-ba17-e7d809fe280d,Open,Meeting Booked,Top of Funnel,Emily Murnane,9/15/2025,9/4/2025,,,21,2026-02-17,21,,,,,,,,,,,
001Hr000028ZbdX,City of Grand Prairie,Texas,Municipality,Blake Anderson,195992,,Tier S,2.0,32.746,-96.9978,f1b670bc-06b4-4607-ac02-5439427ca502,,,,,,,,,1,2026-03-09,,,1,,,,,,,,,
001Hr000028ZbmC,"Town Of Prosper, TX",Texas,Municipality,Blake Anderson,34136,,Tier 1,1.5,33.248,-96.7851,04495b74-d5b7-4696-b6f9-20b1afda2964,,,,,,,,,10,2025-12-12,1,,,9,,,,,,,,
001Hr000028ZbmF,"City Of Nacogdoches, TX",Texas,Municipality,Blake Anderson,32118,,Tier 1,1.5,31.6039,-94.656,5ce103d4-5452-428b-a6d3-aac1334f0919,,,,,,,,,8,2026-05-07,7,,,,,1,,,,,,
001Hr000028Zbmq,"City Of Burleson, TX",Texas,Municipality,Blake Anderson,51618,,Tier S,2.0,32.5424,-97.3231,9ce27d56-69ed-41a6-9d5f-ab54a28f922c,,,,,,,,,5,2026-04-17,1,,1,3,,,,,,,,
001Hr000028Zbmx,"City Of Seabrook, TX",Texas,Municipality,Emily Murnane,13560,1+ Module Live,Tier 2,1.0,29.5641,-95.0255,9eff36d4-1b0b-4ba8-a833-9dadb6f9a442,Closed Won,,,Leila Assil,4/1/2025,3/28/2025,"$24,000",,,,,,,,,,,,,,,
001Hr000028Zbn1,"City Of Jersey Village, TX",Texas,Municipality,Blake Anderson,7731,Recent Competitor Purchase,Tier 3,0.75,29.8877,-95.563,a77e79d6-dd13-4517-a9bf-10aece14675d,Closed Lost,,,Quinzel Perry,2/25/2025,2/13/2025,,,,,,,,,,,,,,,,
001Hr000028Zbn9,"City Of Huntsville, TX",Texas,Municipality,Emily Murnane,46288,Open Opportunity,Tier 1,1.5,30.7235,-95.5508,4ec3cb25-dea4-47e3-b820-8f53b2fa955c,Open,Demo,Mid Funnel,Emily Murnane,3/16/2026,2/10/2026,,,29,2026-03-11,29,,,,,,,,,,,
001Hr000028ZbnA,"City of Sugar Land, TX",Texas,Municipality,Blake Anderson,110272,Nurture,Tier S,2.0,29.5984,-95.6226,1,Closed Lost,,,Granger West,2/19/2025,2/19/2025,,,9,2026-04-24,9,,,,,,,,,,,
