Account ID,Account Name,State,Entity Type,Owner,Population,Account Status,Tier,SQO Points,Lat,Lng,Starbridge Buyer ID,Opp Status,Stage,Funnel Position,Sourced By,Discovery Call Date,Created Date,ARR,Previously Lost,Total Calls,Last Call Date,Calls - Catherine Silvestri,Calls - Jenny Allison,Calls - Quinzel Perry,Calls - Alicia Gopal,Calls - Shane Lieberman,Calls - Ryan Minter,Salesforce ID
001Hr000028ZbcR,"City Of Woods Cross, UT",Utah,Municipality,Catherine Silvestri,11659,,Tier 2,1.0,40.8716,-111.8922,be8052dc-1732-42bf-a056-ceb15fddd360,,,,,,,,,3,2026-02-23,3,,,,,,
001Hr000028Zbmt,"City Of Roosevelt, UT",Utah,Municipality,Catherine Silvestri,6881,,Tier 3,0.75,40.2994,-109.9888,d454ca4e-0f79-4e49-8dc9-18ea8d6a4c0b,,,,,,,,,8,2026-05-11,8,,,,,,
001Hr000028Zbn8,"City Of Hurricane, UT",Utah,Municipality,Catherine Silvestri,21808,,Tier 2,1.0,37.1753,-113.2899,146f797a-8938-4129-88fe-e2897967a7b1,,,,,,,,,26,2026-04-24,15,10,1,,,,
001Hr000028Zbne,"City Of Hyrum, UT",Utah,Municipality,Catherine Silvestri,10036,,Tier 2,1.0,41.6341,-111.8522,ba04bf42-b20a-461d-a4c3-0646f7b04387,,,,,,,,,7,2025-09-29,,,7,,,,
001Hr000028Zbnt,"City Of Washington, UT",Utah,Municipality,Catherine Silvestri,31035,,Tier 1,1.5,37.1305,-113.5083,5e311753-9b05-4040-b451-80c7e8c67582,,,,,,,,,2,2026-02-19,2,,,,,,
001Hr000028Zbon,"County Of Juab, UT",Utah,County,Catherine Silvestri,12155,,Tier 2,1.0,39.7108,-112.7152,68f3e548-0447-45ce-a049-4c74ecde9a42,,,,,,,,,3,2026-02-25,2,1,,,,,
001Hr000028Zbot,"City Of Midway, UT",Utah,Municipality,Catherine Silvestri,6339,,Tier 3,0.75,40.5122,-111.4724,0457a503-197d-476a-acbd-d718408fb4fc,,,,,,,,,1,2025-12-15,,1,,,,,
001Hr000028ZbqJ,"City Of North Ogden, UT",Utah,Municipality,Catherine Silvestri,21528,,Tier 2,1.0,41.3072,-111.9602,2e64bc9a-c1f4-4281-aa6b-a7803161171e,,,,,,,,,7,2026-02-23,1,,6,,,,
001Hr000028ZbqK,"City Of Cottonwood Heights, UT",Utah,Municipality,Catherine Silvestri,32864,Open Opportunity,Tier 1,1.5,40.6183,-111.8163,2562732e-486f-49c4-8e83-cdcbf53db97d,Open,Initial Interest,Top of Funnel,Catherine Silvestri,,3/26/2026,,,18,2026-03-26,14,4,,,,,
001Hr000028Zbqi,"County of Wasatch, UT",Utah,County,Catherine Silvestri,37858,,Tier 1,1.5,40.3629,-110.9984,700e58d9-6f06-4fe2-ae2a-9d6c09f65eef,,,,,,,,,5,2026-02-18,1,4,,,,,
001Hr000028Zbqp,"County Of Uintah, UT",Utah,County,Catherine Silvestri,36204,,Tier 1,1.5,41.1441,-111.9233,faaaa97a-0444-4c1a-bb1f-d9fb3caf9ece,Closed Lost,,,Asher Rosenfeld,,1/5/2025,,,1,2025-11-21,,1,,,,,
001Hr000028Zbqs,"County of Millard, UT",Utah,County,Catherine Silvestri,13164,Nurture,Tier 2,1.0,39.0612,-113.1918,74a3aa4b-5642-44ae-936f-311d258838cc,Closed Lost,,,Quinzel Perry,8/7/2025,8/4/2025,,,9,2026-01-30,2,1,6,,,,
001Hr000028Zbqu,"City Of Herriman, UT",Utah,Municipality,Catherine Silvestri,58198,,Tier S,2.0,40.5141,-112.033,c3683781-f231-41c6-b51f-5974909ade20,,,,,,,,,3,2026-02-23,2,,1,,,,
001Hr000028Zbr9,"City Of Heber, UT",Utah,Municipality,Catherine Silvestri,17290,,Tier 2,1.0,40.4928,-111.4133,306a9ffd-f1fc-430a-94d6-6863da58c8e2,,,,,,,,,4,2025-12-01,,4,,,,,
001Hr000028ZbrO,Emery County,Utah,County,Catherine Silvestri,9839,,Tier 3,0.75,39.0738,-110.7122,ce43bc9c-bc9f-46b1-9bb4-bce463d3f00c,,,,,,,,,2,2026-02-23,2,,,,,,
001Hr000028ZbsB,"City Of Bountiful, UT",Utah,Municipality,Catherine Silvestri,45438,,Tier 1,1.5,40.8894,-111.8808,f19c7b9d-6331-451b-96df-37e5045a77c5,,,,,,,,,9,2026-02-23,2,5,,,2,,
