Account ID,Account Name,State,Entity Type,Owner,Population,Account Status,Tier,SQO Points,Lat,Lng,Starbridge Buyer ID,Opp Status,Stage,Funnel Position,Sourced By,Discovery Call Date,Created Date,ARR,Previously Lost,Total Calls,Last Call Date,Calls - Ali Cohen,Calls - Quinzel Perry,Calls - Jenny Allison,Calls - Alicia Gopal,Salesforce ID
001Hr000028Zbnl,"Town Of Dumfries, VA",Virginia,Municipality,Ali Cohen,5687,,Tier 3,0.75,38.5676,-77.328,f90007c9-ab51-45e0-88a7-2a951b7b74f6,,,,,,,,,5,2026-04-27,5,,,,
001Hr000028Zbp1,"City Of Lexington, VA",Virginia,Municipality,Ali Cohen,7456,,Tier 3,0.75,37.784,-79.4428,d6cdaca5-a42b-4416-bbc7-9606ebe2a211,,,,,,,,,,,,,,,
001Hr000028ZbpY,"City Of Buena Vista, VA",Virginia,Municipality,Ali Cohen,6601,Open Opportunity,Tier 3,0.75,37.7343,-79.3539,fb1f963f-40a6-4103-a1bf-298ee7dc0345,Open,Proposal,Mid Funnel,Ali Cohen,3/16/2026,3/12/2026,"$20,000",,3,2026-03-12,2,1,,,
001Hr000028Zbps,"Arlington County, VA",Virginia,County,Ali Cohen,239807,,Tier S,2.0,38.8816,-77.091,11469001-c72f-4194-a702-8afc5fb3f1a0,,,,,,,,,6,2025-11-03,,6,,,
001Hr000028Zbsh,"Town Of Purcellville, VA",Virginia,Municipality,Ali Cohen,9040,Open Opportunity,Tier 3,0.75,39.1367,-77.7145,9dd0b17a-0724-41bd-b97f-029447ef8550,Open,Initial Interest,Top of Funnel,Shane Lieberman,7/23/2024,1/5/2025,,,9,2026-02-20,9,,,,
001Hr000028Zbt0,"City Of Charlottesville, VA",Virginia,Municipality,Ali Cohen,45672,Open Opportunity,Tier 1,1.5,38.0302,-78.4769,69c902d9-543b-4ccf-b814-c95902c86006,Open,Demo,Mid Funnel,Ali Cohen,5/8/2026,2/12/2026,,,49,2026-05-07,49,,,,
001Hr000028Zbt6,"City Of Fredericksburg, VA",Virginia,Municipality,Ali Cohen,28367,Open Opportunity,Tier 1,1.5,38.3004,-77.4588,a5f1f866-16d9-4675-825d-3d993358cdf8,Open,Initial Interest,Top of Funnel,Ali Cohen,3/4/2026,2/11/2026,,,14,2026-04-20,14,,,,
001Hr000028Zc2P,"City Of Staunton, VA",Virginia,Municipality,Ali Cohen,25661,,Tier 1,1.5,38.1494,-79.0737,a8710357-8416-4ce8-9001-c521567c82a1,,,,,,,,,5,2026-04-21,3,2,,,
001Hr000028Zc3L,"Town Of Vienna, VA",Virginia,Municipality,Ali Cohen,16329,,Tier 2,1.0,38.9012,-77.2653,59354b2d-6de2-4bc1-bd01-1d34dc8307c7,,,,,,,,,5,2026-02-24,5,,,,
001Hr000028Zc4i,"Town Of Wytheville, VA",Virginia,Municipality,Ali Cohen,8241,Open Opportunity,Tier 3,0.75,36.9485,-81.0848,8e52e407-a7db-4d2a-80c3-bc4fc09147f9,Open,Initial Interest,Top of Funnel,Ali Cohen,,3/26/2026,,,,,,,,,
