Account ID,Account Name,State,Entity Type,Owner,Population,Account Status,Tier,SQO Points,Lat,Lng,Starbridge Buyer ID,Opp Status,Stage,Funnel Position,Sourced By,Discovery Call Date,Created Date,ARR,Previously Lost,Total Calls,Last Call Date,Calls - Quinzel Perry,Calls - Alicia Gopal,Calls - Jenny Allison,Calls - Nick Martino,Outreach ID
001Hr000028Zc0y,"City Of Burlington, VT",Vermont,Municipality,Alicia Gopal,44781,,Tier 1,1.5,44.4759,-73.2121,002a0ccd-0400-4841-8a77-7bc440669ff9,,,,,,,,,2,2025-07-22,2,,,,7210
001Hr000028ZcTw,"Town Of Milton, VT",Vermont,Municipality,Alicia Gopal,10685,Open Opportunity,Tier 2,1.0,44.6303,-73.1158,e3042fc6-0fd4-420d-9c54-75eafeb0942f,Open,Meeting Booked,Top of Funnel,Jenny Allison,11/25/2025,11/19/2025,,,4,2026-05-19,,1,3,,6679
001Hr000028Zcdr,"Town Of Stowe, VT",Vermont,Municipality,Alicia Gopal,5288,,Tier 3,0.75,44.4654,-72.6874,9178d971-77f4-413e-9c05-5a91efbbae9a,,,,,,,,,3,2026-02-02,,,3,,6186
001Hr000028Zcnv,"Town of St. Albans, VT",Vermont,Municipality,Alicia Gopal,6819,,Tier 3,0.75,44.8164,-73.1363,b4a4645f-7152-4ae6-928f-718502399903,,,,,,,,,,,,,,,6413
001Hr000028ZcxW,"Town Of Springfield, VT",Vermont,Municipality,Alicia Gopal,9117,,Tier 3,0.75,43.2987,-72.482,732860e4-6458-497e-a1dd-048290d08db2,,,,,,,,,,,,,,,6591
001Hr000028Zd15,"Town Of Morristown, VT",Vermont,Municipality,Alicia Gopal,5522,,Tier 3,0.75,44.5573,-72.6237,4611beb5-0c23-4202-ae4c-eae41f725030,,,,,,,,,5,2025-11-06,,,5,,6235
001Hr000028Zd1p,"City Of Essex Junction, VT",Vermont,Municipality,Alicia Gopal,10748,Open Opportunity,Tier 2,1.0,44.4905,-73.1112,9611602c-39eb-405e-96d3-ec832270e2d5,Open,Initial Interest,Top of Funnel,Alicia Gopal,,5/1/2026,,,4,2026-05-01,2,1,1,,6667
001Hr000028Zd9P,"City Of Winooski, VT",Vermont,Municipality,Alicia Gopal,8330,,Tier 3,0.75,44.4914,-73.1857,1359934a-a61d-4296-980d-b29e288a9e6d,,,,,,,,,8,2026-05-18,,5,3,,6507
001Hr000028ZdCJ,"Town Of Essex, VT",Vermont,Municipality,Alicia Gopal,22251,Open Opportunity,Tier 2,1.0,44.5102,-73.0835,40067be8-739c-4ffd-a3b2-62705ba1a136,Open,Proposal,Mid Funnel,Jason Ginsberg,4/21/2026,4/10/2026,"$33,000",,11,2025-10-22,11,,,,7010
001Hr000028ZdD5,"County Of Caledonia, VT",Vermont,County,Alicia Gopal,30403,Open Opportunity,Tier 1,1.5,44.5505,-72.0482,0722aecf-161b-481d-8a14-18d322adf1ec,,,,,,,,,16,2026-04-29,,16,,,6460
001Hr000028ZdDa,"Town Of Jericho, VT",Vermont,Municipality,Alicia Gopal,5080,,Tier 3,0.75,44.5061,-72.9954,09283df5-e4ab-4a20-aafe-c9f21ef8e9a4,,,,,,,,,2,2026-01-22,,,2,,6174
001Hr000028ZdDu,"City Of St Albans, VT",Vermont,Municipality,Alicia Gopal,6940,,Tier 3,0.75,44.8107,-73.0836,ae4ec501-0e06-4a6e-b382-9e09e6d75494,,,,,,,,,,,,,,,6410
001Hr000028ZdEZ,"Town Of Northfield, VT",Vermont,Municipality,Alicia Gopal,6291,Nurture,Tier 3,0.75,44.1512,-72.6565,32304e64-4efb-4bc3-9a0c-5d44845ea222,Closed Lost,,,Quinzel Perry,4/28/2025,4/23/2025,,,,,,,,,6355
001Hr000028ZdF2,"Town Of Williston, VT",Vermont,Municipality,Alicia Gopal,10094,Open Opportunity,Tier 2,1.0,44.4496,-73.111,12433b0b-9a23-4151-b6e8-7b34d2e6fa1b,Open,Proposal,Mid Funnel,Alicia Gopal,2/19/2026,2/5/2026,"$10,000",,10,2026-04-07,,5,5,,6640
001Hr000028ZdFW,"Town Of Waterbury, VT",Vermont,Municipality,Alicia Gopal,5320,,Tier 3,0.75,44.3417,-72.7593,9e64701c-20f8-41bd-8116-aa147a3378a7,,,,,,,,,2,2025-06-06,2,,,,6197
001Hr000028ZdGZ,"County Of Washington, VT",Vermont,County,Alicia Gopal,59969,,Tier S,2.0,44.1987,-72.6973,6103e977-dc8e-404c-9e9d-1a32a87bf9aa,,,,,,,,,19,2025-09-19,19,,,,6504
