Account ID,Account Name,State,Entity Type,Owner,Population,Account Status,Tier,SQO Points,Lat,Lng,Starbridge Buyer ID,Opp Status,Stage,Funnel Position,Sourced By,Discovery Call Date,Created Date,ARR,Previously Lost,Total Calls,Last Call Date,Calls - Catherine Silvestri,Calls - Alicia Gopal,Calls - Joe del Rosario,Calls - Nick Martino,Calls - Jenny Allison
001Hr000028ZbdQ,"City Of Connell, WA",Washington,Municipality,Catherine Silvestri,4954,,Tier 3,0.75,46.6635,-118.8611,b74a109e-6505-4dc7-ba22-099325ec0a8b,,,,,,,,,,,,,,,
001Hr000028ZbnM,"City Of Ocean Shores, WA",Washington,Municipality,Catherine Silvestri,7114,Nurture,Tier 3,0.75,47.0074,-124.1614,4f45f79d-f9ae-432c-9446-0f6faaca6584,Closed Lost,,,Asher Rosenfeld,,1/5/2025,,,,,,,,,
001Hr000028ZbnU,"City Of Toppenish, WA",Washington,Municipality,Catherine Silvestri,8774,,Tier 3,0.75,46.3774,-120.3087,2544f692-9706-49e3-aa78-5406e3035628,,,,,,,,,1,2025-09-23,,,1,,
001Hr000028Zboo,"City Of Des Moines, WA",Washington,Municipality,Catherine Silvestri,32689,Recent Competitor Purchase,Tier 1,1.5,47.4018,-122.3243,139dd05f-3d28-4db6-a1f2-5c26ee7774cd,Closed Lost,,,Alicia Gopal,,11/18/2025,,,6,2025-11-25,,6,,,
001Hr000028Zbos,"City Of Snoqualmie, WA",Washington,Municipality,Catherine Silvestri,13810,,Tier 2,1.0,47.5287,-121.8254,0b1203c7-ead2-436e-be97-ffb812ffe7e6,,,,,,,,,2,2026-03-23,1,,1,,
001Hr000028Zbow,"City Of Bainbridge Island, WA",Washington,Municipality,Catherine Silvestri,24546,Nurture,Tier 2,1.0,47.6249,-122.521,d13bdd85-44b6-44bb-b9e2-351525893ebe,Closed Lost,,,Catherine Silvestri,3/24/2026,3/11/2026,,,11,2026-03-23,4,,7,,
001Hr000028Zbpb,"City Of Oak Harbor, WA",Washington,Municipality,Catherine Silvestri,24709,,Tier 2,1.0,48.2883,-122.6484,75d13c01-09db-4571-903a-3f5af6ec5f7c,,,,,,,,,5,2026-04-23,4,,1,,
001Hr000028Zbpp,"City Of Sumner, WA",Washington,Municipality,Catherine Silvestri,10673,,Tier 2,1.0,47.2032,-122.2404,62efe8e2-6eb5-41a9-ab5b-c9e550fc538b,,,,,,,,,4,2026-05-15,4,,,,
001Hr000028Zbpz,"City Of Kelso, WA",Washington,Municipality,Catherine Silvestri,12719,,Tier 2,1.0,46.1468,-122.9084,7af90f25-bdfe-46e6-bb3b-5a93db252b81,,,,,,,,,3,2026-03-25,3,,,,
001Hr000028ZbqP,"City Of Sunnyside, WA",Washington,Municipality,Catherine Silvestri,16346,Nurture,Tier 2,1.0,46.3237,-120.0087,1f538e88-75b8-4da5-b291-18b0bb1ea5c2,Closed Lost,,,Catherine Silvestri,4/3/2026,4/2/2026,,,9,2026-04-10,9,,,,
001Hr000028Zbqx,"City Of Normandy Park, WA",Washington,Municipality,Catherine Silvestri,6637,,Tier 3,0.75,47.4362,-122.3407,0ce28d32-fa8e-44ae-9a0a-f73a4fd98da7,,,,,,,,,3,2026-04-22,3,,,,
001Hr000028Zbr7,"City Of Lake Forest Park, WA",Washington,Municipality,Catherine Silvestri,13358,Open Opportunity,Tier 2,1.0,47.7601,-122.284,87dc7c0c-145f-4150-979e-8051e5029464,Open,Initial Interest,Top of Funnel,Asher Rosenfeld,,1/5/2025,,,5,2025-12-17,,4,1,,
