Account ID,Account Name,State,Entity Type,Owner,Population,Account Status,Tier,SQO Points,Lat,Lng,Starbridge Buyer ID,Opp Status,Stage,Funnel Position,Sourced By,Discovery Call Date,Created Date,ARR,Previously Lost,Total Calls,Last Call Date,Calls - Nick Martino,Calls - Leila Assil,Calls - Jenny Allison,Calls - Joe del Rosario,Salesforce ID
001Hr000028Zbsc,"City Of Wausau, WI",Wisconsin,Municipality,Nick Martino,39575,,Tier 1,1.5,44.9591,-89.6301,39e82119-8d6c-4d09-8098-d004d7f9dbbb,,,,,,,,,7,2025-07-08,7,,,,
001Hr000028Zc2q,"Town Of Ledgeview, WI",Wisconsin,Municipality,Nick Martino,9120,,Tier 3,0.75,44.4284,-87.9629,b3cc4edf-51e2-452e-af4e-661dbc9a540e,,,,,,,,,23,2026-05-26,23,,,,
001Hr000028Zc2r,"City Of Cedarburg, WI",Wisconsin,Municipality,Nick Martino,12400,,Tier 2,1.0,43.2967,-87.9876,a02a6723-4c21-436a-be3b-004e6ea869d8,,,,,,,,,6,2025-07-29,6,,,,
001Hr000028ZcBo,"Town Of Lafayette, WI",Wisconsin,Municipality,Nick Martino,2079,,Tier 3,0.75,42.7174,-88.4985,eaa81094-a6f5-47e4-9977-77c8dcd187ab,,,,,,,,,,,,,,,
001Hr000028ZcD9,"Village Of Hobart, WI",Wisconsin,Municipality,Nick Martino,10351,,Tier 2,1.0,44.4883,-88.1584,b9d52c74-07b2-4fa3-9207-c80ba8e924aa,,,,,,,,,2,2025-09-18,2,,,,
001Hr000028ZcN8,"Town Of Delavan, WI",Wisconsin,Municipality,Nick Martino,5332,,Tier 3,0.75,42.6302,-88.5662,6797f19c-79e4-48ac-bf1d-4a48bc77baef,,,,,,,,,,,,,,,
001Hr000028ZcTx,"City Of Racine, WI",Wisconsin,Municipality,Nick Martino,77127,,Tier S,2.0,42.7261,-87.7829,44a040ad-4189-49a1-8917-2baf57417b89,,,,,,,,,,,,,,,
001Hr000028ZcYI,"Oconto County, WI",Wisconsin,County,Nick Martino,39775,,Tier 1,1.5,44.8333,-88.0118,bd23e8f0-681b-4a50-9083-872d326beeb9,,,,,,,,,1,2026-01-28,1,,,,
001Hr000028ZccK,"City Of Menasha, WI",Wisconsin,Municipality,Nick Martino,18107,Open Opportunity,Tier 2,1.0,44.2022,-88.4465,6d0390cc-47fe-42d1-9fc7-677a1cb2d1c2,Open,Demo,Mid Funnel,Nick Martino,11/3/2025,10/6/2025,,,15,2025-10-06,15,,,,
001Hr000028ZcgB,"City Of Ashland, WI",Wisconsin,Municipality,Nick Martino,7918,Nurture,Tier 3,0.75,46.5924,-90.8838,1e005e5a-c556-476e-9498-3e3445759857,Closed Lost,,,Liam Shaw,3/19/2024,1/5/2025,,,8,2026-05-01,5,,3,,
001Hr000028Zcha,"Town Of Fond Du Lac, WI",Wisconsin,Municipality,Nick Martino,3724,,Tier 3,0.75,43.7524,-88.5082,53e0b30a-368d-448e-bf3e-3233ddb4869d,,,,,,,,,,,,,,,
