Account ID,Account Name,State,Entity Type,Owner,Population,Account Status,Tier,SQO Points,Lat,Lng,Starbridge Buyer ID,Opp Status,Stage,Funnel Position,Sourced By,Discovery Call Date,Created Date,ARR,Previously Lost,Total Calls,Last Call Date,Calls - Emily Murnane,Calls - Leila Assil,Calls - Mihir Shah,Calls - Joe del Rosario,Calls - Ryan Minter,Calls - Jenny Allison,Outreach ID
001Hr000028ZcSU,"City Of Buckhannon, WV",West Virginia,Municipality,Mihir Shah,5265,,Tier 3,0.75,38.994,-80.232,5b630986-cc32-4804-a86e-0652f72fc75e,,,,,,,,,25,2026-05-19,12,,3,10,,,6237
001Hr000028Zcoy,"City Of Grafton, WV",West Virginia,Municipality,Mihir Shah,4651,,Tier 3,0.75,39.3409,-80.019,1626d206-570f-4883-a1fc-1dd17b1833b8,,,,,,,,,9,2026-02-12,9,,,,,,6167
001Hr000028Zcqt,"City Of Moundsville, WV",West Virginia,Municipality,Mihir Shah,7981,Open Opportunity,Tier 3,0.75,39.9204,-80.7431,de6f7666-7d29-487a-ac7c-88f376ec5d77,Open,Proposal,Mid Funnel,Emily Murnane,1/14/2026,1/8/2026,"$12,000",Yes,3,2026-01-08,3,,,,,,6522
001Hr000028Zd1J,"City Of Princeton, WV",West Virginia,Municipality,Mihir Shah,5798,Nurture,Tier 3,0.75,37.3662,-81.1026,37cea9bb-6531-4b1d-90f1-c473ebada3e8,Closed Lost,,,Harrison Peacock,12/10/2025,12/3/2025,,,4,2025-09-25,,2,,2,,,6279
001Hr000028Zd1f,"City Of Fairmont, WV",West Virginia,Municipality,Mihir Shah,18209,Nurture,Tier 2,1.0,39.4851,-80.1426,0e175f78-2c2b-4ef2-b9c7-b801c03cefd7,Closed Lost,,,Liam Shaw,10/14/2024,1/5/2025,"$20,000",,4,2026-01-06,4,,,,,,6952
001Hr000028Zd1k,"City Of Bluefield, WV",West Virginia,Municipality,Mihir Shah,9499,,Tier 3,0.75,37.2698,-81.2223,3c378a68-4a3d-4996-a3e3-0c4f875a0c68,,,,,,,,,14,2026-01-09,4,,,10,,,6623
001Hr000028Zd5r,"City Of Nitro, WV",West Virginia,Municipality,Mihir Shah,6518,Nurture,Tier 3,0.75,38.4148,-81.844,0358abd0-b1c5-4c37-98c9-d839c9d5b74d,Closed Lost,,,Liam Shaw,10/28/2024,1/5/2025,,,1,2026-01-13,1,,,,,,6374
001Hr000028ZdAS,"City Of Charles Town, WV",West Virginia,Municipality,Mihir Shah,6523,,Tier 3,0.75,39.289,-77.8597,78f9659f-d680-400e-81cd-d8170c5f673f,,,,,,,,,6,2026-01-06,3,,,3,,,6316
001Hr000028ZdHp,"City Of New Martinsville, WV",West Virginia,Municipality,Mihir Shah,5174,,Tier 3,0.75,39.6445,-80.8576,85c7be1a-aa7e-4f4f-bf60-ff7e6cf53eeb,,,,,,,,,2,2025-11-03,2,,,,,,6182
001Hr000028ZdND,"City of Ranson, WV",West Virginia,Municipality,Mihir Shah,5726,,Tier 3,0.75,39.2951,-77.8606,2ea02783-06df-426e-84e1-7e3598e8d841,,,,,,,,,1,2026-02-05,1,,,,,,6196
001Hr000028ZdOq,"City Of Hurricane, WV",West Virginia,Municipality,Mihir Shah,6919,,Tier 3,0.75,38.4326,-82.0201,f54e98d9-a299-4f65-a624-b2091a8356b8,,,,,,,,,9,2026-05-19,6,,3,,,,6349
001Hr000028ZdQO,"City Of South Charleston, WV",West Virginia,Municipality,Mihir Shah,13352,,Tier 2,1.0,38.3686,-81.6999,1b2cb9d2-d9e6-4963-8826-8c5c9f91f251,,,,,,,,,10,2026-05-14,9,,1,,,,6818
001Hr000028ZdQi,"City Of Clarksburg, WV",West Virginia,Municipality,Mihir Shah,15784,Open Opportunity,Tier 2,1.0,39.2806,-80.3445,861ae830-04ba-4038-b75f-33f400863ef9,Open,Initial Interest,Top of Funnel,Leila Assil,,6/24/2025,,,11,2026-02-19,3,8,,,,,6894
001Hr000028ZdQv,"City Of Elkins, WV",West Virginia,Municipality,Mihir Shah,6895,,Tier 3,0.75,38.9259,-79.8467,4f62eda8-dc90-4ba0-aa28-5aa53d524250,,,,,,,,,6,2026-04-01,6,,,,,,6432
001Hr000028ZdR1,"City Of Oak Hill, WV",West Virginia,Municipality,Mihir Shah,8040,Nurture,Tier 3,0.75,37.9723,-81.1487,860b4c3f-a469-4618-b082-a955d77c657d,Closed Lost,,,Liam Shaw,9/12/2024,1/5/2025,"$9,000",,8,2026-05-14,4,,4,,,,6528
001Hr000028ZdRM,"City Of Beckley, WV",West Virginia,Municipality,Mihir Shah,17024,,Tier 2,1.0,37.7766,-81.1851,fc652adf-6caf-4b9d-913a-706734eae054,,,,,,,,,5,2026-05-14,4,,1,,,,6922
001Hr000028ZdRX,"City Of Wheeling, WV",West Virginia,Municipality,Mihir Shah,26568,,Tier 1,1.5,40.0645,-80.7204,d4e5d1fb-6757-4022-b36a-fbe43fbaca83,,,,,,,,,15,2026-02-05,3,12,,,,,7085
