Account ID,Account Name,State,Entity Type,Owner,Population,Account Status,Tier,SQO Points,Lat,Lng,Starbridge Buyer ID,Opp Status,Stage,Funnel Position,Sourced By,Discovery Call Date,Created Date,ARR,Previously Lost,Total Calls,Last Call Date,Calls - Catherine Silvestri,Calls - Joe del Rosario,Calls - Jenny Allison,Salesforce ID
001Hr000028Zbpq,"City Of Rock Springs, WY",Wyoming,Municipality,Catherine Silvestri,23196,,Tier 2,1.0,41.5875,-109.2029,7447814f-477e-4108-a764-99b731ef1f7d,,,,,,,,,5,2026-05-21,5,,,
001Hr000028Zd7d,"Town Of Jackson, WY",Wyoming,Municipality,Catherine Silvestri,10849,Open Opportunity,Tier 2,1.0,43.4799,-110.7624,ad6a9d35-e699-41b5-97b9-b22c2c599687,Open,Initial Interest,Top of Funnel,Catherine Silvestri,,5/4/2026,,,22,2026-05-21,12,10,,
001Hr000028ZdA2,"City Of Cody, WY",Wyoming,Municipality,Catherine Silvestri,10174,,Tier 2,1.0,44.5263,-109.0565,6d0bd7d0-4717-47c9-bd10-60982da46780,,,,,,,,,14,2026-05-26,14,,,
001Hr000028ZdD7,"City Of Laramie, WY",Wyoming,Municipality,Catherine Silvestri,31659,,Tier 1,1.5,41.3114,-105.5911,48567ee9-bb83-4afb-9821-f6da7661f2d7,,,,,,,,,3,2026-04-23,3,,,
001Hr000028ZdIf,"City Of Lander, WY",Wyoming,Municipality,Catherine Silvestri,7451,,Tier 3,0.75,42.833,-108.7307,3ea6a854-df85-495b-b865-bf84d6b9d2fd,,,,,,,,,2,2025-06-02,,2,,
001Hr000028ZdLr,"City Of Worland, WY",Wyoming,Municipality,Catherine Silvestri,4787,,Tier 3,0.75,44.0169,-107.9554,054035b5-e5be-451e-9e0a-6b99fd401986,,,,,,,,,,,,,,
001Hr000028ZdM6,"City Of Douglas, WY",Wyoming,Municipality,Catherine Silvestri,6351,,Tier 3,0.75,42.7597,-105.3822,aeca1053-73ef-4875-89a8-6bef62e4013a,,,,,,,,,,,,,,
001Hr000028ZdPT,"City Of Powell, WY",Wyoming,Municipality,Catherine Silvestri,6418,,Tier 3,0.75,44.7538,-108.7574,e466ebce-66b9-4dde-83d3-b554342cb04f,,,,,,,,,2,2026-05-12,2,,,
001Hr000028ZdPo,"City Of Torrington, WY",Wyoming,Municipality,Catherine Silvestri,6132,,Tier 3,0.75,42.0625,-104.1844,66e319df-e8df-4f60-aee5-aa89319d628a,,,,,,,,,,,,,,
001Hr000028ZdSz,"Laramie County, WY",Wyoming,County,Catherine Silvestri,101783,,Tier S,2.0,41.427,-104.8455,44b23730-3a61-4213-8702-08daa3c0cdca,,,,,,,,,1,2026-05-14,1,,,
001Hr000028ZdT6,"City Of Rawlins, WY",Wyoming,Municipality,Catherine Silvestri,8298,,Tier 3,0.75,41.7911,-107.2387,a7c187da-e311-4873-b643-af8b737534a3,,,,,,,,,1,2025-10-21,,1,,
001Hr000028ZdUG,"City Of Evanston, WY",Wyoming,Municipality,Catherine Silvestri,11814,,Tier 2,1.0,41.2683,-110.9632,0adf9a3b-1c4f-4b3b-bf85-0d4ed60740be,,,,,,,,,1,2025-08-13,,1,,
001Hr000028ZdVb,"City Of Riverton, WY",Wyoming,Municipality,Catherine Silvestri,10587,,Tier 2,1.0,43.0247,-108.3806,bcc5c668-d9ed-4491-a04b-952deb93cf20,,,,,,,,,3,2026-05-06,1,2,,
001Hr000028ZdWt,"City Of Green River, WY",Wyoming,Municipality,Catherine Silvestri,11609,Nurture,Tier 2,1.0,41.5294,-109.4655,8a2c90ae-c937-4f3a-891a-8edb40202df7,Open,Initial Interest,Top of Funnel,,,1/9/2025,,,7,2026-05-22,7,,,
001Hr000028ZdZd,"City Of Sheridan, WY",Wyoming,Municipality,Catherine Silvestri,19095,,Tier 2,1.0,44.7972,-106.9562,588a9d7b-736f-441f-9df5-389a85b3c4ed,,,,,,,,,1,2026-05-06,1,,,
001Hr000028Zdb1,"Albany County, WY",Wyoming,County,Catherine Silvestri,38257,,Tier 1,1.5,41.6384,-105.5943,07286b68-29db-45a6-93a6-bd0eae02a63f,,,,,,,,,5,2026-05-04,5,,,
001Hr000028Zdba,"City Of Gillette, WY",Wyoming,Municipality,Catherine Silvestri,32884,Open Opportunity,Tier 1,1.5,44.2931,-105.4942,8b8fbe0c-89a2-4e20-bdf3-727528406938,Open,Initial Interest,Top of Funnel,Asher Rosenfeld,,1/5/2025,,,5,2026-05-21,4,1,,
001Hr000028ZdgV,"Fremont County, WY",Wyoming,County,Catherine Silvestri,,,Tier 3,0.75,43.012,-108.6176,d0bb9672-f741-4572-af13-a988eca6b4d3,,,,,,,,,,,,,,
001Hr000028ZdhI,"City Of Cheyenne, WY",Wyoming,Municipality,Catherine Silvestri,65051,Open Opportunity,Tier S,2.0,41.1347,-104.8212,93207e4d-defc-48c2-9736-d1bfa08d9f4f,Open,Initial Interest,Top of Funnel,Catherine Silvestri,5/8/2026,4/24/2026,,,7,2026-05-06,7,,,
001Hr000028ZdhS,"City Of Casper, WY",Wyoming,Municipality,Catherine Silvestri,58656,,Tier S,2.0,42.8487,-106.2981,9397110a-d73a-445d-aa2f-b1dd3bb78dad,,,,,,,,,9,2026-05-12,9,,,
001cv00000AuWpA,"Town Of Lyman, WY",Wyoming,Municipality,Catherine Silvestri,2175,,Tier 3,0.75,41.3275,-110.2929,fc852ebd-c312-4e60-a483-cc005b11aa31,,,,,,,,,,,,,,
001cv00000AuWr5,"Town Of Afton, WY",Wyoming,Municipality,Catherine Silvestri,2213,,Tier 3,0.75,42.7249,-110.9319,4ee27fe8-877a-4cc5-b3d3-adc6c0f8244b,,,,,,,,,,,,,,
001cv00000AuX65,"Town Of Pinedale, WY",Wyoming,Municipality,Catherine Silvestri,2262,,Tier 3,0.75,42.8679,-109.8633,cd2a1758-1b44-4dbb-83df-f36dfff6f3a2,,,,,,,,,1,2026-04-28,,,1,
